
[00:00:00.000 --> 00:00:02.640]  在新聞的報告
[00:00:02.640 --> 00:00:04.480]  給我們看到
[00:00:04.480 --> 00:00:09.000]  前天一場的黃雨
[00:00:09.000 --> 00:00:11.000]  我不知道大家有多少人
[00:00:11.000 --> 00:00:13.260]  有經歷過那場黃雨
[00:00:13.260 --> 00:00:15.260]  可不可以舉舉手
[00:00:15.260 --> 00:00:17.260]  這裏很少
[00:00:17.260 --> 00:00:21.100]  一個兩個小時的黃雨
[00:00:21.100 --> 00:00:23.100]  令到
[00:00:23.100 --> 00:00:26.100]  在彩虹區
[00:00:26.100 --> 00:00:28.100]  水浸街
[00:00:28.100 --> 00:00:30.100]  進店鋪 進學校
[00:00:30.100 --> 00:00:32.100]  很多車
[00:00:32.100 --> 00:00:34.100]  要被拖走 死火
[00:00:34.100 --> 00:00:36.100]  主要原因就是
[00:00:36.100 --> 00:00:38.100]  那條彩虹河
[00:00:38.100 --> 00:00:40.100]  是不是那裏
[00:00:40.100 --> 00:00:42.100]  在那個地方排水
[00:00:42.100 --> 00:00:44.100]  沒那麼快
[00:00:44.100 --> 00:00:46.100]  帶來的結果就是水浸
[00:00:46.100 --> 00:00:48.100]  我不知道大家有沒有想過
[00:00:48.100 --> 00:00:50.100]  在你的心目中
[00:00:50.100 --> 00:00:52.100]  有多少人有試過因爲黑雨
[00:00:52.100 --> 00:00:54.100]  水進屋的
[00:00:54.100 --> 00:00:56.100]  舉手好嗎
[00:00:56.100 --> 00:00:58.100]  很大的雨
[00:00:58.100 --> 00:01:00.100]  甚至那些水衝進你的屋
[00:01:00.100 --> 00:01:02.100]  浸過屋的
[00:01:02.100 --> 00:01:04.100]  可不可以舉手
[00:01:04.100 --> 00:01:06.100]  在香港很少
[00:01:06.100 --> 00:01:08.100]  我試過很多狼狽的現象
[00:01:08.100 --> 00:01:10.100]  以前住的地方
[00:01:10.100 --> 00:01:12.100]  有試過
[00:01:12.100 --> 00:01:14.100]  後來有試過
[00:01:14.100 --> 00:01:16.100]  甚至我沒想過
