
[00:00:00.000 --> 00:00:16.000]  讓我們一同在這裡敬拜神,求主直著我們剛才所讀的經文,讓我們能夠明白神的心意。
[00:00:16.000 --> 00:00:24.000]  今天和大家分享的題目是:「誰去引領走天路?」
[00:00:24.000 --> 00:00:27.000]  信息支持我們,再一次同心我們祈禱。
[00:00:27.000 --> 00:00:35.000]  愛我們的天父,我們感謝讚美祢,感謝祢讓我們經歷祢的同在、保守。
[00:00:35.000 --> 00:00:48.000]  今天祢又讓我們平安地來到祢的殿中,一同敬拜,求聖靈引導我們,啟迪我們的心靈,讓我們可以明白神起當日耶穌基督的教導。
[00:00:48.000 --> 00:00:58.000]  好叫我們行走人生的路的時候,我們明白到我們要跟從我們的主耶穌基督,這條路我們知道是直達天庭的路。
[00:00:58.000 --> 00:01:08.000]  求主幫助我們走這條路的時候,雖然會面對重重的險阻,但是我們靠著耶穌基督的恩典,我們必然能夠跨勝。
[00:01:08.000 --> 00:01:22.000]  因為主耶穌基督,祢已經是給我們有應許,因為祢已經是得勝,勝過死權,勝過這個世界,我們也可以靠著祢的恩典,去勝過這個世界,勝過死權。
[00:01:22.000 --> 00:01:31.000]  讓主祢帶領我們以下的時間,求主幫助,我們同心的祈禱,奉靠主耶穌基督得勝的名號,阿們。
[00:01:31.000 --> 00:01:49.000]  最近我開車經過我家附近的公園的時候,平時晚上不會有很多人,現在深夜走過還是很多人。
[00:01:49.000 --> 00:02:05.000]  到底發生什麼事呢?每個人都拿著一部手機,走來走去。原來他們是在玩Pokemon的遊戲。
[00:02:05.000 --> 00:02:32.000]  這個遊戲原本是日本一個精靈的遊戲,現在通行到世界上,他們首頁的下載有1.3億人,有些人覺得很好玩,
[00:02:32.000 --> 00:02:59.000]  但是他們不知道遊戲的背後會帶來什麼危機。今期的《好國》也有提到,很多人不知不覺就上了癮,甚至有些司機一邊開車一邊玩這個遊戲。
[00:02:59.000 --> 00:03:21.000]  因為這樣的緣故而產生交通意外,真是玩死了。這個世界有很多不同的遊戲,但是很多的遊戲,特別是手機的遊戲,
[00:03:21.000 --> 00:03:48.000]  它都是引導我們來沉迷,整天去玩,它就成功了。你看看這個遊戲的背後,它不但要你上癮,並且在現實的生活裡面,它要控制你。
[00:03:48.000 --> 00:04:02.000]  你不知不覺就被它捆綁。你不知不覺就被它捆綁。甚至有人因為這樣而失去了生命。甚至有人為此失去了生命。
[00:04:02.000 --> 00:04:29.000]  在聖經裡面講到,末後日子有人會去敬拜這些鬼魔,明知道這些是鬼魔的道理,但是他們都會去聽從,他們不會覺得自己有危機。
[00:04:29.000 --> 00:04:45.000]  基督徒講我們要走天路,但我們今天在這個現實的世界,似乎在我們的眼裡我們看不到一條天路是通向天的。
[00:04:45.000 --> 00:05:01.000]  但是這條路在信心裡面我們看得見,在這條路上也有很多的攔阻,當然這些攔阻不是神要攔阻我們,
[00:05:01.000 --> 00:05:19.000]  而是世界的道理,世界的惡魔,他擺了很多陷阱在前面,就像Pokemon遊戲一樣,是人想出來的,
[00:05:19.000 --> 00:05:36.000]  這些人是為了賺錢,有些人是為了好玩,他們沒有想到背後會引起很多的危機,他們令到一些青少年會沉迷,
[00:05:36.000 --> 00:05:53.000]  甚至一些老人家都會沉迷,會奪去他們很多的時間,有些人甚至說放下工作去捉這些小精靈,
[00:05:53.000 --> 00:06:19.000]  結果他人生很多的時間就耗費了,當我們時間過去的時候,我們做主的神的兒女,我們看回我們究竟跟從主的走這條天路,我們究竟是什麼狀況,
[00:06:19.000 --> 00:06:35.000]  是不是停留不動呢?見到困難你會怎樣呢?有一位基督徒,他在網上寫了一首歌,他寫了「天路歷程」,
[00:06:35.000 --> 00:06:51.000]  他講出他的心裡面有些掙扎,他相信主會帶領他,他用這首歌去鼓勵信主的兒女們,
[00:06:51.000 --> 00:07:06.000]  說他想做一個見證,他相信靠著耶穌基督,可以繼續向前,走完這個天路。這首歌的內容是這樣的,
[00:07:06.000 --> 00:07:26.000]  懷著信望愛起步,內心也早宣告,這十價是我揮毫,一心投身這澤路,前路總遇見風暴,亦想總有你傾訴,卻遇見挫敗我方知道,許多心事不願透。
[00:07:26.000 --> 00:07:44.000]  我的心你早知道,求你為我改造,無讓我再困苦裡徒勞,從悲傷中跌倒,或許我會有迷途,但我深信主恩告,或許我辛苦了,但我堅決不退步。
[00:07:44.000 --> 00:08:04.000]  懷著信望愛起步,內心也早宣告,這十價是我揮毫,一心投身這澤路,前路總遇見風暴,亦想總有你傾訴,又遇見挫敗我方知道,許多心事不願透。
[00:08:04.000 --> 00:08:24.000]  我的心你早知道,求你為我改造,無讓我再困苦裡徒勞,從悲傷中跌倒,或許我會有迷途,但我深信主恩告,或許我辛苦了,但我堅決不退步。
