
[00:00:00.000 --> 00:00:02.000]  今天我們講的題目會是
[00:00:02.000 --> 00:00:08.000]  開始看約書亞記的第一章
[00:00:08.000 --> 00:00:10.500]  我們會看看在那個恐慌的時代
[00:00:10.500 --> 00:00:12.000]  其實當年的人都很恐慌的
[00:00:12.000 --> 00:00:16.500]  我們看看神如何幫他們克服我們一些的恐懼
[00:00:16.500 --> 00:00:20.000]  第一個我們需要克服的恐懼的方法就是
[00:00:20.000 --> 00:00:22.500]  和神的關係非常之好
[00:00:22.500 --> 00:00:24.500]  也聽得懂我們的使命
[00:00:24.500 --> 00:00:29.000]  在約書亞記一章一到四節是這麼說的
[00:00:29.000 --> 00:00:32.500]  那裡說耶和華的僕人摩西死了之後
[00:00:32.500 --> 00:00:35.500]  耶和華就巧遇摩西的幫手
[00:00:35.500 --> 00:00:39.500]  倫的兒子約書亞說
[00:00:39.500 --> 00:00:42.500]  我的僕人摩西死了
[00:00:42.500 --> 00:00:46.500]  現在你要起來和眾百姓過這約旦河
[00:00:46.500 --> 00:00:50.500]  往我所要賜給以色列人的地去
[00:00:50.500 --> 00:00:53.500]  凡你們腳掌所踏的地
[00:00:53.500 --> 00:00:57.000]  我都照著我所應許摩西的話
[00:00:57.000 --> 00:00:59.000]  賜給你們
[00:00:59.000 --> 00:01:01.000]  從曠野到這尼巴倫
[00:01:01.000 --> 00:01:04.000]  直到優法拉底大河
[00:01:04.000 --> 00:01:06.000]  黑人的泉地
[00:01:06.000 --> 00:01:09.000]  又到大河日落之處
[00:01:09.000 --> 00:01:12.000]  都要作你們的警戒
[00:01:12.000 --> 00:01:16.000]  當時的時代面臨很多恐懼的因素
[00:01:16.000 --> 00:01:19.000]  其中一個的因素就稱之為
[00:01:19.000 --> 00:01:23.000]  很多的不確定在面前
[00:01:23.000 --> 00:01:27.000]  第一個不確定的就是
[00:01:27.000 --> 00:01:31.000]  他們偉大的領袖摩西過世了
[00:01:31.000 --> 00:01:33.000]  神接了他回天家
[00:01:33.000 --> 00:01:35.000]  因為摩西帶領了他們四十年
[00:01:35.000 --> 00:01:37.000]  他們很熟悉這位僕人
[00:01:37.000 --> 00:01:39.000]  一代的神人摩西
[00:01:39.000 --> 00:01:41.000]  和神的關係非常好
[00:01:41.000 --> 00:01:43.000]  也聽得懂神的聲音
[00:01:43.000 --> 00:01:46.000]  這麼多年跟隨摩西他們很有安全感
[00:01:46.000 --> 00:01:49.000]  知道他經歷了很多風風雨雨
[00:01:49.000 --> 00:01:52.000]  只要有摩西在都帶領他們渡過了
[00:01:52.000 --> 00:01:54.000]  任何的紛爭只要來到摩西面前
[00:01:54.000 --> 00:01:56.000]  摩西都幫他們解決了
[00:01:56.000 --> 00:01:58.000]  所以對他們來說
[00:01:58.000 --> 00:02:01.000]  他們非常相信摩西
[00:02:01.000 --> 00:02:02.000]  跟了四十年之後
[00:02:02.000 --> 00:02:05.000]  這位這麼熟悉的領袖神帶走了
[00:02:05.000 --> 00:02:08.000]  未來是充滿不確定的
[00:02:08.000 --> 00:02:13.000]  我記得當朱牧師在計劃他什麼時候退位的時候
[00:02:13.000 --> 00:02:15.000]  大家都很恐慌
[00:02:15.000 --> 00:02:17.000]  直到梁牧師來到
[00:02:17.000 --> 00:02:19.000]  大家就安心了
[00:02:19.000 --> 00:02:22.000]  所以一代的領袖的去世
[00:02:22.000 --> 00:02:24.000]  有時候他們會想
[00:02:24.000 --> 00:02:26.000]  誰來帶領我們呢
[00:02:26.000 --> 00:02:28.000]  我們跟一個這麼熟悉的人走了
[00:02:28.000 --> 00:02:30.000]  將來怎麼辦呢
[00:02:30.000 --> 00:02:32.000]  很多的恐懼
[00:02:32.000 --> 00:02:33.000]  第二樣的不確定
