
[00:00:00.000 --> 00:00:02.000]  共主命運效,弟兄姊妹平安
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:07.000]  我們每個禮拜都唱
[00:00:07.000 --> 00:00:09.000]  差不多我來新都市都唱
[00:00:09.000 --> 00:00:11.000]  Great is Thy Faithfulness這首歌
[00:00:11.000 --> 00:00:13.000]  阿祖很喜歡選擇
[00:00:13.000 --> 00:00:15.000]  那現在你知道呢
[00:00:15.000 --> 00:00:17.000]  這首歌是出於耶利米愛歌
[00:00:17.000 --> 00:00:19.000]  今天那個先兆經文
[00:00:19.000 --> 00:00:21.000]  耶利米愛歌三章
[00:00:21.000 --> 00:00:25.000]  弟兄姊妹我和大家在讀耶利米書
[00:00:25.000 --> 00:00:27.000]  我自己也在讀耶利米書
[00:00:29.000 --> 00:00:31.000]  耶利米所處的時代
[00:00:31.000 --> 00:00:33.000]  是非常艱難
[00:00:33.000 --> 00:00:35.000]  但是
[00:00:35.000 --> 00:00:37.000]  他
[00:00:37.000 --> 00:00:39.000]  破天
[00:00:39.000 --> 00:00:41.000]  預告了一個更艱難的人
[00:00:41.000 --> 00:00:43.000]  更艱難的時代
[00:00:43.000 --> 00:00:45.000]  一個人要對付的
[00:00:45.000 --> 00:00:47.000]  就是我們的主耶穌基督
[00:00:47.000 --> 00:00:49.000]  所以
[00:00:49.000 --> 00:00:51.000]  你要明白耶穌
[00:00:51.000 --> 00:00:55.000]  你要明白
[00:00:55.000 --> 00:00:57.000]  這個耶利米
[00:00:57.000 --> 00:00:59.000]  很好的
[00:00:59.000 --> 00:01:01.000]  大家看到一件事
[00:01:01.000 --> 00:01:05.000]  我們
[00:01:05.000 --> 00:01:07.000]  很多時候看
[00:01:07.000 --> 00:01:09.000]  話劇或者電影
[00:01:09.000 --> 00:01:13.000]  有一個偉人出現
[00:01:13.000 --> 00:01:15.000]  他之前當然有一個
[00:01:15.000 --> 00:01:19.000]  Foreigner
[00:01:19.000 --> 00:01:21.000]  不過我這個是很荒謬的
[00:01:21.000 --> 00:01:23.000]  現在的人不叫Foreigner
[00:01:23.000 --> 00:01:25.000]  現在叫Psychic
[00:01:27.000 --> 00:01:29.000]  是一個襯托
[00:01:29.000 --> 00:01:31.000]  中國的小說
