
[00:00:00.000 --> 00:00:03.640]  今日我選了《路加福音》
[00:00:03.640 --> 00:00:10.040]  有一章76-80這段聖經文跟大家講
[00:00:10.040 --> 00:00:12.120]  透過經文的啟示
[00:00:12.120 --> 00:00:16.080]  一方面可以分享我自己宣教的經歷
[00:00:16.080 --> 00:00:18.680]  另一方面亦可以提醒大家
[00:00:18.680 --> 00:00:21.280]  我們應該怎樣去回應
[00:00:21.280 --> 00:00:23.880]  耶穌基督為我們降生
[00:00:23.880 --> 00:00:25.760]  怎樣去回應這個訊息
[00:00:25.760 --> 00:00:29.920]  特別是回應這個恩典
[00:00:29.920 --> 00:00:35.720]  基督降生是要叫他的百姓知道救恩
[00:00:35.720 --> 00:00:39.360]  為我們已經信了耶穌的人
[00:00:39.360 --> 00:00:42.720]  或者將來會信耶穌的人
[00:00:42.720 --> 00:00:46.160]  就是神的百姓
[00:00:46.160 --> 00:00:50.000]  所以我們的回應
[00:00:50.000 --> 00:00:54.400]  應該是要將這麼好的救恩
[00:00:54.400 --> 00:00:57.560]  這個恩典和訊息傳遞開去
[00:00:57.560 --> 00:00:59.720]  給我們所認識或周圍的人
[00:00:59.720 --> 00:01:01.720]  都能聽到這個訊息
[00:01:01.720 --> 00:01:07.040]  得到這個救恩的恩典
[00:01:07.040 --> 00:01:10.680]  剛才我們讀的一段經文
[00:01:10.680 --> 00:01:13.480]  我們只讀了76-80節
[00:01:13.480 --> 00:01:19.360]  這段經文是當時的祭司撒加利亞
[00:01:19.360 --> 00:01:25.520]  他所發出的讚美詩的一部分
[00:01:25.520 --> 00:01:33.120]  他藉著讚美詩預言他的兒子施洗約翰
[00:01:33.120 --> 00:01:36.960]  將來要做神的先知
[00:01:36.960 --> 00:01:40.240]  去做救主基督的先鋒
[00:01:40.240 --> 00:01:43.400]  去預備當時百姓的心
[00:01:43.400 --> 00:01:45.920]  讓他們可以預備好心
[00:01:45.920 --> 00:01:50.040]  來迎接救主的降臨
[00:01:50.040 --> 00:01:54.600]  亦可以說是迎接救恩的降臨
[00:01:54.600 --> 00:02:00.360]  其實整篇的讚美詩是由67節開始的
[00:02:00.360 --> 00:02:06.680]  我也想說一些有關前面兩節的經文所說的話
[00:02:06.680 --> 00:02:14.080]  我們先看盧伽福音一章67節
[00:02:14.080 --> 00:02:18.560]  「他父親撒加利亞被聖靈充滿了就預言說」
[00:02:18.560 --> 00:02:21.520]  68節
[00:02:21.520 --> 00:02:24.800]  「主以色列的神是應當稱頌的」
[00:02:24.800 --> 00:02:31.640]  「因他眷顧他的百姓 為他們施行救贖」
[00:02:31.640 --> 00:02:34.640]  各位弟兄姊妹
[00:02:34.640 --> 00:02:42.120]  「短孫」即是做一個短期的宣教工作
[00:02:42.120 --> 00:02:45.400]  通常可能是一個星期
[00:02:45.400 --> 00:02:48.560]  最短的一個星期或十天
[00:02:48.560 --> 00:02:53.400]  兩個星期 甚至一年都叫短孫
[00:02:53.400 --> 00:02:58.120]  總之不會是幾年
[00:02:58.120 --> 00:03:02.480]  做短孫的其中一個很重要的目標
[00:03:02.480 --> 00:03:05.800]  和必然有的結果或收穫
[00:03:05.800 --> 00:03:11.040]  就是我們會看到神在世界各地
[00:03:11.040 --> 00:03:18.800]  他會在各地各處興起不同的人、不同的侍工
[00:03:18.800 --> 00:03:25.800]  來去眷顧、來去施行拯救他的百姓
