
[00:00:00.000 --> 00:00:03.000]  在你們一生人當中
[00:00:03.000 --> 00:00:08.000]  有沒有一些人你是不喜歡的
[00:00:08.000 --> 00:00:12.000]  你是不喜歡他們的性格
[00:00:12.000 --> 00:00:16.000]  你是不喜歡他們的壞習慣
[00:00:16.000 --> 00:00:18.000]  他們的性格 他們的壞習慣
[00:00:18.000 --> 00:00:20.000]  始終都沒有改變的
[00:00:20.000 --> 00:00:22.000]  至於你本人
[00:00:22.000 --> 00:00:25.000]  你發覺你有一些壞的性格
[00:00:25.000 --> 00:00:27.000]  壞的習慣
[00:00:27.000 --> 00:00:29.000]  都是你不喜歡的
[00:00:29.000 --> 00:00:33.000]  是你沒有能力去改變的
[00:00:33.000 --> 00:00:36.000]  在教會當中
[00:00:36.000 --> 00:00:40.000]  我們會不會有一些集體的性格
[00:00:40.000 --> 00:00:43.000]  集體的做事的方式
[00:00:43.000 --> 00:00:45.000]  是你認為需要改變
[00:00:45.000 --> 00:00:47.000]  需要改革的
[00:00:47.000 --> 00:00:51.000]  但是始終都不能夠改變
[00:00:51.000 --> 00:00:53.000]  從另一個角度來說
[00:00:53.000 --> 00:00:57.000]  你有沒有感受到在教會裏面
[00:00:57.000 --> 00:00:59.000]  那種待人接物
[00:00:59.000 --> 00:01:01.000]  處事的方式
[00:01:01.000 --> 00:01:04.000]  是有很多的問題
[00:01:04.000 --> 00:01:08.000]  或者當我們又去留心社會的時候
[00:01:08.000 --> 00:01:11.000]  社會當中會不會有一些的風氣
[00:01:11.000 --> 00:01:16.000]  是我們感覺到非常的痛心
[00:01:16.000 --> 00:01:20.000]  譬如你是不想賭博
[00:01:20.000 --> 00:01:22.000]  這種的禍毒
[00:01:22.000 --> 00:01:25.000]  在香港的社會繼續的延伸
[00:01:25.000 --> 00:01:28.000]  你是不喜歡香港的教育的制度
[00:01:28.000 --> 00:01:31.000]  你是不認同這家的政府
[00:01:31.000 --> 00:01:34.000]  但是發覺是無能為力的
[00:01:34.000 --> 00:01:38.000]  我們是不能夠改變什麼
[00:01:38.000 --> 00:01:41.000]  再看遠一點的時候
[00:01:41.000 --> 00:01:44.000]  在這個世界當中
[00:01:44.000 --> 00:01:47.000]  有沒有一些的惡事
[00:01:47.000 --> 00:01:48.000]  惡行
[00:01:48.000 --> 00:01:51.000]  譬如戰爭好像飢餓一樣
[00:01:51.000 --> 00:01:53.000]  是我們不喜歡的
[00:01:53.000 --> 00:01:56.000]  是我們想去改變的
[00:01:56.000 --> 00:01:59.000]  但是發覺都是不能夠改變
[00:01:59.000 --> 00:02:02.000]  都是不能夠終止的
[00:02:02.000 --> 00:02:05.000]  從耿古到現在
[00:02:05.000 --> 00:02:08.000]  我們是不斷的努力
[00:02:08.000 --> 00:02:11.000]  我們希望是要除掉
[00:02:11.000 --> 00:02:14.000]  世間種種的惡
[00:02:14.000 --> 00:02:16.000]  觀念的惡
[00:02:16.000 --> 00:02:17.000]  習慣的惡
[00:02:17.000 --> 00:02:18.000]  心靈的惡
[00:02:18.000 --> 00:02:20.000]  風俗的惡等等
[00:02:20.000 --> 00:02:23.000]  我們是不喜歡自私
[00:02:23.000 --> 00:02:25.000]  不喜歡貪心
[00:02:25.000 --> 00:02:26.000]  不喜歡驕傲
[00:02:26.000 --> 00:02:27.000]  不喜歡惡毒
[00:02:27.000 --> 00:02:29.000]  不喜歡彼此的仇恨
[00:02:29.000 --> 00:02:32.000]  我們是不想有賭博的問題
[00:02:32.000 --> 00:02:34.000]  色情的問題
[00:02:34.000 --> 00:02:36.000]  戰爭的問題等等
[00:02:36.000 --> 00:02:38.000]  但是當我們發覺
[00:02:38.000 --> 00:02:41.000]  我們是要決心想去解決
[00:02:41.000 --> 00:02:43.000]  這種種的問題
[00:02:43.000 --> 00:02:47.000]  很多時候我們都是非常失望的
[00:02:47.000 --> 00:02:50.000]  我們會失望說
[00:02:50.000 --> 00:02:54.000]  為什麼我們都不能夠將這些罪惡
[00:02:54.000 --> 00:02:56.000]  在我們的生命
[00:02:56.000 --> 00:02:58.000]  在這個世界
[00:02:58.000 --> 00:03:00.000]  可以說出去呢?
[00:03:00.000 --> 00:03:04.000]  為什麼甚至我們是不能夠將這些的惡
[00:03:04.000 --> 00:03:06.000]  從教會
[00:03:06.000 --> 00:03:08.000]  說出去呢?
[00:03:08.000 --> 00:03:12.000]  這個是我們今天晚上所思想的
[00:03:12.000 --> 00:03:15.000]  在耶穌基督改變形象之後
[00:03:15.000 --> 00:03:19.000]  門徒是經歷到無能為力
[00:03:19.000 --> 00:03:23.000]  是沒有能力將鬼說出去
[00:03:23.000 --> 00:03:28.000]  他們沒有能力去除惡
[00:03:28.000 --> 00:03:32.000]  這個是從今天的《馬達福音》十七章
[00:03:32.000 --> 00:03:36.000]  十四至二十一節我們看得到的
[00:03:36.000 --> 00:03:39.000]  首先我們看一下
[00:03:39.000 --> 00:03:43.000]  為什麼門徒會說
[00:03:43.000 --> 00:03:48.000]  我們是不能夠說出鬼呢?
[00:03:48.000 --> 00:03:50.000]  故事是這樣的
[00:03:50.000 --> 00:03:53.000]  彼得、雅各和約翰
[00:03:53.000 --> 00:03:58.000]  是剛剛經歷到生命當中最精彩的事件
[00:03:58.000 --> 00:04:00.000]  他們在山上
[00:04:00.000 --> 00:04:03.000]  看見耶穌基督的改變形象
