
[00:00:00.000 --> 00:00:05.820]  美國以一個反恐之名的監控通訊做法
[00:00:05.820 --> 00:00:14.320]  據美國前中央情報局人員斯諾登爆料
[00:00:14.320 --> 00:00:21.000]  美國國家安全局情況並非對特定目標來監控
[00:00:21.000 --> 00:00:29.700]  而是對美國國民以至全球使用美國電訊業的一個伺服器客戶
[00:00:29.700 --> 00:00:34.500]  不由分說地去攜集數據資料
[00:00:34.500 --> 00:00:39.900]  然後才在當中找尋所謂反恐情報
[00:00:39.900 --> 00:00:47.600]  換言之,全球民眾都成為美國國家安全局的監控對象
[00:00:47.600 --> 00:00:53.900]  從數據收集的範圍和可能衍生的情況
[00:00:53.900 --> 00:00:59.400]  美國做法顯然已經超越反恐所需要
[00:00:59.400 --> 00:01:04.000]  除非美國能夠提供可信的解釋
[00:01:04.000 --> 00:01:08.600]  否則就是侵犯了各國人民的私隱
[00:01:08.600 --> 00:01:14.000]  是《明報》6月12日寫評中的一部份
[00:01:14.000 --> 00:01:20.000]  如果真是這樣,這的確是一種罪行
[00:01:20.000 --> 00:01:28.400]  剛才的經文《路加福音》7章36至8章3節
[00:01:28.400 --> 00:01:33.200]  提到一位婦人的行動
[00:01:33.200 --> 00:01:41.200]  其實四卷福音書都提到一位婦人高抹耶穌的事情
[00:01:41.200 --> 00:01:48.200]  可以確信其他三卷福音書是提到同一件事
[00:01:48.200 --> 00:01:52.200]  而《路加福音》所記載是另一件事
[00:01:52.200 --> 00:01:58.200]  他們提到的是耶穌生平最後一個星期
[00:01:58.200 --> 00:02:00.400]  當中發生的事
[00:02:00.400 --> 00:02:04.000]  而《路加福音》所提及這件事
[00:02:04.000 --> 00:02:09.200]  是比其他三卷書提的更早的時間
[00:02:09.200 --> 00:02:17.000]  《路加罪術》當中罪人用眼淚弄濕了耶穌的腳
[00:02:17.000 --> 00:02:24.200]  用頭髮去擦乾,用膏去抹,用它去親嘴
[00:02:24.200 --> 00:02:29.200]  用親嘴來親主的腳
[00:02:29.200 --> 00:02:36.200]  跟我們在其他的記載當中所看到的是不一樣
[00:02:36.200 --> 00:02:42.200]  在《路加福音》當中所關注的是愛和赦免
[00:02:42.200 --> 00:02:50.200]  其他三卷書則是提到鄉高和州際窮人的事情
[00:02:50.200 --> 00:02:54.200]  一位名叫西門的法利塞人
[00:02:54.200 --> 00:02:59.200]  邀請耶穌一起去進禪
[00:02:59.200 --> 00:03:06.200]  耶穌早前曾經和瑞麗一起吃飯
[00:03:06.200 --> 00:03:08.200]  就在五章29節提到
[00:03:08.200 --> 00:03:13.200]  現在就是他和法利塞人
[00:03:13.200 --> 00:03:22.200]  可見耶穌是富有同情心樂意去接觸不同的人
[00:03:22.200 --> 00:03:26.200]  苦人的罪得赦
[00:03:26.200 --> 00:03:30.200]  以致他存著一個感謝的心
[00:03:30.200 --> 00:03:34.200]  用極貴的鄉高來抹主
[00:03:34.200 --> 00:03:37.200]  在37-38節提到
[00:03:37.200 --> 00:03:41.200]  那城裡有一個女人
[00:03:41.200 --> 00:03:44.200]  這裡形容她是一個罪人
[00:03:44.200 --> 00:03:48.200]  可能是說她是一個妓女
[00:03:48.200 --> 00:03:52.200]  當她知道了宴客這件事
[00:03:52.200 --> 00:03:57.200]  就去到西門的家裡
[00:03:57.200 --> 00:04:01.200]  好像耶穌所參加的這一類的筵席
[00:04:01.200 --> 00:04:05.200]  不是一個私下舉行的筵席
[00:04:05.200 --> 00:04:08.200]  眾人都可以來到當中
[00:04:08.200 --> 00:04:13.200]  看看席間所發生什麼事
[00:04:13.200 --> 00:04:21.200]  這個女人一定不會是西門主人所歡迎
[00:04:21.200 --> 00:04:24.200]  她這樣去到西門的家裡
[00:04:24.200 --> 00:04:28.200]  一定是鼓足勇氣
[00:04:28.200 --> 00:04:37.200]  這個女人帶著一個裝了香膏的雪花石玉瓶
[00:04:37.200 --> 00:04:42.200]  是一個球狀香料的容器
[00:04:42.200 --> 00:04:47.200]  據聞雪花石玉瓶是最好的材料
[00:04:47.200 --> 00:04:50.200]  所以我們可以推算
[00:04:50.200 --> 00:04:55.200]  這瓶香膏是極之珍貴
[00:04:55.200 --> 00:04:59.200]  苦人不是被邀請去赴宴席
[00:04:59.200 --> 00:05:04.200]  但他仍然進了主人家裡
[00:05:04.200 --> 00:05:07.200]  站在耶穌的背後
[00:05:07.200 --> 00:05:11.200]  靠著耶穌的腳
[00:05:11.200 --> 00:05:13.200]  在耶穌的時代
[00:05:13.200 --> 00:05:19.200]  猶太人吃飯一般是打側
[00:05:19.200 --> 00:05:26.200]  一隻手按著一張矮的飯桌
[00:05:26.200 --> 00:05:30.200]  腳是在後面
[00:05:30.200 --> 00:05:35.200]  於是這個苦人不需要走到飯桌前
[00:05:35.200 --> 00:05:41.200]  也能夠高耶穌的腳
[00:05:41.200 --> 00:05:44.200]  當時這個苦人情緒很激動
[00:05:44.200 --> 00:05:46.200]  以致他流淚
[00:05:46.200 --> 00:05:51.200]  竟然他的眼淚弄濕了耶穌的腳
[00:05:51.200 --> 00:05:54.200]  他很迅速用他的頭髮
[00:05:54.200 --> 00:05:59.200]  為耶穌擦乾他的腳
[00:05:59.200 --> 00:06:02.200]  這個動作其實很不尋常
[00:06:02.200 --> 00:06:05.200]  因為猶太的婦女在公眾場合
[00:06:05.200 --> 00:06:11.200]  不會披散他的頭髮
[00:06:11.200 --> 00:06:18.200]  他顯然沒有著意旁人怎樣去看他
[00:06:18.200 --> 00:06:22.200]  看了他的行動會說什麼
[00:06:22.200 --> 00:06:28.200]  他很關切在耶穌身上
[00:06:28.200 --> 00:06:30.200]  他親吻耶穌的腳
[00:06:30.200 --> 00:06:34.200]  這個行動很少有
[00:06:34.200 --> 00:06:36.200]  即是說當時的人
[00:06:36.200 --> 00:06:41.200]  最後他把香膏抹在耶穌的腳上
[00:06:41.200 --> 00:06:43.200]  其實在正常的情況下
[00:06:43.200 --> 00:06:49.200]  用香膏是抹在頭上
[00:06:49.200 --> 00:06:55.200]  但他竟然把香膏抹在耶穌的腳上
[00:06:55.200 --> 00:07:00.200]  可能是表示他對自己的情況
[00:07:00.200 --> 00:07:03.200]  一個謙卑的態度
[00:07:03.200 --> 00:07:10.200]  通常僕人會為主人服侍賓客
[00:07:10.200 --> 00:07:14.200]  為賓客洗腳
[00:07:14.200 --> 00:07:21.200]  所以耶穌曾經令這個女人
[00:07:21.200 --> 00:07:24.200]  脫離了犯罪的生活
[00:07:24.200 --> 00:07:27.200]  以致她這個行動是表達
[00:07:27.200 --> 00:07:31.200]  對主的愛和感激
[00:07:31.200 --> 00:07:35.200]  因為主已經赦免了她的罪
[00:07:35.200 --> 00:07:40.200]  正如剛才詩篇32篇第一第二節說到
[00:07:40.200 --> 00:07:44.200]  「得赦免其過,遮蓋其罪的,
[00:07:44.200 --> 00:07:55.200]  者人是有福的,凡心裡沒有詭詐,又說不算為有罪的,者人是有福的。」
[00:07:55.200 --> 00:08:00.200]  神願意赦免我們每一個的罪
[00:08:00.200 --> 00:08:06.200]  是表明神對人的慈愛、憐憫
[00:08:06.200 --> 00:08:09.200]  不知道你有沒有試過有罪疚感
[00:08:09.200 --> 00:08:13.200]  得罪了人的感受
[00:08:13.200 --> 00:08:20.200]  可能不敢跟對方繼續交往
[00:08:20.200 --> 00:08:24.200]  或者不想說道歉的話
[00:08:24.200 --> 00:08:27.200]  如果你耿耿於懷
[00:08:27.200 --> 00:08:30.200]  你也會不開心
[00:08:30.200 --> 00:08:35.200]  因為覺得自己好像虧欠了他
[00:08:35.200 --> 00:08:38.200]  但是如果罪得到赦免
[00:08:38.200 --> 00:08:41.200]  是多麼有福呢?
[00:08:41.200 --> 00:08:45.200]  正正就是主赦免了我們的罪
[00:08:45.200 --> 00:08:50.200]  是多麼有福呢?
[00:08:50.200 --> 00:08:56.200]  婦人對主的愛心大
[00:08:56.200 --> 00:08:59.200]  獻上香膏
[00:08:59.200 --> 00:09:04.200]  她蒙主的赦免也是很大
[00:09:04.200 --> 00:09:06.200]  宴請耶穌的主人
[00:09:06.200 --> 00:09:11.200]  這位法利塞人見到婦人用香膏去抹主的腳
[00:09:11.200 --> 00:09:13.200]  她內心想
[00:09:13.200 --> 00:09:16.200]  如果耶穌是先知
