
[00:00:00.000 --> 00:00:04.700]  毅康,前一段時間離開世界
[00:00:04.700 --> 00:00:11.240]  崇基基督教文化節一段視頻,火熱地傳播
[00:00:11.240 --> 00:00:13.840]  因為他是主講嘉賓
[00:00:13.840 --> 00:00:18.880]  他說,達摩面壁九年
[00:00:18.880 --> 00:00:24.220]  但我在美國十年的時間看《聖經》
[00:00:24.220 --> 00:00:26.460]  得到一個結論
[00:00:26.460 --> 00:00:35.000]  今世很短暫,來世很長久
[00:00:35.000 --> 00:00:37.800]  今世很短暫,來世很長久
[00:00:37.800 --> 00:00:42.980]  不值得為短暫的今生勞勞碌碌
[00:00:42.980 --> 00:00:45.480]  這是原話
[00:00:45.480 --> 00:00:48.320]  其實《聖經》提醒我們
[00:00:48.320 --> 00:00:51.840]  不但今世很短暫,來世很長
[00:00:51.840 --> 00:00:57.020]  更加提醒我們,在今世短暫的時間
[00:00:57.020 --> 00:01:07.260]  好好運用財富,為將來永存的帳幕預備
[00:01:07.260 --> 00:01:10.840]  教會採用的修訂通用經課
[00:01:10.840 --> 00:01:14.280]  我們每個禮拜都用
[00:01:14.280 --> 00:01:20.520]  是將三卷的符類福音分開三年
[00:01:20.520 --> 00:01:22.440]  第一年是讀《馬太》
[00:01:22.440 --> 00:01:26.680]  是強調耶穌的宣講
[00:01:26.680 --> 00:01:29.280]  他是教師,宣講天國道理
[00:01:29.280 --> 00:01:32.560]  第二年是《馬可》
[00:01:32.560 --> 00:01:35.200]  是強調耶穌的權能
[00:01:35.200 --> 00:01:39.040]  祂趕鬼醫病,祂有權能
[00:01:39.040 --> 00:01:41.120]  服侍需要的人
[00:01:41.120 --> 00:01:45.240]  今年丙年,是盧加年
[00:01:45.240 --> 00:01:50.640]  是講耶穌的憐憫、憐恤有需要的人
[00:01:50.640 --> 00:01:53.400]  約翰福音因為傳統古教會
[00:01:53.400 --> 00:02:01.120]  是在聖周和之前的御虎期和之後復活期讀的
[00:02:01.120 --> 00:02:02.400]  散播了三年
[00:02:02.400 --> 00:02:04.560]  也因為很長的約翰福音
[00:02:04.560 --> 00:02:07.720]  就不可以很容易剪裁
[00:02:07.720 --> 00:02:11.880]  所以就是三年《馬太》、《馬可》、《路加》
[00:02:11.880 --> 00:02:17.120]  然後約翰散播在三年裡面
[00:02:17.120 --> 00:02:19.720]  今天是講到一個財主
[00:02:19.720 --> 00:02:24.520]  和一個很貧窮又有病的拉撒路
[00:02:24.520 --> 00:02:28.840]  我先看看這個比喻的背景
[00:02:28.840 --> 00:02:30.800]  在之前耶穌講了一個比喻
[00:02:30.800 --> 00:02:34.200]  上星期我們讀出了經課
[00:02:34.200 --> 00:02:37.120]  一個不義的管家
[00:02:37.120 --> 00:02:42.640]  應該準確翻譯為不誠實的、不忠信的管家
[00:02:42.640 --> 00:02:45.640]  私高益、管益的
[00:02:45.640 --> 00:02:48.800]  主人把錢交給這個管家
[00:02:48.800 --> 00:02:50.200]  放貸
[00:02:50.200 --> 00:02:51.480]  但是他不誠實
[00:02:51.480 --> 00:02:53.360]  穿過桂筒底
[00:02:53.360 --> 00:02:55.320]  就被人告到主人那裡
[00:02:55.320 --> 00:02:59.000]  主人要把他辭退
[00:02:59.000 --> 00:03:00.640]  就是他辭退之先
[00:03:00.640 --> 00:03:04.280]  這個不誠實的管家很聰明
[00:03:04.280 --> 00:03:08.080]  他說:如果我沒有這份工作,我耕田又沒力
[00:03:08.080 --> 00:03:10.840]  剋食又怕醜,怎麼辦呢?
[00:03:10.840 --> 00:03:12.160]  他想到一個方法
[00:03:12.160 --> 00:03:14.240]  立即善待債主
[00:03:14.240 --> 00:03:16.480]  你欠多少錢,減少很多
[00:03:16.480 --> 00:03:20.640]  有些可能說:不用了,不用還了
[00:03:20.640 --> 00:03:23.280]  他很聰明
[00:03:23.280 --> 00:03:26.000]  錢財很快不可以調動
[00:03:26.000 --> 00:03:28.000]  工作很快就沒了
[00:03:28.000 --> 00:03:30.280]  他就在有限的時間裡面
[00:03:30.280 --> 00:03:32.880]  為了將來籌謀
[00:03:32.880 --> 00:03:39.800]  在這一點上,耶穌讚許這個不忠信的管家
[00:03:39.800 --> 00:03:41.640]  說他聰明
[00:03:41.640 --> 00:03:42.800]  用錢結交朋友
[00:03:42.800 --> 00:03:45.720]  到了錢財沒用的時候
[00:03:45.720 --> 00:03:49.000]  他們可以接你到永全的帳幕裡面
[00:03:49.000 --> 00:03:52.040]  就在這一點上,耶穌讚許他
[00:03:52.040 --> 00:03:55.560]  比喻不是每一點都匹配的
