
[00:00:00.000 --> 00:00:04.500]  我們讀一段聖經在希伯來書第四章第十六節
[00:00:04.500 --> 00:00:07.360]  希伯來書第四章十六節 我們一同來念來
[00:00:07.360 --> 00:00:11.700]  所以我們只管坦然無懼地來到施恩的寶座前
[00:00:11.700 --> 00:00:15.580]  為了要得延續蒙恩惠 做隨時的幫助
[00:00:15.580 --> 00:00:16.700]  再讀一遍來
[00:00:16.700 --> 00:00:20.940]  所以我們只管坦然無懼地來到施恩寶座前
[00:00:20.940 --> 00:00:26.240]  為了要得延續蒙恩惠 做隨時的幫助
[00:00:26.240 --> 00:00:30.380]  今天是父親節 首先讓我恭賀每一位在座的父親
[00:00:30.380 --> 00:00:35.080]  父親節非常非常非常快樂
[00:00:35.080 --> 00:00:36.720]  有時候在過節的時候
[00:00:36.720 --> 00:00:40.120]  我們常常還是比較看重母親節
[00:00:40.120 --> 00:00:44.540]  因為母親的愛在我們一生當中是永不止息的
[00:00:44.540 --> 00:00:49.840]  但其實 做父親也蠻偉大的
[00:00:49.840 --> 00:00:54.280]  跟你媽說 父親也蠻偉大的
[00:00:54.280 --> 00:00:56.840]  所以我們在教會裡面每次在父親節的時候
[00:00:56.840 --> 00:01:02.040]  總為父親們安排了一個全家人可以一起照相的機會
[00:01:02.040 --> 00:01:07.620]  盼望我們中間的父親能夠享受這個屬於你的日子
[00:01:07.620 --> 00:01:11.120]  我們看見在一個孩子成長的過程當中
[00:01:11.120 --> 00:01:14.720]  父親的形象是非常重要
[00:01:14.720 --> 00:01:18.560]  這個父親的形象倒不在於你的外表如何
[00:01:18.560 --> 00:01:21.800]  或者你口中所講的話語如何
[00:01:21.800 --> 00:01:26.080]  而事實上是一種潛移默化的影響力
[00:01:26.080 --> 00:01:27.900]  我們的生活行為
[00:01:27.900 --> 00:01:29.340]  我們的喜好
[00:01:29.340 --> 00:01:30.680]  我們的厭惡
[00:01:30.680 --> 00:01:32.240]  我們的習慣
[00:01:32.240 --> 00:01:35.880]  甚至我們心中的憂慮跟恐懼
[00:01:35.880 --> 00:01:41.880]  這些都會直接或間接地影響到我們的兒女
[00:01:41.880 --> 00:01:43.160]  所以有時候你不感覺到
[00:01:43.160 --> 00:01:45.500]  有時候你看見你兒女的時候
[00:01:45.500 --> 00:01:48.520]  就好像你看見你自己 不是嗎
[00:01:48.520 --> 00:01:50.600]  正是因為是如此
[00:01:50.600 --> 00:01:51.960]  做一個父親的
[00:01:51.960 --> 00:01:56.940]  我們一點不能夠輕忽神所託付給我們的責任
[00:01:56.940 --> 00:01:58.640]  我們要求神幫助我們
[00:01:58.640 --> 00:02:03.840]  能夠做一個能夠帶來屬靈影響力的父親
[00:02:03.840 --> 00:02:05.200]  當然也許你會說
[00:02:05.200 --> 00:02:06.840]  糟糕了 我這麼不完全
[00:02:06.840 --> 00:02:10.140]  怎麼樣能夠帶來屬靈的影響力 怎麼辦呢
[00:02:10.140 --> 00:02:11.380]  感謝神
[00:02:11.380 --> 00:02:13.980]  今天我們人雖然是不完全
