
[00:00:00.000 --> 00:00:03.000]  相信大家都很清楚
[00:00:03.000 --> 00:00:08.200]  今晚講道的訊息是關於祈禱的
[00:00:08.200 --> 00:00:12.800]  特別的是關於個人的禱告
[00:00:12.800 --> 00:00:15.800]  個人的禱告
[00:00:15.800 --> 00:00:19.800]  曾經有一位牧者他這樣講過
[00:00:19.800 --> 00:00:23.000]  他說很多基督徒很想知道
[00:00:23.000 --> 00:00:27.000]  怎樣去到推展神的國度
[00:00:27.000 --> 00:00:32.000]  於是他們就花時間加入侍奉的行列
[00:00:32.000 --> 00:00:36.000]  他們關心那些疲憊的人和兒童
[00:00:36.000 --> 00:00:39.000]  他們又去照料病人
[00:00:39.000 --> 00:00:45.000]  又進行很多教導和講道的工作
[00:00:45.000 --> 00:00:49.000]  但是很少人祈禱
[00:00:49.000 --> 00:00:51.000]  每當被問及
[00:00:51.000 --> 00:00:55.000]  每一日你花了多少時間來禱告呢?
[00:00:55.000 --> 00:01:01.000]  一小時、半小時還是十五分鐘呢?
[00:01:01.000 --> 00:01:05.000]  答案往往是令人驚訝的
[00:01:05.000 --> 00:01:13.000]  經常每日禱告十五分鐘的人是極少的
[00:01:13.000 --> 00:01:15.000]  弟兄姊妹
[00:01:15.000 --> 00:01:18.000]  如果這番說話去問大家的時候
[00:01:18.000 --> 00:01:23.000]  特別是最後那幾句說話問大家
[00:01:23.000 --> 00:01:29.000]  你每日有多少時間是你個人的禱告呢?
[00:01:29.000 --> 00:01:31.000]  你有什麼答案呢?
[00:01:31.000 --> 00:01:36.000]  你會怎樣來回答呢?
[00:01:36.000 --> 00:01:44.000]  相信可能我們真的沒有一個很長的時間
[00:01:44.000 --> 00:01:48.000]  相信在這方面我們都有很多的虧欠
[00:01:48.000 --> 00:01:53.000]  所以我們真的要為這件事需要很多的檢討
[00:01:53.000 --> 00:01:56.000]  很多的反思
[00:01:56.000 --> 00:02:01.000]  不過當我們還沒有正式想怎樣去做好它的時候
[00:02:01.000 --> 00:02:04.000]  讓我們稍微了解一下
[00:02:04.000 --> 00:02:11.000]  究竟我們的禱告生活是怎樣情況下走下坡的呢?
[00:02:11.000 --> 00:02:13.000]  我們的祈禱生活
[00:02:13.000 --> 00:02:15.000]  特別是講個人的祈禱生活
[00:02:15.000 --> 00:02:19.000]  我們是怎樣慢慢衰落了呢?
[00:02:19.000 --> 00:02:23.000]  慢慢的倒退了呢?
[00:02:23.000 --> 00:02:27.000]  這個就很值得我們的反思
[00:02:27.000 --> 00:02:30.000]  如果我在這方面有思想的話
[00:02:30.000 --> 00:02:32.000]  有一些想法的話
