
[00:00:00.000 --> 00:00:04.320]  今日分享的題目叫做化解危機
[00:00:04.320 --> 00:00:08.000]  不知道大家喜不喜歡看那些英雄片
[00:00:08.000 --> 00:00:11.560]  最近都有一套英雄片上畫
[00:00:11.560 --> 00:00:13.920]  我們也跟少年一起去看
[00:00:13.920 --> 00:00:16.440]  未看之前有些少年就說
[00:00:16.440 --> 00:00:17.680]  那套戲不好看
[00:00:17.680 --> 00:00:19.840]  跟以前的英雄片不同
[00:00:19.840 --> 00:00:21.400]  但是看完之後
[00:00:21.400 --> 00:00:22.880]  我又覺得挺OK
[00:00:22.880 --> 00:00:25.840]  其他少年都說不是啊,挺好看
[00:00:25.840 --> 00:00:29.120]  我不知道你又喜歡看甚麼英雄片
[00:00:29.120 --> 00:00:33.080]  我喜歡有時看拯救世界的英雄片
[00:00:33.080 --> 00:00:36.120]  特別是拯救世界的人
[00:00:36.120 --> 00:00:38.360]  好像很平凡
[00:00:38.360 --> 00:00:40.680]  又好像不是很起眼
[00:00:40.680 --> 00:00:42.760]  但那些人又不是很留意到他
[00:00:42.760 --> 00:00:46.400]  但他們一出手就拯救了地球
[00:00:46.400 --> 00:00:49.600]  我其中一個很喜歡看的系列就是
[00:00:49.600 --> 00:00:51.080]  黑超特警組
[00:00:51.080 --> 00:00:53.120]  希望大家喜歡黑超特警組
[00:00:53.120 --> 00:00:54.960]  我也很喜歡黑超特警組
[00:00:54.960 --> 00:00:57.040]  黑超特警組說甚麼呢
[00:00:57.040 --> 00:00:59.440]  就是當地球人大部分都不知道
[00:00:59.440 --> 00:01:01.240]  原來有外星人的時候
[00:01:01.240 --> 00:01:03.680]  這班黑超特警組會怎樣呢
[00:01:03.680 --> 00:01:08.400]  他們會維持地球人和外星人的秩序
[00:01:08.400 --> 00:01:12.440]  他們會跟友好的外星人保持關係
[00:01:12.440 --> 00:01:17.200]  但又會去防禦那些惡意的外星人的攻擊
[00:01:17.200 --> 00:01:20.320]  其實我最喜歡他們有一個設備
[00:01:20.320 --> 00:01:22.960]  就是你看到在螢光幕上面的那個
[00:01:22.960 --> 00:01:26.840]  大家知不知道這是甚麼設備
[00:01:26.840 --> 00:01:29.600]  對,這是毀滅記憶筆
[00:01:29.600 --> 00:01:31.920]  即是閃一閃,大家看一看
[00:01:31.920 --> 00:01:34.920]  你又不記得了,不想記得那些東西
[00:01:34.920 --> 00:01:36.560]  我其實常常都覺得
[00:01:36.560 --> 00:01:38.920]  我很想有一支這樣的筆
[00:01:38.920 --> 00:01:40.600]  大家知道為甚麼我這麼需要一支筆嗎
[00:01:40.600 --> 00:01:42.120]  熟悉我的人就知道了
[00:01:42.120 --> 00:01:45.480]  因為我常常都說話放題
[00:01:45.480 --> 00:01:48.000]  我經常不經大腦說話
[00:01:48.000 --> 00:01:49.600]  說話得罪人、傷害人
[00:01:49.600 --> 00:01:51.760]  你告訴我有這支筆就好了
[00:01:51.760 --> 00:01:53.000]  我說話得罪了你的時候
[00:01:53.000 --> 00:01:54.520]  我叫你看一看
[00:01:54.520 --> 00:01:56.440]  你又不記得了,又不知道我得罪了你
[00:01:56.440 --> 00:01:57.200]  你說多好呢
[00:01:57.200 --> 00:02:00.680]  這曾經是我一個聖誕的願望
[00:02:00.680 --> 00:02:03.920]  不過知道這個只可以在電影裡有
[00:02:03.920 --> 00:02:05.960]  另一個我很喜歡看的電影
[00:02:05.960 --> 00:02:07.520]  叫《石破天驚》
[00:02:07.520 --> 00:02:08.840]  不知道大家有沒有看過
