
[00:00:00.000 --> 00:00:03.880]  今天很高興來到大家當中分享神教話語
[00:00:03.880 --> 00:00:08.040]  我們仍然繼續思考聖誕節的意義
[00:00:08.040 --> 00:00:11.200]  今天這個題目與封編有關
[00:00:11.200 --> 00:00:14.600]  我定為給金主的溫馨提示
[00:00:14.600 --> 00:00:16.800]  各位金主請留意
[00:00:16.800 --> 00:00:21.400]  Fred Eng,我們的Communication Director
[00:00:21.400 --> 00:00:26.040]  為CrossPoint寫了一首25週年紀念的主題曲
[00:00:26.040 --> 00:00:27.120]  大家都聽過了
[00:00:27.120 --> 00:00:32.040]  歌的結尾提到人生的終極答案
[00:00:32.040 --> 00:00:34.680]  當然我們知道人生的終極答案就是基督
[00:00:34.680 --> 00:00:37.920]  也就是神與人之間的交換點
[00:00:37.920 --> 00:00:39.080]  就是耶穌基督
[00:00:39.080 --> 00:00:40.360]  但有趣的是
[00:00:40.360 --> 00:00:42.360]  這首歌其實你聽
[00:00:42.360 --> 00:00:44.000]  我看歌詞似乎沒有定義
[00:00:44.000 --> 00:00:46.760]  究竟這個終極的問題是什麼
[00:00:46.760 --> 00:00:48.880]  答案的問題是什麼呢?
[00:00:48.880 --> 00:00:52.880]  很多人可能認為人生終極的問題就是
[00:00:52.880 --> 00:00:54.600]  如何可以找到快樂
[00:00:54.600 --> 00:00:57.040]  如何可以讓我的生命更豐盛
[00:00:57.040 --> 00:00:59.440]  如何可以讓人生更加有價值
[00:00:59.440 --> 00:01:02.440]  我哪裡可以找到快樂的泉源
[00:01:02.440 --> 00:01:04.720]  如果這個真的是人的問題
[00:01:04.720 --> 00:01:05.560]  終極的問題
[00:01:05.560 --> 00:01:08.440]  答案的確就是耶穌基督
[00:01:08.440 --> 00:01:11.760]  透過耶穌基督與神結立關係
[00:01:11.760 --> 00:01:13.240]  Welcome to CrossPoint
[00:01:13.240 --> 00:01:14.080]  因為在這裡
[00:01:14.080 --> 00:01:18.800]  大家就可以體驗到神與人之間的關係
[00:01:18.800 --> 00:01:24.200]  但這個問題其實在不同的世代是不同的
[00:01:24.200 --> 00:01:26.400]  人生終極的問題是什麼呢?
[00:01:26.400 --> 00:01:28.680]  看法似乎其實不一樣
[00:01:28.680 --> 00:01:30.440]  追求個人幸福
[00:01:30.440 --> 00:01:32.680]  所謂實現自我
[00:01:32.680 --> 00:01:38.720]  其實多多少少是第二次世界大戰之後出生的一代
[00:01:38.720 --> 00:01:39.720]  嬰兒潮
[00:01:39.720 --> 00:01:40.760]  Baby Boomer
[00:01:40.760 --> 00:01:42.680]  特別關心的問題
[00:01:42.680 --> 00:01:44.520]  如果你看看人版
[00:01:44.520 --> 00:01:46.720]  Bill Clinton總統
