
[00:00:00.000 --> 00:00:01.720]  John就喜歡了Amy
[00:00:01.720 --> 00:00:04.840]  他不知道Amy也對他有好感
[00:00:04.840 --> 00:00:07.340]  John就天生害羞
[00:00:07.340 --> 00:00:08.940]  不敢表達
[00:00:08.940 --> 00:00:11.400]  又怕被人拒絕
[00:00:11.400 --> 00:00:13.940]  於是遲遲就不敢去追求
[00:00:13.940 --> 00:00:16.400]  直至他的死黨就怕他
[00:00:16.400 --> 00:00:18.040]  喂!你瘋了嗎?
[00:00:18.040 --> 00:00:19.160]  我在這裡幹什麼?
[00:00:19.160 --> 00:00:20.160]  去追人啊!
[00:00:20.160 --> 00:00:23.460]  於是John在他的死黨鼓勵之下
[00:00:23.460 --> 00:00:25.200]  就展開行動了
[00:00:25.200 --> 00:00:27.880]  Amy的回應是給了他一張紙
[00:00:28.540 --> 00:00:30.540]  John看著,打開這張紙
[00:00:30.540 --> 00:00:32.260]  就發覺一張白紙
[00:00:32.260 --> 00:00:33.340]  裡面有一個洞
[00:00:33.340 --> 00:00:36.260]  John看完以後就很不開心
[00:00:36.260 --> 00:00:37.060]  很沮喪
[00:00:37.060 --> 00:00:39.340]  死黨又見到他了
[00:00:39.340 --> 00:00:40.980]  就問他:喂!為什麼不開心啊?
[00:00:40.980 --> 00:00:42.300]  John說:哎!
[00:00:42.300 --> 00:00:44.900]  Amy的回應也很清楚啦
[00:00:44.900 --> 00:00:46.420]  一張白紙
[00:00:46.420 --> 00:00:47.900]  中間戳穿一個洞
[00:00:47.900 --> 00:00:50.500]  就是說叫我看破
[00:00:50.500 --> 00:00:54.380]  死到一條心,不要想了,看開點啦
[00:00:54.380 --> 00:00:56.420]  死黨看完以後
[00:00:56.980 --> 00:00:59.780]  哎!怎麼搞的?你這樣也不明白?
[00:00:59.780 --> 00:01:03.140]  一張白紙戳穿一個洞,不是叫你看破
[00:01:03.140 --> 00:01:04.180]  是叫你突破
[00:01:04.180 --> 00:01:08.180]  每個人都說,你不要猶豫,不要想那麼多了
[00:01:08.180 --> 00:01:10.580]  去展開追求,放膽去追求他啦
[00:01:10.580 --> 00:01:13.620]  專家說
[00:01:13.620 --> 00:01:17.460]  人生,人的成長
[00:01:17.460 --> 00:01:19.100]  去到一個階段
[00:01:19.100 --> 00:01:21.340]  總是會遇到一些瓶頸位
[00:01:21.340 --> 00:01:25.540]  如果我們沒有辦法去突破那些瓶頸位
[00:01:25.980 --> 00:01:28.380]  到最後,我們會面對失敗
[00:01:28.380 --> 00:01:31.740]  但如果你看那個瓶頸位向上再望一望
[00:01:31.740 --> 00:01:33.140]  就是瓶的出口
[00:01:33.140 --> 00:01:37.940]  所以如果你可以突破這個瓶頸位
[00:01:37.940 --> 00:01:41.300]  你就會得到更大的成功
[00:01:41.300 --> 00:01:43.500]  突破是什麼呢?
[00:01:43.500 --> 00:01:46.940]  突破是大膽的放下舊有的東西
[00:01:46.940 --> 00:01:49.380]  去徹底的去改變你自己
[00:01:49.380 --> 00:01:53.700]  人生改變越徹底,你得到成功的機會就越大
[00:01:54.060 --> 00:01:56.540]  但問題是,突破的能力從何而來呢?
[00:01:56.540 --> 00:01:58.340]  對於我們信耶穌的人
[00:01:58.340 --> 00:02:01.180]  那個屬靈生命的突破
[00:02:01.180 --> 00:02:04.020]  是聖靈的能力幫助我們突破
[00:02:04.020 --> 00:02:07.220]  時至今日
[00:02:07.220 --> 00:02:11.940]  可能香港傳承的人都在說「復常」
[00:02:11.940 --> 00:02:13.220]  大英姊妹
[00:02:13.220 --> 00:02:16.660]  除了有權選擇、有自由選擇
[00:02:16.660 --> 00:02:18.220]  戴不戴口罩之外
[00:02:18.220 --> 00:02:20.820]  究竟「復常」對於你們來說代表什麼呢?
[00:02:20.820 --> 00:02:23.660]  你的屬靈生命究竟「復常」了沒有呢?
[00:02:24.420 --> 00:02:26.900]  我相信這三年來
[00:02:26.900 --> 00:02:30.580]  很多頂姊妹的生活都不是很容易過
[00:02:30.580 --> 00:02:33.020]  大家都知道這三年真的很困難
[00:02:33.020 --> 00:02:35.380]  最近有一個研究指出兩點
[00:02:35.380 --> 00:02:37.260]  第一點就是
[00:02:37.260 --> 00:02:41.300]  你不要以為在疫情這三年
[00:02:41.300 --> 00:02:42.500]  又不用上班了
[00:02:42.500 --> 00:02:44.660]  在家裡以為沒事做,完全不是
[00:02:44.660 --> 00:02:46.620]  資訊科技的發達
[00:02:46.620 --> 00:02:50.500]  令到職場和家庭的界限越來越模糊
[00:02:50.500 --> 00:02:52.900]  所以問你什麼時候上班呢?不知道
[00:02:52.900 --> 00:02:54.340]  問你什麼時候下班呢?不知道
[00:02:54.340 --> 00:02:58.300]  會說你工作的時間越來越長
[00:02:58.300 --> 00:03:01.060]  可能比以前更加忙碌
[00:03:01.060 --> 00:03:02.780]  我不知道你有沒有試過
[00:03:02.780 --> 00:03:07.220]  我小時候以前打風是很厲害的
[00:03:07.220 --> 00:03:10.060]  但是後來香港風又沒那麼厲害
[00:03:10.060 --> 00:03:11.980]  可能屋子又不錯
[00:03:11.980 --> 00:03:16.020]  一聽到「8號風球」、「10號風球」
[00:03:16.020 --> 00:03:18.220]  大部分香港人的反應包括我都是
[00:03:18.220 --> 00:03:19.020]  是什麼呢?
[00:03:19.020 --> 00:03:21.380]  「好東西!放假囉!」
[00:03:21.380 --> 00:03:23.940]  所以就不是回到那幾避風
[00:03:23.940 --> 00:03:27.540]  現在的潮酒館、電影院、戲院
[00:03:27.540 --> 00:03:28.660]  全部都關門了
[00:03:28.660 --> 00:03:31.460]  但是現在就不同了
