
[00:00:00.000 --> 00:00:04.000]  今天的題目我專門數過的
[00:00:04.000 --> 00:00:05.000]  有多少個字呀?
[00:00:05.000 --> 00:00:08.000]  15個呀
[00:00:08.000 --> 00:00:11.000]  多過上一次講完那個
[00:00:11.000 --> 00:00:13.000]  上一次講完那個題目都很長
[00:00:13.000 --> 00:00:14.000]  我數過有11個字
[00:00:14.000 --> 00:00:16.000]  我現在這個比那個長
[00:00:16.000 --> 00:00:21.000]  所以這個是我有史以來講到最長的一篇
[00:00:21.000 --> 00:00:23.000]  如果真的要給我講
[00:00:23.000 --> 00:00:24.000]  我真的可以講到最長
[00:00:24.000 --> 00:00:26.000]  不過時間有限
[00:00:26.000 --> 00:00:29.000]  我都會保證在應當完的時候會完結的
[00:00:29.000 --> 00:00:31.000]  剛才問了大家
[00:00:31.000 --> 00:00:35.000]  這個季節這個時間是有什麼節日呀?
[00:00:35.000 --> 00:00:36.000]  就是復活節
[00:00:36.000 --> 00:00:38.000]  大家都知道復活節是什麼吧?
[00:00:38.000 --> 00:00:40.000]  都是放假嘛
[00:00:40.000 --> 00:00:43.000]  放假是因為是一個節日
[00:00:43.000 --> 00:00:47.000]  傳統我們都是這樣放假來紀念的
[00:00:47.000 --> 00:00:48.000]  這個
[00:00:48.000 --> 00:00:52.000]  最後的日子
[00:00:52.000 --> 00:00:55.000]  大家應該都會想到
[00:00:55.000 --> 00:01:01.000]  就是在講耶穌在地上最後所做的事情
[00:01:01.000 --> 00:01:06.000]  耶穌在地上最後上十字架之前
[00:01:06.000 --> 00:01:07.000]  講過什麼
[00:01:07.000 --> 00:01:10.000]  這個最後的日子發生了什麼事情
[00:01:10.000 --> 00:01:11.000]  我們都知道
[00:01:11.000 --> 00:01:13.000]  中國人都有句說話
[00:01:13.000 --> 00:01:16.000]  人之將死,其言也善
[00:01:16.000 --> 00:01:21.000]  臨知道真的要結束生命的時候
[00:01:21.000 --> 00:01:23.000]  有些你很想做的事
[00:01:23.000 --> 00:01:24.000]  你就要做了它
[00:01:25.000 --> 00:01:28.000]  有些你很想對某些人講的說話
[00:01:28.000 --> 00:01:30.000]  你一定要跟他說了它
[00:01:30.000 --> 00:01:33.000]  那些事情是不是很重要呀?
[00:01:33.000 --> 00:01:35.000]  就是最重要的事情了
[00:01:35.000 --> 00:01:37.000]  那些要講的說話是什麼說話?
[00:01:37.000 --> 00:01:39.000]  就是最重要的說話
[00:01:39.000 --> 00:01:41.000]  所以我們這次要看的就是
[00:01:41.000 --> 00:01:45.000]  耶穌在最後上十字架之前
[00:01:45.000 --> 00:01:48.000]  那段時間做過什麼呢?
[00:01:48.000 --> 00:01:51.000]  那就是那個重要性很重要
[00:01:51.000 --> 00:01:52.000]  祂講過什麼呢?
[00:01:52.000 --> 00:01:54.000]  就是說祂講過這麼多東西
[00:01:54.000 --> 00:01:57.000]  裡面這些事情就最重要了
[00:01:57.000 --> 00:01:59.000]  因為時間關係
[00:01:59.000 --> 00:02:02.000]  我會很快地來講一次
[00:02:02.000 --> 00:02:05.000]  所以擔保你們一定可以聽到一些東西
[00:02:05.000 --> 00:02:10.000]  但是詳細的就會適當機會再去解釋
[00:02:10.000 --> 00:02:11.000]  所以一會兒可能會覺得
[00:02:11.000 --> 00:02:13.000]  嘩!怎麼講得這麼快
[00:02:13.000 --> 00:02:15.000]  為什麼我講話都講得這麼快呢?
[00:02:15.000 --> 00:02:16.000]  就有些原因
[00:02:16.000 --> 00:02:21.000]  首先就是耶穌祂上十字架
[00:02:21.000 --> 00:02:24.000]  是哪一天呢?
[00:02:24.000 --> 00:02:26.000]  傳統上我們都沒有什麼人有疑問
[00:02:26.000 --> 00:02:28.000]  那就是放假那一天
[00:02:28.000 --> 00:02:31.000]  Good Friday 星期五
[00:02:31.000 --> 00:02:36.000]  但是如果你看一些別人的研究文章
[00:02:36.000 --> 00:02:37.000]  你就會發覺
[00:02:37.000 --> 00:02:40.000]  咦!有些人說不是
[00:02:40.000 --> 00:02:42.000]  有沒有聽過?
[00:02:42.000 --> 00:02:45.000]  有些人說是星期四
[00:02:45.000 --> 00:02:48.000]  不是吧?星期四明明是星期五
[00:02:48.000 --> 00:02:51.000]  更加有些人說是星期三
[00:02:51.000 --> 00:02:53.000]  有沒有這麼離譜啊?星期三
[00:02:53.000 --> 00:02:54.000]  那我一會兒講下去
[00:02:54.000 --> 00:02:57.000]  講到最後就會揭盅
[00:02:57.000 --> 00:02:59.000]  告訴大家
[00:02:59.000 --> 00:03:03.000]  這麼多不同的說法裡面
[00:03:03.000 --> 00:03:05.000]  最有可能是哪一種
[00:03:05.000 --> 00:03:06.000]  到目前為止
[00:03:06.000 --> 00:03:08.000]  綜合了這麼多的研究
[00:03:08.000 --> 00:03:09.000]  那些人發表的文章
[00:03:09.000 --> 00:03:11.000]  其實最有理由是哪一天
[00:03:11.000 --> 00:03:14.000]  重要的是我們現在先講那些事情
[00:03:14.000 --> 00:03:16.000]  先講耶穌所講的話
[00:03:16.000 --> 00:03:19.000]  聖經裡面記載
[00:03:19.000 --> 00:03:20.000]  我們首先看一看
[00:03:20.000 --> 00:03:25.000]  約翰福音十二章一至八節
[00:03:25.000 --> 00:03:26.000]  我打了一個經文出來
[00:03:26.000 --> 00:03:28.000]  如果大家不想看經文
[00:03:28.000 --> 00:03:30.000]  看聖經可以看這裡
[00:03:30.000 --> 00:03:33.000]  我讀一次
[00:03:33.000 --> 00:03:39.000]  如月節前六日
[00:03:39.000 --> 00:03:43.000]  即是如月節數向前面六日
[00:03:43.000 --> 00:03:44.000]  發生的事情是什麼呢?
[00:03:44.000 --> 00:03:47.000]  耶穌來到伯大利
[00:03:47.000 --> 00:03:50.000]  就是祂叫拉撒路從死裡復活之處
[00:03:50.000 --> 00:03:53.000]  有人在那裡給耶穌預備筵席
[00:03:53.000 --> 00:03:54.000]  馬大侍候
[00:03:54.000 --> 00:03:58.000]  拉撒路也在那同耶穌坐席的人中
[00:03:58.000 --> 00:04:03.000]  瑪利亞就拿著一斤極貴的珍拿達香膏
[00:04:03.000 --> 00:04:04.000]  抹耶穌的腳
[00:04:04.000 --> 00:04:06.000]  又用自己頭髮去擦
[00:04:06.000 --> 00:04:08.000]  屋裡就滿了高的香氣
[00:04:08.000 --> 00:04:09.000]  有一個門徒
[00:04:09.000 --> 00:04:13.000]  就是那將要賣耶穌的伽勒人尤大雪
[00:04:13.000 --> 00:04:17.000]  這香膏為什麼不賣三十兩銀子周濟窮人呢?
[00:04:17.000 --> 00:04:19.000]  他說者說並不是掛念窮人
[00:04:19.000 --> 00:04:21.000]  乃因他是個賊
[00:04:21.000 --> 00:04:22.000]  尤大雪前來
[00:04:22.000 --> 00:04:24.000]  嘗取其中所存的
[00:04:24.000 --> 00:04:26.000]  耶穌說尤他爸
[00:04:26.000 --> 00:04:30.000]  他是為我安葬之日存留的
[00:04:30.000 --> 00:04:32.000]  因為常有窮人和你們同在
[00:04:32.000 --> 00:04:35.000]  只是你們不常有我
[00:04:35.000 --> 00:04:39.000]  應該大家讀聖經都讀過一段經文
[00:04:39.000 --> 00:04:44.000]  重要的是這件事情發生在如月節之前
[00:04:44.000 --> 00:04:46.000]  數回去六天
[00:04:46.000 --> 00:04:48.000]  我們一會兒說前六天
[00:04:48.000 --> 00:04:49.000]  前五天
[00:04:49.000 --> 00:04:50.000]  前四天
[00:04:50.000 --> 00:04:52.000]  一路看看發生什麼事
[00:04:52.000 --> 00:04:54.000]  前六天就是一個星期之內
[00:04:54.000 --> 00:04:56.000]  發生了的是耶穌去坐席
[00:04:56.000 --> 00:04:57.000]  就是吃飯的時候
[00:04:57.000 --> 00:04:59.000]  在瑪大家中
[00:04:59.000 --> 00:05:01.000]  瑪利亞就拿著一斤
[00:05:01.000 --> 00:05:03.000]  真的不是假的
[00:05:03.000 --> 00:05:05.000]  真的拿達香膏
[00:05:05.000 --> 00:05:08.000]  是以前的婦女
[00:05:08.000 --> 00:05:10.000]  很小的時候就慢慢存錢
[00:05:10.000 --> 00:05:11.000]  一直存這些香膏
[00:05:11.000 --> 00:05:14.000]  存到足夠的時候就嫁人了
[00:05:14.000 --> 00:05:18.000]  嫁人的時候就拿這個香膏出來使用
