
[00:00:00.000 --> 00:00:03.560]  不知道大家有沒有試過收過一些帳單
[00:00:03.560 --> 00:00:07.400]  但是有一個限期要繳交
[00:00:07.400 --> 00:00:10.080]  但是過了期沒有繳交
[00:00:10.080 --> 00:00:12.800]  於是就要付罰款
[00:00:12.800 --> 00:00:16.040]  通常這些帳單上面都會寫明
[00:00:16.040 --> 00:00:19.280]  如果你過了哪一天就要繳交
[00:00:19.280 --> 00:00:22.760]  甚至有一些會寫明要罰多少錢
[00:00:22.760 --> 00:00:25.280]  甚至用紅色字寫的
[00:00:25.280 --> 00:00:27.680]  我也收過這些帳單
[00:00:27.680 --> 00:00:29.400]  但是不知道為什麼
[00:00:29.400 --> 00:00:32.720]  總是因為還沒到期
[00:00:32.720 --> 00:00:34.720]  或者是事忙
[00:00:34.720 --> 00:00:36.400]  就把它放在一旁
[00:00:36.400 --> 00:00:39.520]  總是會有些時候忘記繳交
[00:00:39.520 --> 00:00:42.240]  但是有時候過了幾天繳交
[00:00:42.240 --> 00:00:44.920]  沒事的,不用繳錢
[00:00:44.920 --> 00:00:48.400]  這個經驗就令到我們有時候會
[00:00:48.400 --> 00:00:50.920]  這樣嗎?下次都遲一點
[00:00:50.920 --> 00:00:52.640]  那就不用繳了
[00:00:52.640 --> 00:00:55.760]  不過最終其實上次不用
[00:00:55.760 --> 00:00:58.360]  可能這次過幾天都要繳回來
[00:00:58.360 --> 00:01:02.360]  那個 grace period 是有不同的
[00:01:02.360 --> 00:01:04.560]  其實在我們生命裡面
[00:01:04.560 --> 00:01:09.080]  都有很多大小小的警告或者提示
[00:01:09.080 --> 00:01:11.920]  好像這些帳單忘記繳交
[00:01:11.920 --> 00:01:14.600]  可能你的損失就是罰錢
[00:01:14.600 --> 00:01:16.680]  但是如果有一些警告
[00:01:16.680 --> 00:01:18.920]  可能是和性命有關的
[00:01:18.920 --> 00:01:22.840]  例如說如果現在八號風球
[00:01:22.840 --> 00:01:25.720]  你仍然去上山下海去玩
[00:01:25.720 --> 00:01:28.520]  不單止你的性命受到威脅
[00:01:28.520 --> 00:01:33.320]  連去拯救你的人的性命也受到威脅
[00:01:33.320 --> 00:01:35.760]  其實神對我們的生命
[00:01:35.760 --> 00:01:41.000]  都有很多不同的大大小小的提示警告
