
[00:00:00.000 --> 00:00:03.960]  我又想問一下 最怕失去的東西
[00:00:03.960 --> 00:00:08.640]  如果想起最怕失去的東西 是會是什麼呢?
[00:00:08.640 --> 00:00:19.080]  會不會怕失去健康 怕失去工作 怕失去財富?
[00:00:19.080 --> 00:00:21.840]  可能我們每個人都有點不同
[00:00:21.840 --> 00:00:26.040]  但是 如果一個人還活著的時候
[00:00:26.040 --> 00:00:30.120]  失去了自己 失去了自己的話
[00:00:30.120 --> 00:00:33.800]  這個可能就是一個最深的失去
[00:00:33.800 --> 00:00:39.880]  在早幾年 英格蘭 我們最近在廣播
[00:00:39.880 --> 00:00:48.240]  英格蘭有一個足球員 他是一個很年輕已經入了國家隊
[00:00:48.240 --> 00:00:53.640]  很出名 前途一片光明的一個球星
[00:00:53.640 --> 00:00:57.200]  他在2013年的時候做過一個訪問
[00:00:57.200 --> 00:01:02.040]  這個訪問他提到 在他年輕的時候
[00:01:02.040 --> 00:01:07.360]  他曾經經歷過什麼
[00:01:07.360 --> 00:01:14.080]  在他八歲的時候 他已經開始被大人騙去幫忙運動
[00:01:14.080 --> 00:01:22.600]  成長之後 他有很多坎坷的經歷
[00:01:22.600 --> 00:01:26.440]  所以他去到雖然是一個很出名的球星
[00:01:26.440 --> 00:01:31.320]  但是在2013年的訪問 他就分享到
[00:01:31.320 --> 00:01:35.320]  有幾年的時間 他覺得失去了自己
[00:01:35.320 --> 00:01:38.640]  他Lost了 不知道自己是誰
[00:01:38.640 --> 00:01:44.160]  我們發現 原來一個人就算有名聲 名成利就
[00:01:44.160 --> 00:01:50.280]  好像他那樣 當時是一個新星
[00:01:50.280 --> 00:01:56.080]  但原來也有失去自己的時候
[00:01:56.080 --> 00:02:02.760]  今天我們一起去看看 聖經裡面也有一個人失去了自己
[00:02:02.760 --> 00:02:09.000]  當一個人失去了自己的時候 他會變成什麼樣子呢?
[00:02:09.000 --> 00:02:14.040]  容不容易找回他呢? 怎樣找回他呢?
[00:02:14.040 --> 00:02:16.920]  我們一起看看今天的經文
[00:02:16.920 --> 00:02:20.560]  《馬可福音》第五章 一到二十節
[00:02:20.560 --> 00:02:22.600]  我們看和修本
[00:02:22.600 --> 00:02:27.920]  因為經文有點長 所以我不會一次過讀完二十節
[00:02:27.920 --> 00:02:31.160]  但首先講一下總結
[00:02:31.160 --> 00:02:35.160]  在《馬可福音》五章一到二十節
[00:02:35.160 --> 00:02:39.640]  講到一個我們很熟悉的事件 格拉森的事件
[00:02:39.640 --> 00:02:46.400]  耶穌渡過了加利利海的時候 去到格拉森人這個地方
[00:02:46.400 --> 00:02:49.840]  一上岸的時候 他就見到一個人
[00:02:49.840 --> 00:02:52.240]  這個人是什麼人呢?
[00:02:52.240 --> 00:02:57.520]  被污鬼附身的人 我們俗稱「鬼附身」的人
[00:02:57.520 --> 00:03:02.000]  他住在墳墓裡 沒人能夠制服他
[00:03:02.000 --> 00:03:05.760]  他在墳墓裡天天大喊大叫
[00:03:05.760 --> 00:03:10.800]  而且他會用石頭去打自己 打傷自己
[00:03:10.800 --> 00:03:15.000]  耶穌來渡的時候 他吩咐污鬼離開這個人
[00:03:15.000 --> 00:03:19.040]  污鬼告訴耶穌 他叫做「群」
[00:03:19.040 --> 00:03:22.720]  「群」的意思是「很多」
[00:03:22.720 --> 00:03:28.200]  即是這個人身上不只是一個污鬼在他裡面
[00:03:28.200 --> 00:03:32.000]  於是這個群 這些污鬼就求耶穌
[00:03:32.000 --> 00:03:37.200]  讓他離開這個人之後 不要離開這個地方
[00:03:37.200 --> 00:03:40.520]  讓他進入一群豬裡面
[00:03:40.520 --> 00:03:46.320]  耶穌准許了 於是這一群污靈就進入豬的裡面
[00:03:46.320 --> 00:03:50.840]  最終他就掉進了崖裡面 豬就淹死了
[00:03:50.840 --> 00:03:52.760]  淹死了二千隻
[00:03:52.760 --> 00:03:57.400]  而救出來本身污靈附體的這個人
[00:03:57.400 --> 00:04:02.080]  他因為耶穌救了他 他就很想跟著耶穌
[00:04:02.080 --> 00:04:04.440]  但是耶穌有沒有給呢?
[00:04:04.440 --> 00:04:07.480]  耶穌有沒有給呢?我們一會兒就看看
[00:04:07.480 --> 00:04:10.160]  故事大概就講到這裡
[00:04:10.160 --> 00:04:15.080]  耶穌離開了這個地方的時候
[00:04:15.080 --> 00:04:18.880]  這個人求他 可以讓他跟著
[00:04:18.880 --> 00:04:20.440]  即是求耶穌讓他跟著
[00:04:20.440 --> 00:04:23.440]  最終耶穌有沒有回答他 我們一會兒就講
[00:04:23.440 --> 00:04:26.240]  我們發現三卷的福音書
[00:04:26.240 --> 00:04:30.200]  我們叫對觀福音 即是《馬可》、《馬太》和《路加》
[00:04:30.200 --> 00:04:35.520]  三卷福音書裡面都有記載到格拉森的事件
[00:04:35.520 --> 00:04:39.440]  即是說格拉森的事件其實是一件很重要的事
[00:04:39.440 --> 00:04:43.880]  如果不是三個福音書都有提到這件事
[00:04:43.880 --> 00:04:50.880]  到底聖經的作者 即是那三個門徒
[00:04:50.880 --> 00:04:55.720]  想我們今天聖經的讀者去明白些什麼呢?
[00:04:55.720 --> 00:05:00.320]  透過這件事 明白些什麼呢?
[00:05:00.320 --> 00:05:03.320]  我們一會兒又再慢慢講
[00:05:03.320 --> 00:05:07.200]  我們看看《馬可福音》五章
[00:05:07.200 --> 00:05:11.520]  五章二到五節其實是講到一個狀況
[00:05:11.520 --> 00:05:16.120]  一個人在屋靈裡面被屋靈糟蹋
[00:05:16.120 --> 00:05:18.600]  摧毀到一個什麼樣的狀況
[00:05:18.600 --> 00:05:22.720]  這個人原本是按著神的形象做的
[00:05:22.720 --> 00:05:27.120]  但現在被屋靈糟蹋到怎樣呢?
[00:05:27.120 --> 00:05:33.800]  原來當一個人長久地被黑暗霸佔的時候
[00:05:33.800 --> 00:05:42.280]  這個人會活得越來越不像一個神創造的人
[00:05:42.280 --> 00:05:44.440]  越來越不像
[00:05:44.440 --> 00:05:51.760]  黑暗的勢力就是霸佔了一個神創造的人
[00:05:51.760 --> 00:05:53.720]  怎樣霸佔呢?
[00:05:53.720 --> 00:05:55.560]  就好像這樣
[00:05:55.560 --> 00:05:59.400]  本身我們人與人之間是近的
[00:05:59.400 --> 00:06:00.960]  人與人之間是近的
[00:06:00.960 --> 00:06:03.240]  坐兩座位而已
[00:06:03.240 --> 00:06:05.560]  人與神都是坐兩座位
[00:06:05.560 --> 00:06:09.000]  誰知黑暗的勢力強行塞在我們中間
[00:06:09.000 --> 00:06:10.840]  在一個兩座位的身上
[00:06:10.840 --> 00:06:13.440]  強行塞進來
[00:06:13.440 --> 00:06:19.920]  黑暗很多時候就是這樣塞在人與人的關係裡面
[00:06:19.920 --> 00:06:23.880]  人與神的關係裡面
[00:06:23.880 --> 00:06:26.840]  黑暗的勢力通常只有兩招
[00:06:26.840 --> 00:06:28.520]  只有幾招來來去去
[00:06:28.520 --> 00:06:33.760]  我們今天會說出了哪兩招在這個人身上
[00:06:33.760 --> 00:06:36.960]  其中第一招叫梳離
[00:06:36.960 --> 00:06:40.160]  就是他強行要在中間塞一個位置
[00:06:40.160 --> 00:06:41.280]  他霸佔著
[00:06:41.280 --> 00:06:44.680]  瓦開來 瓦開來
[00:06:44.680 --> 00:06:46.200]  我們看看經文裡面說到
[00:06:46.200 --> 00:06:48.240]  格拉森這個人
[00:06:48.240 --> 00:06:51.040]  不是 格拉森被污淩附體這個人
[00:06:51.040 --> 00:06:52.520]  他住在哪裡?
[00:06:52.520 --> 00:06:55.120]  剛剛說到
[00:06:55.120 --> 00:06:56.720]  他住在墳墓裡面
[00:06:56.720 --> 00:06:58.480]  他不是住在家裡
[00:06:58.480 --> 00:07:00.480]  他不是住在人群裡面
[00:07:00.480 --> 00:07:02.880]  他住在一個墳墓裡面
[00:07:02.880 --> 00:07:07.320]  墳墓不是活人住的地方
[00:07:07.320 --> 00:07:12.360]  但這個活人就離開了活人的群體
[00:07:12.360 --> 00:07:15.160]  去到墳墓裡居住
[00:07:15.160 --> 00:07:17.320]  即是說他與他家隔絕
[00:07:17.320 --> 00:07:19.120]  與人群隔絕
[00:07:19.120 --> 00:07:21.640]  與所有正常的人
[00:07:21.640 --> 00:07:24.760]  都是關係隔絕了
[00:07:24.760 --> 00:07:28.080]  我們見到五章四節那裡怎樣說呢?
[00:07:28.080 --> 00:07:35.720]  他說這個人屢次被腳鏈和鐵鏈困鎖他
[00:07:35.720 --> 00:07:38.360]  但是困不困得住呢?
[00:07:38.360 --> 00:07:40.960]  經文說困不住
[00:07:40.960 --> 00:07:42.600]  但回頭一點點
[00:07:42.600 --> 00:07:46.280]  為什麼人們要制服他?
[00:07:46.280 --> 00:07:47.560]  為什麼要綁住他?
[00:07:47.560 --> 00:07:49.880]  為什麼要困住他呢?
[00:07:49.880 --> 00:07:53.080]  原來馬可福音這裡沒有說
[00:07:53.080 --> 00:07:54.880]  但我們看馬太福音
[00:07:54.880 --> 00:07:56.760]  第八章就要告訴我們
[00:07:56.760 --> 00:08:02.480]  為什麼人們要嘗試多次用鐵鏈去制服他
[00:08:02.480 --> 00:08:04.240]  馬太福音第八章說
[00:08:04.240 --> 00:08:10.680]  原來這個被污鬼附身的人極其兇惡
[00:08:10.680 --> 00:08:15.280]  他惡到沒有人敢走近那條路
[00:08:15.280 --> 00:08:17.440]  整個區域都被他霸佔了
[00:08:17.440 --> 00:08:22.560]  沒有人敢走過去
[00:08:22.560 --> 00:08:35.200]  原來黑暗令這個被污靈附身的人極其兇惡
[00:08:35.200 --> 00:08:38.680]  完全失去了自己
[00:08:38.680 --> 00:08:39.920]  和人隔絕
[00:08:39.920 --> 00:08:43.160]  我們不知道他有多少天沒有跟別人說話
[00:08:43.160 --> 00:08:45.960]  不知道他有多少天沒有見過人
[00:08:45.960 --> 00:08:50.400]  總之就是一個隔絕的狀態
[00:08:50.400 --> 00:08:52.880]  弟兄姊妹其實
[00:08:52.880 --> 00:08:55.120]  黑暗的勢力
[00:08:55.120 --> 00:08:58.040]  它第一個招數都是這樣的
[00:08:58.040 --> 00:09:00.960]  它都是要我們孤立
[00:09:00.960 --> 00:09:04.280]  要我們和人隔絕
[00:09:04.280 --> 00:09:06.640]  它會在我們心裡面跟我們說
[00:09:06.640 --> 00:09:09.040]  沒有人明白你了
[00:09:09.040 --> 00:09:11.080]  你不用告訴別人了
[00:09:11.080 --> 00:09:14.400]  讓別人知道別人會看不起你
[00:09:14.400 --> 00:09:17.360]  你不用回教會跟他們說了
[00:09:17.360 --> 00:09:19.720]  你不用跟弟兄姊妹說了
[00:09:19.720 --> 00:09:21.800]  沒有人能幫你
[00:09:21.800 --> 00:09:25.600]  你一個人能應付嗎?
[00:09:25.600 --> 00:09:29.880]  黑暗的勢力會跟你說你的話
[00:09:29.880 --> 00:09:34.120]  因為它知道當一個人離開了群體之後
[00:09:34.120 --> 00:09:37.440]  當一個人疏離了拒絕幫忙
[00:09:37.440 --> 00:09:40.560]  拒絕被人幫助的時候
[00:09:40.560 --> 00:09:45.240]  它就可以慢慢地霸佔這個人的生命
[00:09:45.240 --> 00:09:50.640]  但是為什麼我們知道我們要有群體的生活呢?
[00:09:50.640 --> 00:09:52.560]  聖經在哪裡告訴我們呢?
[00:09:52.560 --> 00:09:55.000]  為什麼我們不可以一個人呢?
[00:09:55.000 --> 00:09:59.920]  原來神做我們的心意都是要有群體的生活
[00:09:59.920 --> 00:10:01.160]  在《創世紀》那裡說
[00:10:01.160 --> 00:10:02.400]  神做人的時候
[00:10:02.400 --> 00:10:06.960]  祂說「那人獨居不好」
[00:10:06.960 --> 00:10:14.320]  就是說神做我們的時候有神的形象
[00:10:14.320 --> 00:10:17.560]  但是神的形象怎樣彰顯出來呢?
[00:10:17.560 --> 00:10:21.960]  不是只有一個人的個體去彰顯神的形象
[00:10:21.960 --> 00:10:25.440]  神要我們透過跟人的相處
[00:10:25.440 --> 00:10:28.560]  神要我們透過跟人的關係
[00:10:28.560 --> 00:10:30.680]  一些群體的生活
[00:10:30.680 --> 00:10:34.280]  才彰顯到神的形象、神的愛
[00:10:34.280 --> 00:10:36.000]  這是神的心意
[00:10:36.000 --> 00:10:38.200]  所以黑暗來到的時候
[00:10:38.200 --> 00:10:41.200]  祂的第一個詭計就是要這樣做
[00:10:41.200 --> 00:10:47.280]  破壞關係
[00:10:47.280 --> 00:10:51.520]  祂會令我們恐懼、隔絕
[00:10:51.520 --> 00:10:56.360]  慢慢地躲起來
[00:10:56.360 --> 00:11:00.160]  黑暗的勢力就好像一個綁匪一樣
[00:11:00.160 --> 00:11:02.040]  首先會怎樣呢?
[00:11:02.040 --> 00:11:06.280]  就是用方法引開你、疏離你
[00:11:06.280 --> 00:11:09.560]  你自己一個的時候就綁走你
[00:11:09.560 --> 00:11:16.240]  所以第二個招數就是綁走你、綁住你
[00:11:16.240 --> 00:11:18.480]  黑暗霸佔了一個人
