
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹、各位朋友,午安!
[00:00:02.000 --> 00:00:05.000]  今天可能有些弟兄姊妹不在我們當中
[00:00:05.000 --> 00:00:08.000]  但如果你認識她們,又不在我們當中
[00:00:08.000 --> 00:00:11.000]  可能是因為她們不舒服,又或者是工作
[00:00:11.000 --> 00:00:13.000]  又或者是她們其他的原因
[00:00:13.000 --> 00:00:16.000]  希望大家可以WhatsApp她們,跟她們聯絡一下,好嗎?
[00:00:16.000 --> 00:00:19.000]  好,今天我們首先會看一看題目
[00:00:19.000 --> 00:00:22.000]  就叫做《攻陷耶利哥》這個名字
[00:00:22.000 --> 00:00:26.000]  我相信這個故事,對很多人來說一點都不會陌生
[00:00:26.000 --> 00:00:29.000]  就算主要學的學生,都應該會讀過這個故事
[00:00:29.000 --> 00:00:32.000]  《攻陷耶利哥》這個典故
[00:00:32.000 --> 00:00:37.000]  我相信在舊約裡面,是其中一個比較為人熟悉的典故
[00:00:37.000 --> 00:00:42.000]  以色列新一代的南丁,在打耶利哥之前
[00:00:42.000 --> 00:00:46.000]  他們做了一個手術,就是割禮這個手術
[00:00:46.000 --> 00:00:49.000]  打仗,怎麼會這樣打?
[00:00:49.000 --> 00:00:51.000]  怎麼會在打仗之前做過手術?
[00:00:51.000 --> 00:00:54.000]  根本仗不是這樣打的
[00:00:54.000 --> 00:00:57.000]  而且以色列人聽從了神的吩咐
[00:00:57.000 --> 00:01:00.000]  圍繞著耶利哥城六天
[00:01:00.000 --> 00:01:02.000]  每一天就圍繞一個圈
[00:01:02.000 --> 00:01:05.000]  到了第七天的時候,他們圍繞七個圈
[00:01:05.000 --> 00:01:09.000]  祭司吹角,百姓呼喊,城牆就倒塌
[00:01:09.000 --> 00:01:13.000]  以色列人就衝進去耶利哥城,奪取城池
[00:01:13.000 --> 00:01:15.000]  但是我們要知道
[00:01:15.000 --> 00:01:19.000]  這一件事件,不是讓我們照抄的
[00:01:19.000 --> 00:01:22.000]  今時今日沒有人打仗,怎麼會這樣打?
[00:01:22.000 --> 00:01:26.000]  如果今時今日打仗,這樣打,一定死定了
[00:01:26.000 --> 00:01:28.000]  今時今日的打仗是怎麼打的?
[00:01:28.000 --> 00:01:32.000]  無人機、戰機,又或者是導彈
[00:01:32.000 --> 00:01:34.000]  這樣打的嘛,是不是?
[00:01:34.000 --> 00:01:40.000]  所以這一段典故,絕對不是可以照抄
[00:01:40.000 --> 00:01:43.000]  況且如果你要照抄的話,藥櫃都沒有了
