
[00:00:00.000 --> 00:00:06.400]  今日想和大家思想一個復活節裏面很重要的題目
[00:00:06.400 --> 00:00:16.000]  就是「同死同活,暫時和永恆」
[00:00:16.000 --> 00:00:21.400]  耶穌基督為我們死,祂也為我們復活
[00:00:21.400 --> 00:00:25.600]  祂為我們死是因為要買贖我們的罪
[00:00:25.600 --> 00:00:27.800]  代我們死
[00:00:27.800 --> 00:00:30.600]  但是祂又是神的兒子
[00:00:30.600 --> 00:00:33.000]  因此祂又復活
[00:00:33.000 --> 00:00:36.000]  祂復活了之後
[00:00:36.000 --> 00:00:37.800]  祂現在在天上
[00:00:37.800 --> 00:00:40.400]  在神的右邊
[00:00:40.400 --> 00:00:44.800]  當祂在世上過著一個無罪的生活
[00:00:44.800 --> 00:00:47.200]  而祂現在仍然活著
[00:00:47.200 --> 00:00:50.800]  在我們心裏面活著
[00:00:50.800 --> 00:00:53.200]  我們過的生活
[00:00:53.200 --> 00:00:57.000]  再不是未信主一樣的生活
[00:00:57.000 --> 00:01:02.000]  我們的生活是看到我們將來會復活
[00:01:02.000 --> 00:01:09.000]  我們會相信神會給我們最後會復活
[00:01:09.000 --> 00:01:12.000]  因為耶穌基督的復活
[00:01:12.000 --> 00:01:14.600]  因此我們有新的生命
[00:01:14.600 --> 00:01:17.600]  這個永生從現在開始
[00:01:17.600 --> 00:01:22.000]  而這個永生去到耶穌基督再來的時候
[00:01:22.000 --> 00:01:24.400]  會是另一個階段
[00:01:24.400 --> 00:01:28.000]  都是一個永遠的生命
[00:01:28.000 --> 00:01:32.200]  因此我們在這個世上活著的
[00:01:32.200 --> 00:01:35.800]  幾十年裏面是一個短暫的時間
[00:01:35.800 --> 00:01:38.800]  暫時的一段時間
[00:01:38.800 --> 00:01:41.800]  但是相對於永恆裏面
[00:01:41.800 --> 00:01:44.400]  我們這個短暫的時間
[00:01:44.400 --> 00:01:47.000]  我們應該怎樣看
[00:01:47.000 --> 00:01:50.800]  以致影響我們的生活
[00:01:50.800 --> 00:01:53.000]  過去兩個禮拜
[00:01:53.000 --> 00:01:56.000]  我們很多時候都聽到
[00:01:56.000 --> 00:01:57.800]  講到一個人物
[00:01:57.800 --> 00:02:01.000]  一個政壇上很重要的人物
[00:02:01.000 --> 00:02:03.400]  一個偉人李光耀
[00:02:03.400 --> 00:02:09.200]  在三月二十三日逝世
[00:02:09.200 --> 00:02:11.800]  今天不會講他做什麼
[00:02:11.800 --> 00:02:14.000]  今天最主要講的就是
[00:02:14.000 --> 00:02:17.000]  他和他太太的一些事
[00:02:17.000 --> 00:02:20.800]  他的太太叫柯玉芝
[00:02:20.800 --> 00:02:25.200]  他們在中學的時候已經是鬥很厲害
[00:02:25.200 --> 00:02:27.200]  是對手來的
[00:02:27.200 --> 00:02:33.200]  慢慢他們由對手變成欣賞對方
[00:02:33.200 --> 00:02:34.800]  後來去到劍橋那裏
[00:02:34.800 --> 00:02:37.600]  一起又是同學讀書
[00:02:37.600 --> 00:02:42.400]  他們的劇情就好像電影一樣
[00:02:42.400 --> 00:02:46.400]  在一九四七年他們結婚
[00:02:46.400 --> 00:02:50.000]  而他們兩夫妻大家互相幫助
[00:02:50.000 --> 00:02:53.000]  就算李光耀是沒有薪水的一段階段
