
[00:00:00.000 --> 00:00:04.800]  今日我想同大家一齊嚟到去睇另外一個聖經嘅人物
[00:00:04.800 --> 00:00:06.800]  上次我哋睇咗該人
[00:00:06.800 --> 00:00:11.400]  今日我想同大家嚟到睇都係創世紀嘅呢一位嘅人物
[00:00:11.400 --> 00:00:13.400]  以實瑪利
[00:00:13.400 --> 00:00:17.800]  可能大家對以實瑪利或多或少嘅認識
[00:00:17.800 --> 00:00:20.200]  佢就係阿伯拉罕嘅仔
[00:00:20.200 --> 00:00:22.200]  仲應該係大仔
[00:00:22.200 --> 00:00:26.600]  然後佢又有一個細佬 一個弟弟叫以撒
[00:00:26.600 --> 00:00:30.400]  我唔知除此之外大家仲有冇咩印象
[00:00:30.400 --> 00:00:34.200]  當然其中一個就係當以實瑪利同佢媽媽
[00:00:34.200 --> 00:00:42.600]  喺家庭裏面慢慢被撒拉唔係咁鍾意
[00:00:42.600 --> 00:00:45.000]  所以就要趕佢哋走
[00:00:45.000 --> 00:00:49.800]  今日呢段經文就係喺創世紀二十一章九到廿一節
[00:00:49.800 --> 00:00:57.400]  正正就係記載咗當撒拉覺得夏甲以前係佢嘅侍女
[00:00:57.400 --> 00:00:59.400]  同佢都有好親密嘅關係
[00:00:59.400 --> 00:01:03.200]  以至於將佢畀咗阿伯拉罕做為一個妾侍
[00:01:03.200 --> 00:01:05.200]  然後生咗以實瑪利
[00:01:05.200 --> 00:01:08.600]  但當撒拉自己生咗以撒之後
[00:01:08.600 --> 00:01:13.400]  佢就慢慢更加覺得夏甲同佢嘅仔對佢嚟講
[00:01:13.400 --> 00:01:17.200]  係越嚟越唔係咁好
[00:01:17.200 --> 00:01:18.800]  唔可以相處
[00:01:18.800 --> 00:01:28.200]  最後佢就要求阿伯拉罕將以實瑪利同夏甲好好處理
[00:01:28.200 --> 00:01:30.800]  阿伯拉罕喺嗰時候呢度形容
[00:01:30.800 --> 00:01:35.000]  為咗呢件事或者為咗呢個以實瑪利
[00:01:35.000 --> 00:01:36.800]  佢覺得好憂愁
[00:01:36.800 --> 00:01:39.000]  當佢經歷呢個時候
[00:01:39.000 --> 00:01:42.400]  神同阿伯拉罕講說話
[00:01:42.400 --> 00:01:56.400]  所以話畀佢知神比阿伯拉罕應許以撒先至係要繼承阿伯拉罕成為後裔大國嘅仔
[00:01:56.400 --> 00:02:01.200]  但係夏甲同埋以實瑪利就唔係嘅
[00:02:01.200 --> 00:02:04.800]  所以阿伯拉罕就要做返啲嘢
[00:02:04.800 --> 00:02:09.800]  咁阿伯拉罕做咗就將夏甲同以實瑪利趕走
[00:02:09.800 --> 00:02:13.800]  雖然呢度話畀佢知佢都比咗袋水比咗啲餅去
[00:02:13.800 --> 00:02:18.800]  但其實有時呢個做法亦未必係一個恰當嘅做法
[00:02:18.800 --> 00:02:20.200]  可能要做得好啲嘅
[00:02:20.200 --> 00:02:23.800]  但係結果阿伯拉罕就用咗呢個方式
[00:02:23.800 --> 00:02:28.200]  夏甲同佢嘅仔以實瑪利就去到一個曠野嘅地方
[00:02:28.200 --> 00:02:30.800]  就唔知點行
[00:02:30.800 --> 00:02:34.000]  結果啲水就飲曬
[00:02:34.000 --> 00:02:41.200]  佢當時就好似喺當中要等有冇幫助
[00:02:41.200 --> 00:02:44.600]  但係呢個幫助冇乜見到嘅時候
[00:02:44.600 --> 00:02:47.600]  佢覺得就差唔多好似要等死咁
[00:02:47.600 --> 00:02:51.000]  跟住就放聲大哭
[00:02:51.000 --> 00:02:54.800]  而神呢個時候又同佢講說話
[00:02:54.800 --> 00:02:58.800]  其實呢個喺之前當夏甲懷孕嘅期間
[00:02:58.800 --> 00:03:01.200]  佢都經歷過類似嘅
[00:03:01.200 --> 00:03:04.400]  然後神同佢對話之間就安慰佢
[00:03:04.400 --> 00:03:07.400]  然後俾夏甲睇見一個水井
[00:03:07.400 --> 00:03:09.800]  然後就搵到水
[00:03:09.800 --> 00:03:15.000]  佢就可以繼續嚟到去離開呢個地方
[00:03:15.000 --> 00:03:17.800]  去一個神為佢預備嘅地方
[00:03:17.800 --> 00:03:22.400]  夏甲就可以帶住以實瑪利經歷咗呢個嘅艱難
[00:03:22.400 --> 00:03:25.000]  剛才提到喺之前呢
[00:03:25.000 --> 00:03:26.000]  呢個係廿一章
[00:03:26.000 --> 00:03:29.800]  之前嘅十六章正正就係夏甲去懷孕嘅時候
[00:03:29.800 --> 00:03:33.200]  俾撒拉趕走
[00:03:33.200 --> 00:03:36.000]  當佢同樣發生嘅事情嘅時候
[00:03:36.000 --> 00:03:38.600]  神就話俾夏甲知佢要生一個仔
[00:03:38.600 --> 00:03:41.800]  呢個仔個名就叫以實瑪利
[00:03:41.800 --> 00:03:43.800]  以實瑪利嘅意思係咩呢
[00:03:43.800 --> 00:03:47.000]  就係講到耶和華聽見
[00:03:47.000 --> 00:03:49.400]  耶和華聽見你嘅苦情
