
[00:00:00.000 --> 00:00:02.120]  主啊,祢賜下這個恩典給我們
[00:00:02.120 --> 00:00:04.320]  讓我們去回應,讓我們去領受
[00:00:04.320 --> 00:00:06.080]  打開我們的耳朵
[00:00:06.080 --> 00:00:07.760]  打開我們屬靈的眼睛
[00:00:07.760 --> 00:00:09.040]  打開我們的心靈
[00:00:09.040 --> 00:00:10.720]  讓我們能夠願意相遇
[00:00:10.720 --> 00:00:13.520]  真理的靈教曉我們明白祢的旨意
[00:00:13.520 --> 00:00:14.760]  並且去順服
[00:00:14.760 --> 00:00:17.440]  聖靈也祢敲冠長闊高深的愛
[00:00:17.440 --> 00:00:18.960]  在弟兄姊妹的生命裡面
[00:00:18.960 --> 00:00:21.040]  讓祢的兒女在祢的愛裡面
[00:00:21.040 --> 00:00:22.600]  能夠跟從祢
[00:00:22.600 --> 00:00:23.520]  經歷祢
[00:00:23.520 --> 00:00:24.960]  享受祢的同在
[00:00:24.960 --> 00:00:26.040]  主啊,我們多謝祢
[00:00:26.040 --> 00:00:27.000]  我們奉耶穌基督的名
[00:00:27.000 --> 00:00:28.760]  分配一切難阻我們親近祢
[00:00:28.760 --> 00:00:30.240]  黑暗勢力要離開我們
[00:00:30.240 --> 00:00:32.520]  因為祢是我們的主
[00:00:32.520 --> 00:00:33.640]  祢是我們的王
[00:00:33.640 --> 00:00:35.480]  讓我們以下的時間
[00:00:35.480 --> 00:00:36.440]  分別為聖
[00:00:36.440 --> 00:00:37.240]  威向祢
[00:00:37.240 --> 00:00:37.920]  多謝祢
[00:00:37.920 --> 00:00:39.200]  聽我們禱告
[00:00:39.200 --> 00:00:41.000]  奉耶穌基督的聖名
[00:00:41.000 --> 00:00:41.480]  Amen
[00:00:41.480 --> 00:00:42.480]  請姐妹請坐
[00:00:42.480 --> 00:00:51.360]  有一個這樣的猶太人傳說
[00:00:51.360 --> 00:00:53.560]  話說亞當夏娃犯罪
[00:00:53.560 --> 00:00:58.000]  神將他們驅逐離開伊甸園
[00:00:58.000 --> 00:01:01.760]  神知道當亞當夏娃進入這個充滿罪的世界
[00:01:01.760 --> 00:01:04.720]  他們會經歷無數的苦難
[00:01:04.720 --> 00:01:07.040]  無數的痛苦
[00:01:07.040 --> 00:01:09.400]  慈愛善良的神
[00:01:09.400 --> 00:01:12.720]  賜給亞當夏娃一份禮物
[00:01:12.720 --> 00:01:13.920]  這份禮物
[00:01:13.920 --> 00:01:16.680]  就是當他們經歷痛苦的時候
[00:01:16.680 --> 00:01:20.440]  他們的眼睛會流出一些水珠
[00:01:20.440 --> 00:01:23.160]  當這些水珠流出來的時候
[00:01:23.160 --> 00:01:28.080]  亞當夏娃的苦痛就會得著舒緩
[00:01:28.080 --> 00:01:32.000]  這些水珠叫做眼淚
[00:01:32.000 --> 00:01:33.720]  當導演坐完
[00:01:33.720 --> 00:01:35.920]  得到香港電影金像獎
[00:01:35.920 --> 00:01:38.200]  終身成就獎的時候
[00:01:38.200 --> 00:01:40.760]  他曾經說過以下的話
[00:01:40.760 --> 00:01:42.800]  他說人生兩個字
[00:01:42.800 --> 00:01:48.440]  就是由歡聲和淚影四個字砌成
[00:01:48.440 --> 00:01:49.360]  任何人
[00:01:49.360 --> 00:01:51.400]  無論你以往多風光
[00:01:51.400 --> 00:01:53.560]  或者你以往多失意
[00:01:53.560 --> 00:01:54.840]  明天天亮
[00:01:54.840 --> 00:01:58.240]  大家都要起身繼續做人
[00:01:58.240 --> 00:02:01.080]  明天總比昨天好
[00:02:01.080 --> 00:02:03.760]  這個就是人生
[00:02:03.760 --> 00:02:05.080]  有人說
[00:02:05.080 --> 00:02:08.280]  如果音樂是人類的共同語言
[00:02:08.280 --> 00:02:13.480]  眼淚就是傳達人心聲的共同工具
[00:02:13.480 --> 00:02:16.760]  眼淚可以是哀傷的眼淚
[00:02:16.760 --> 00:02:18.720]  可以是歡笑的眼淚
[00:02:18.720 --> 00:02:22.440]  也可以是感動的眼淚
[00:02:22.440 --> 00:02:23.640]  這些眼淚
[00:02:23.640 --> 00:02:26.320]  卻是交織著今天我們講到的主角
[00:02:26.320 --> 00:02:28.600]  若瑟的一生
[00:02:28.600 --> 00:02:30.640]  若瑟是誰呢
[00:02:30.640 --> 00:02:32.840]  若瑟是他父親雅各
[00:02:32.840 --> 00:02:36.240]  偏心大細昭的得益者
[00:02:36.240 --> 00:02:38.440]  他父親偏心到一個地步
[00:02:38.440 --> 00:02:40.120]  有這麼多個兒子
[00:02:40.120 --> 00:02:41.640]  都不會再有一件彩衣
[00:02:41.640 --> 00:02:44.920]  他偏偏只做一件彩衣給他
[00:02:44.920 --> 00:02:46.800]  這件彩衣代表很多東西
[00:02:46.800 --> 00:02:48.440]  代表他父親打算
[00:02:48.440 --> 00:02:50.160]  他有這麼多個大兒子
[00:02:50.160 --> 00:02:52.640]  他個個都不給大兒子的名份
[00:02:52.640 --> 00:02:54.600]  他打算將大兒子的名份
[00:02:54.600 --> 00:02:58.280]  長子的名份賜給若瑟
[00:02:58.280 --> 00:02:59.840]  若瑟又很不會做
[00:02:59.840 --> 00:03:01.520]  不斷地打小報告
[00:03:01.520 --> 00:03:03.120]  戳他哥哥的背
[00:03:03.120 --> 00:03:05.600]  不斷地將他做的錯事壞事
