
[00:00:00.000 --> 00:00:05.120]  在來的週末,我鼓勵你回到家看《約殺日記》第七到第八章
[00:00:05.120 --> 00:00:08.600]  因爲我們下次會講到攻打艾城
[00:00:08.600 --> 00:00:10.440]  是牽涉兩章聖經的
[00:00:10.440 --> 00:00:13.480]  如果你沒有看聖經的話,回來聽到會比較艱辛一點
[00:00:13.480 --> 00:00:15.640]  當你打開《約殺日記》第六章的時候
[00:00:15.640 --> 00:00:19.720]  我一邊講一邊請你一邊看經文的進展
[00:00:19.720 --> 00:00:23.080]  我們今天要講的是攻打耶利哥城
[00:00:23.080 --> 00:00:27.880]  耶利哥城是一個重要的城鎮在迦南地
[00:00:27.880 --> 00:00:31.960]  也是他們過打約大河之後第一個要攻打的城鎮
[00:00:31.960 --> 00:00:39.800]  這次的城與敗,完全會影響日後在迦南地的戰爭
[00:00:39.800 --> 00:00:42.920]  在耶利哥城,我們看到如果是五月份
[00:00:42.920 --> 00:00:44.640]  埋伏了以色列團的弟兄姊妹
[00:00:44.640 --> 00:00:49.880]  你去到以色列將會去到耶利哥的遺址看到耶利哥城
[00:00:49.880 --> 00:00:53.560]  不要期望那麼高,你去到之後就會有點失望
[00:00:53.560 --> 00:00:57.400]  因爲你的失望是因爲我們對聖經的錯誤理解
[00:00:57.400 --> 00:00:59.200]  但是自導我們失望
[00:00:59.200 --> 00:01:05.720]  想象一下,我們大家沒有仔細去看聖經的時候
[00:01:05.720 --> 00:01:11.560]  我們認爲是200萬的以色列人圍繞耶利哥城
[00:01:11.560 --> 00:01:14.720]  你就想象耶利哥城有多大,應該是很大的
[00:01:14.720 --> 00:01:17.160]  去到以色列看一下,耶利哥城原來是很小的
[00:01:17.160 --> 00:01:20.640]  就開始有點失望,因爲我們是解錯經
[00:01:20.640 --> 00:01:22.400]  一會兒我們看下去會清楚
[00:01:22.400 --> 00:01:25.280]  在20世紀的考古學家就發掘了
[00:01:25.280 --> 00:01:28.280]  耶利哥城是被全人類見到
[00:01:28.280 --> 00:01:31.920]  後來一路發掘下去就發覺這個城古舊到
[00:01:31.920 --> 00:01:35.000]  是在現代到今天爲止
[00:01:35.000 --> 00:01:39.040]  在考古學當中最古舊的城就是耶利哥城
[00:01:39.040 --> 00:01:42.600]  在主前8000年已經是存在了
[00:01:42.600 --> 00:01:47.800]  因爲整個城的建設是易守難攻的
[00:01:47.800 --> 00:01:50.920]  有兩道主城牆是非常厚
[00:01:50.920 --> 00:01:56.160]  而城樓有30英尺的高,即是接近三層樓的高
[00:01:56.160 --> 00:02:01.040]  根據1990年的中東考古學的發現
[00:02:01.040 --> 00:02:04.880]  整個耶利哥城的遺址和約書記第六章所記載的
[00:02:04.880 --> 00:02:08.960]  耶利哥城被攻陷很多很吻合的地方
[00:02:08.960 --> 00:02:12.720]  包括城牆被銷燬,倒塌了
[00:02:12.720 --> 00:02:18.720]  甚至在城裏面見到很多栽了糧食的甕
[00:02:18.720 --> 00:02:21.360]  是沒有搬走的
[00:02:21.360 --> 00:02:24.720]  換句話說,耶利哥城被人攻陷
[00:02:24.720 --> 00:02:31.560]  是整個城裏面的人民沒有預備逃難,沒有預備逃生
[00:02:31.560 --> 00:02:37.160]  是很突然間被人攻陷,也是很短時間內被攻陷的
[00:02:37.160 --> 00:02:40.320]  而穀物沒有被敵軍所搶掠
[00:02:40.320 --> 00:02:42.200]  而耶利哥城被毀之後
[00:02:42.200 --> 00:02:47.640]  是被遺棄了一段非常長的時間
[00:02:47.640 --> 00:02:50.560]  不好意思,這幅圖始終出不來
[00:02:50.560 --> 00:02:56.920]  因爲在網上有人做了一幅耶利哥城的3D圖給大家看
[00:02:56.920 --> 00:03:00.640]  但是我們知道耶利哥城那麼難攻打的時候
[00:03:00.640 --> 00:03:04.800]  在約書記第六章,我們開始要問
[00:03:04.800 --> 00:03:09.400]  整張聖經裏面用了非常長的篇幅
[00:03:09.400 --> 00:03:15.480]  去描述整個軍隊的排列的次序去圍城
[00:03:15.480 --> 00:03:16.680]  請留意
[00:03:16.680 --> 00:03:21.320]  爲什麼我今天要花那麼多時間,那麼長的時間講這部分呢?
[00:03:21.320 --> 00:03:24.400]  因爲我們要問兩個問題
[00:03:24.400 --> 00:03:33.280]  第一,如果圍城這件事的陣營的排列要描述得那麼仔細
[00:03:33.280 --> 00:03:36.440]  卻是沒有意義的話
[00:03:36.440 --> 00:03:40.840]  接着我們就問,爲什麼要記得那麼仔細?
[00:03:40.840 --> 00:03:43.040]  這是我們要問的問題
[00:03:43.040 --> 00:03:49.720]  同樣,如果你告訴我方舟在人類歷史裏不存在的話
[00:03:49.720 --> 00:03:54.520]  爲什麼羅亞建方舟要記得那麼仔細?
[00:03:54.520 --> 00:03:58.280]  羅亞建方舟就算了,爲什麼要那麼仔細?
[00:03:58.280 --> 00:04:00.160]  我們開始要問這個問題
[00:04:00.160 --> 00:04:06.600]  那麼長的排列的遊行隊伍
[00:04:06.600 --> 00:04:10.040]  次序那麼清晰,那麼長進
[00:04:10.040 --> 00:04:13.800]  爲什麼?究竟它有什麼意義?
[00:04:13.800 --> 00:04:17.560]  如果沒有意義的,我們反過來問,爲什麼要那麼仔細?
[00:04:17.560 --> 00:04:22.280]  如果有意義的話,這次我們要問,它的意義是什麼?
[00:04:22.280 --> 00:04:26.320]  這裏特別對一些
[00:04:26.320 --> 00:04:31.880]  當中又有不同教會的背景的人,來到我們教會聚會
[00:04:31.880 --> 00:04:35.880]  特別如果你過往是有些靈因背景的
[00:04:35.880 --> 00:04:40.160]  甚至乎現在在網上聽我講道,你有些靈因背景的
[00:04:40.160 --> 00:04:44.680]  這段經文會對你,我先要給你一個心理準備
[00:04:44.680 --> 00:04:46.760]  會令你很失望
[00:04:46.760 --> 00:04:48.280]  我先給你一個心理準備
[00:04:48.280 --> 00:04:53.320]  會令你很失望,失望到墜下了
[00:04:53.320 --> 00:04:55.880]  這是今天你預備聽這堂道
[00:04:55.880 --> 00:04:59.920]  特別那些超級屬靈的,超級靈因的人
[00:04:59.920 --> 00:05:03.400]  不用做,叫雙手等上帝做事的那些
[00:05:03.400 --> 00:05:05.080]  你經常聽到這些話
[00:05:05.080 --> 00:05:08.520]  上帝不做,我們就不要做啦,這些說話的人
[00:05:08.520 --> 00:05:11.240]  面對《約書下記》第六章
[00:05:11.240 --> 00:05:13.600]  你就會超級失望的
[00:05:13.600 --> 00:05:15.320]  跟你旁邊的那些網友說
[00:05:15.320 --> 00:05:19.360]  你不要想着你不用做
[00:05:19.360 --> 00:05:23.600]  (笑)
[00:05:23.600 --> 00:05:25.560]  我們開始了
[00:05:25.560 --> 00:05:29.520]  耶利江城在以色列人來說是無法攻陷
[00:05:29.520 --> 00:05:33.200]  用他們的方法完全無法攻陷,他們的方法一定是失敗
[00:05:33.200 --> 00:05:36.440]  他們唯一的方法是什麼?唯一的方法就是聽上帝的方法
[00:05:36.440 --> 00:05:37.760]  上帝的方法就是說
[00:05:37.760 --> 00:05:40.000]  你要派祭司
[00:05:40.000 --> 00:05:43.400]  帶着約衛,吹起號角
[00:05:43.400 --> 00:05:46.360]  接着拿兵器的,現在你手頭上拿着的那些譯本
[00:05:46.360 --> 00:05:49.400]  如果你不是電子版的,如果你是電子版的你都要看看
[00:05:49.400 --> 00:05:54.040]  多半的我們拿着的叫做和合本的翻譯本
[00:05:54.040 --> 00:05:55.520]  和合本翻譯本呢
[00:05:55.520 --> 00:05:57.760]  你完全看不明白
[00:05:57.760 --> 00:06:01.760]  他們怎麼排行的方法
[00:06:01.760 --> 00:06:03.560]  我再講一下
[00:06:03.560 --> 00:06:06.880]  牧師怎麼花那麼多時間去講這個排行的方法
[00:06:06.880 --> 00:06:10.040]  如果是沒有意義的我們不需要探討了,我講完了
[00:06:10.040 --> 00:06:12.880]  正正我們覺得它是有意義的,所以我們要探討
[00:06:12.880 --> 00:06:15.880]  要探討就要很仔細,要很仔細我們要搞清楚究竟
[00:06:15.880 --> 00:06:18.480]  誰站在誰的前面,誰站在誰的後面
