
[00:00:00.000 --> 00:00:03.720]  請大家繼續翻開剛才所讀的經文
[00:00:03.720 --> 00:00:08.840]  《少行傳》第十六章四到十五節
[00:00:08.840 --> 00:00:11.040]  不知大家有沒有以下一種的經驗
[00:00:11.040 --> 00:00:13.600]  好像似曾相識
[00:00:13.600 --> 00:00:16.160]  譬如你去外地旅行
[00:00:16.160 --> 00:00:18.200]  或者參加旅行團
[00:00:18.200 --> 00:00:20.160]  旅行團的導遊跟你說
[00:00:20.160 --> 00:00:21.960]  我們有些地方
[00:00:21.960 --> 00:00:25.560]  你可以自由決定參不參加
[00:00:25.560 --> 00:00:28.440]  或者你會不會去看
[00:00:28.440 --> 00:00:31.120]  因為可能那個地方要辛苦一點
[00:00:31.120 --> 00:00:35.800]  可能那個地方你要明天一早四點
[00:00:35.800 --> 00:00:38.720]  未天亮就要集合
[00:00:38.720 --> 00:00:41.440]  要出發去到遠的地方
[00:00:41.440 --> 00:00:44.320]  或者要走到山上第一日出
[00:00:44.320 --> 00:00:46.120]  或者那個地方要走遠一點
[00:00:46.120 --> 00:00:48.600]  才看到那種景色
[00:00:48.600 --> 00:00:51.200]  於是你就可能決定參加
[00:00:51.200 --> 00:00:53.960]  參加完之後覺得真的很值得
[00:00:53.960 --> 00:00:56.080]  如果一些沒有參加的人
[00:00:56.080 --> 00:00:58.520]  怕累或者想睡久一點的人
[00:00:58.520 --> 00:00:59.560]  就會問你
[00:00:59.560 --> 00:01:01.520]  那裡怎樣怎樣
[00:01:01.520 --> 00:01:02.520]  你當然說好啊
[00:01:02.520 --> 00:01:03.600]  你不去就浪費了
[00:01:03.600 --> 00:01:04.840]  很可惜
[00:01:04.840 --> 00:01:06.240]  我們可能有這些經驗
[00:01:06.240 --> 00:01:09.200]  幸好我們有去到
[00:01:09.200 --> 00:01:11.080]  不枉此行
[00:01:11.080 --> 00:01:14.440]  因為我們願意多走一步
[00:01:14.440 --> 00:01:15.920]  在人的生命裡面
[00:01:15.920 --> 00:01:17.920]  你願意多走一步
[00:01:17.920 --> 00:01:22.120]  有很多事情可能你是意想不到
[00:01:22.120 --> 00:01:29.480]  或者你在進修你的學業裡面
[00:01:29.480 --> 00:01:32.520]  可能因為工作的緣故
[00:01:32.520 --> 00:01:34.600]  你可以有機會進修
[00:01:34.600 --> 00:01:38.720]  或者你是想在工作的領域裡面
[00:01:38.720 --> 00:01:41.640]  能夠更走前一步
[00:01:41.640 --> 00:01:45.800]  於是你可能會用了很多晚的時間
[00:01:45.800 --> 00:01:47.680]  花了很多年的時間
[00:01:47.680 --> 00:01:50.120]  進修有關的學習
[00:01:50.120 --> 00:01:53.200]  但是經過了很多的艱辛、很多的努力
[00:01:53.200 --> 00:01:55.440]  你有成果的時候
[00:01:55.440 --> 00:01:59.520]  你會覺得這個艱難是很值得的
[00:01:59.520 --> 00:02:01.000]  大家有沒有這樣試過?
[00:02:01.000 --> 00:02:03.120]  但是有時候反過來我們說
[00:02:03.120 --> 00:02:05.240]  當然不要了,很累的,很辛苦的
[00:02:05.240 --> 00:02:06.600]  於是你就放下了
[00:02:06.600 --> 00:02:09.560]  沒有向這個艱難去挑戰
[00:02:09.560 --> 00:02:12.480]  所以在淑齡來說
[00:02:12.480 --> 00:02:15.040]  多走一步有什麼意思呢?
[00:02:15.040 --> 00:02:16.280]  在淑齡來說多走一步
[00:02:16.280 --> 00:02:20.160]  又說我們自己的信仰能不能夠再盡心
[00:02:20.160 --> 00:02:24.800]  信心包括我們有沒有更大的信心向前走
[00:02:24.800 --> 00:02:28.160]  有沒有一個信服的心
[00:02:28.160 --> 00:02:30.400]  讓神帶領你
[00:02:30.400 --> 00:02:33.360]  有沒有一個更願意的心
[00:02:33.360 --> 00:02:36.920]  走一條十字架的路
[00:02:36.920 --> 00:02:38.800]  今天讀這本經文
[00:02:38.800 --> 00:02:43.720]  是早期教會裡面一個宣教的工作
[00:02:43.720 --> 00:02:45.120]  一個行程
[00:02:45.120 --> 00:02:48.760]  當保羅、提摩太和西拉
[00:02:48.760 --> 00:02:52.720]  他們越去越遠
[00:02:52.720 --> 00:02:56.440]  他們已經是第二次宣教的旅程了
[00:02:56.440 --> 00:02:58.200]  當然在上次講
[00:02:58.200 --> 00:03:02.040]  我沒有提及到一個這麼重要的人物
[00:03:02.040 --> 00:03:04.200]  以前叫做掃羅的保羅
[00:03:04.200 --> 00:03:05.360]  他的歸主
[00:03:05.360 --> 00:03:09.680]  然後他被神使用
[00:03:09.680 --> 00:03:14.320]  以致成為一個外邦人的使徒
[00:03:14.320 --> 00:03:16.360]  一個宣教士
[00:03:16.360 --> 00:03:20.480]  而且已經去了第一次的短宣
[00:03:20.480 --> 00:03:22.920]  在教會裡面報告
[00:03:22.920 --> 00:03:24.880]  又開了耶路撒冷的大會
[00:03:24.880 --> 00:03:26.040]  十五章
[00:03:26.040 --> 00:03:33.880]  外邦人怎樣能夠成為基督徒等等的事情
[00:03:33.880 --> 00:03:36.960]  現在開始展開一個更長的旅程
[00:03:36.960 --> 00:03:39.680]  當他們越去越遠的時候
[00:03:39.680 --> 00:03:42.360]  他們所面對的艱難是越來越多
[00:03:42.360 --> 00:03:45.040]  他們的挑戰是越來越重
[00:03:45.040 --> 00:03:49.160]  甚至他們向一個未知的方向
[00:03:49.160 --> 00:03:50.960]  路途去的時候
[00:03:50.960 --> 00:03:52.920]  是很大的冒險
[00:03:52.920 --> 00:03:55.960]  但是在淑玲那裡說
[00:03:55.960 --> 00:03:58.880]  你願意多走一步
[00:03:58.880 --> 00:04:01.520]  你願意去付出多一點
[00:04:01.520 --> 00:04:04.400]  你願意能夠去犧牲多一點
[00:04:04.400 --> 00:04:07.720]  你願意能夠去擺上
[00:04:07.720 --> 00:04:09.760]  帶著更大的信心
[00:04:09.760 --> 00:04:12.720]  帶著更大的信服
[00:04:12.720 --> 00:04:19.040]  就像保羅他們這隊的報道團
[00:04:19.040 --> 00:04:21.800]  有更豐富的經歷在裡面
