
[00:00:00.000 --> 00:00:03.400]  「化靈為靜」講了四堂
[00:00:03.400 --> 00:00:09.800]  今天進入最後一個講題
[00:00:09.800 --> 00:00:11.800]  「聖」即是「聖」來的「聖」
[00:00:11.800 --> 00:00:14.600]  我轉了少少英文的意思
[00:00:14.600 --> 00:00:17.600]  因為我覺得今個星期可以用這個字
[00:00:17.600 --> 00:00:18.800]  「God transform」
[00:00:18.800 --> 00:00:23.600]  即是神怎樣透過改變我們的生命
[00:00:23.600 --> 00:00:27.000]  而令我們透過得聖的生命
[00:00:27.000 --> 00:00:30.000]  以致能夠建立祂的國度
[00:00:30.000 --> 00:00:33.800]  好,照例我都會問下你們的問題
[00:00:33.800 --> 00:00:35.400]  有幾個問題問下你們
[00:00:35.400 --> 00:00:37.000]  所有人都喜歡進步的
[00:00:37.000 --> 00:00:38.200]  我問下大家第一個問題
[00:00:38.200 --> 00:00:43.400]  就是有誰覺得自己很幸福美滿
[00:00:43.400 --> 00:00:45.600]  不再需要進步的?
[00:00:45.600 --> 00:00:50.000]  我好驚你們都有
[00:00:50.000 --> 00:00:52.000]  好,第二個問題就是
[00:00:52.000 --> 00:00:55.000]  無論自己好與否,我都不想進步
[00:00:58.000 --> 00:01:00.000]  好,這個都可以
[00:01:00.000 --> 00:01:01.000]  好,第三條了
[00:01:01.000 --> 00:01:05.000]  第三個就是覺得自己都幾好
[00:01:05.000 --> 00:01:07.000]  但有進步的空間
[00:01:07.000 --> 00:01:10.000]  我接多一點手
[00:01:10.000 --> 00:01:12.000]  好,掌聲鼓勵
[00:01:12.000 --> 00:01:16.000]  這個第四條,你猜我問甚麼呢?
[00:01:16.000 --> 00:01:18.000]  Kate你猜我問甚麼呢?
[00:01:18.000 --> 00:01:23.000]  覺得自己好差
[00:01:23.000 --> 00:01:25.000]  好想進步
[00:01:28.000 --> 00:01:32.000]  我們為這些弟兄姊妹或者理信的朋友
[00:01:32.000 --> 00:01:35.000]  祝福神給我們一個感動
[00:01:35.000 --> 00:01:38.000]  事實上,我們來到神的面前
[00:01:38.000 --> 00:01:40.000]  好似保羅去到神的面前的時候
[00:01:40.000 --> 00:01:43.000]  他越老,他講了一番說話
[00:01:43.000 --> 00:01:45.000]  他說我是罪人中的罪魁
[00:01:45.000 --> 00:01:48.000]  是他越與神親近的時候
[00:01:48.000 --> 00:01:51.000]  他就講了這番說話
[00:01:51.000 --> 00:01:54.000]  因為你再走近神的時候
[00:01:54.000 --> 00:01:56.000]  你就更加看清楚你自己是怎樣
[00:01:56.000 --> 00:01:58.000]  怎樣的陽性
[00:01:58.000 --> 00:02:00.000]  怎樣差的人
[00:02:00.000 --> 00:02:02.000]  好,今天我不是講這個重點
[00:02:02.000 --> 00:02:04.000]  無論怎樣都好
[00:02:04.000 --> 00:02:07.000]  確實這個世界是一個不完美的世界
[00:02:07.000 --> 00:02:09.000]  雖然很不完美
[00:02:09.000 --> 00:02:11.000]  但我們都用盡很多方法
[00:02:11.000 --> 00:02:13.000]  用人的方法去解決
[00:02:13.000 --> 00:02:15.000]  叫人去進步
[00:02:15.000 --> 00:02:19.000]  我們用醫學、科學、心理學、哲學
[00:02:19.000 --> 00:02:24.000]  我嘗試上去預備堂堂之前去Google一下
[00:02:24.000 --> 00:02:26.000]  我通常打這個字
[00:02:26.000 --> 00:02:28.000]  叫Life Transformation
[00:02:28.000 --> 00:02:29.000]  一打的時候
[00:02:29.000 --> 00:02:31.000]  大部份都見到這幅相
[00:02:31.000 --> 00:02:33.000]  類似這幅相
[00:02:33.000 --> 00:02:36.000]  第一天就覺得很夢寐以求
[00:02:36.000 --> 00:02:38.000]  由19年到現在
[00:02:38.000 --> 00:02:42.000]  即是一百零一百年之後
[00:02:42.000 --> 00:02:44.000]  就變成一個這麼堅實的
[00:02:44.000 --> 00:02:46.000]  好夢寐以求,我做不到
[00:02:46.000 --> 00:02:49.000]  Life Transformation原來就是這個意思
[00:02:49.000 --> 00:02:52.000]  在現實的生活裏就是這個意思
[00:02:52.000 --> 00:02:56.000]  但是我想給一點解釋給大家
[00:02:56.000 --> 00:02:59.000]  然後Changes即是產方是不同的
[00:02:59.000 --> 00:03:00.000]  Changes是甚麼呢
[00:03:00.000 --> 00:03:03.000]  Changes即是substitute one thing for another
[00:03:03.000 --> 00:03:07.000]  即是你在一樣東西裏面會改變
[00:03:07.000 --> 00:03:09.000]  你沒有轉到特別的東西
[00:03:09.000 --> 00:03:11.000]  由一個形象
[00:03:11.000 --> 00:03:13.000]  你改變你的依仗
[00:03:13.000 --> 00:03:14.000]  或者你改變你的態度
[00:03:14.000 --> 00:03:15.000]  這個才是Change
[00:03:15.000 --> 00:03:18.000]  或者你付出了一些東西
[00:03:18.000 --> 00:03:20.000]  然後你有收穫回來
[00:03:20.000 --> 00:03:21.000]  Give and take
[00:03:21.000 --> 00:03:24.000]  或者你傳遞了一個Shape
[00:03:24.000 --> 00:03:26.000]  由一個Shape轉到另一個Shape
[00:03:26.000 --> 00:03:28.000]  例如你把程序改了
[00:03:28.000 --> 00:03:30.000]  讓你的工作做得快一點
[00:03:30.000 --> 00:03:33.000]  你把你的形象改變
[00:03:33.000 --> 00:03:35.000]  去迎合當時的需要
[00:03:35.000 --> 00:03:37.000]  你把你的態度改變
[00:03:37.000 --> 00:03:39.000]  以致你跟那個人的關係好一點
[00:03:39.000 --> 00:03:40.000]  這個叫Change
[00:03:40.000 --> 00:03:44.000]  但是跟我們所說的Transformative改造
[00:03:44.000 --> 00:03:47.000]  是完全不同的看法
[00:03:47.000 --> 00:03:48.000]  考圖圖
[00:03:48.000 --> 00:03:50.000]  Transform的意思就是說
[00:03:50.000 --> 00:03:52.000]  Not only change outward appearance
[00:03:52.000 --> 00:03:54.000]  不是你的外表
[00:03:54.000 --> 00:03:58.000]  還要有些新的東西出現
[00:03:58.000 --> 00:04:00.000]  像青蛙王子一樣
[00:04:00.000 --> 00:04:01.000]  不是一隻青蛙
[00:04:01.000 --> 00:04:04.000]  變成一隻王子
[00:04:04.000 --> 00:04:05.000]  很噁心的青蛙
[00:04:05.000 --> 00:04:08.000]  變成一隻很高貴的王子
[00:04:08.000 --> 00:04:09.000]  另一件事
[00:04:09.000 --> 00:04:13.000]  就是Change the very nature and character of the person
[00:04:13.000 --> 00:04:15.000]  and community
[00:04:15.000 --> 00:04:17.000]  Transform的意思就是說
[00:04:17.000 --> 00:04:21.000]  由你的身體徹底改變你這個人
[00:04:21.000 --> 00:04:22.000]  改變你的品格
[00:04:22.000 --> 00:04:24.000]  改變你的性格
[00:04:24.000 --> 00:04:25.000]  是有目的的
[00:04:25.000 --> 00:04:29.000]  目的就是要影響其他人
[00:04:29.000 --> 00:04:32.000]  和影響社群
[00:04:32.000 --> 00:04:35.000]  這個就是改造的目的
[00:04:35.000 --> 00:04:37.000]  今天就想跟大家講Transform
[00:04:37.000 --> 00:04:39.000]  又有些問題問一下
[00:04:39.000 --> 00:04:42.000]  這次是不是記不住了
[00:04:42.000 --> 00:04:46.000]  你的生命更新了沒有
[00:04:46.000 --> 00:04:48.000]  做了基督徒之後
[00:04:48.000 --> 00:04:50.000]  更新而變化
[00:04:50.000 --> 00:04:51.000]  問一下
[00:04:51.000 --> 00:04:52.000]  有誰覺得
[00:04:52.000 --> 00:04:55.000]  有誰相信自己的生命已經改造了
[00:04:55.000 --> 00:04:57.000]  的基督徒
[00:04:57.000 --> 00:05:00.000]  好
[00:05:00.000 --> 00:05:01.000]  掌聲鼓勵
[00:05:01.000 --> 00:05:03.000]  另外一個
[00:05:03.000 --> 00:05:04.000]  第二個問題就是
[00:05:04.000 --> 00:05:05.000]  進一步
[00:05:05.000 --> 00:05:07.000]  你察覺自己的生命
[00:05:07.000 --> 00:05:11.000]  不斷持續地改變的
[00:05:11.000 --> 00:05:12.000]  基督徒
[00:05:14.000 --> 00:05:16.000]  也有的
[00:05:16.000 --> 00:05:17.000]  不過少一點
[00:05:17.000 --> 00:05:19.000]  因為有些已經停滯了
[00:05:19.000 --> 00:05:21.000]  好想告訴大家
[00:05:21.000 --> 00:05:23.000]  Transform
[00:05:23.000 --> 00:05:24.000]  不是你自己的Transform
[00:05:24.000 --> 00:05:26.000]  剛才我說過英文字
[00:05:26.000 --> 00:05:28.000]  哪個是Transform
[00:05:28.000 --> 00:05:30.000]  God Transform
