
[00:00:00.000 --> 00:00:03.000]  各位朋友,各位弟兄姊妹,大家好
[00:00:03.000 --> 00:00:05.000]  我是劉少康夫師
[00:00:05.000 --> 00:00:09.000]  很高興在這個那麼漂亮的海灘那邊
[00:00:09.000 --> 00:00:11.000]  和大家一同來讀聖經
[00:00:11.000 --> 00:00:14.000]  由於最近疫情的關係
[00:00:14.000 --> 00:00:18.000]  很多時候我們都被困在家庭裡面
[00:00:18.000 --> 00:00:21.000]  所以今天我很願意帶各位
[00:00:21.000 --> 00:00:24.000]  來到這樣漂亮的一個海灘的地方
[00:00:24.000 --> 00:00:27.000]  讓大家可以看看風景
[00:00:27.000 --> 00:00:30.000]  談到家,大概我們都知道
[00:00:30.000 --> 00:00:33.000]  家庭實在是非常的重要
[00:00:33.000 --> 00:00:43.000]  神,趙男趙女,是一男一女,一夫一妻,一生一世
[00:00:43.000 --> 00:00:47.000]  所以神是設立家庭的制度
[00:00:47.000 --> 00:00:54.000]  在詩篇裡面,有15篇的詩篇被稱為上行之詩
[00:00:54.000 --> 00:01:02.000]  從詩篇120篇,到134篇,15篇,被稱為上行之詩
[00:01:02.000 --> 00:01:09.000]  這是以色列人他們每一年有三次要上耶路撒冷去守節
[00:01:09.000 --> 00:01:13.000]  由於耶路撒冷位於一個比較高的地方
[00:01:13.000 --> 00:01:18.000]  所以他們是往高處行,所以叫做上行之詩
[00:01:18.000 --> 00:01:24.000]  在上行之詩裡面,有許多都沒有說那個作者是誰的
[00:01:24.000 --> 00:01:31.000]  但是127篇,卻說這是所羅門的上行之詩
[00:01:31.000 --> 00:01:38.000]  大家都知道在詩篇裡面,有很多篇都是大衛王所寫的
[00:01:38.000 --> 00:01:42.000]  而所羅門王,就是大衛的兒子
[00:01:42.000 --> 00:01:49.000]  而且最著名的就是所羅門已有自衛見稱
[00:01:49.000 --> 00:01:54.000]  所以他寫了箴言,寫了傳道書
[00:01:54.000 --> 00:02:02.000]  所以所羅門也是九月聖經裡面自衛書的一個很重要的作者
[00:02:02.000 --> 00:02:07.000]  在這篇詩很短,只有五節聖經
[00:02:07.000 --> 00:02:12.000]  這是對家庭有非常好的描繪
[00:02:12.000 --> 00:02:19.000]  那麼現在就讓我們打開聖經,我們一同來讀這五節聖經
[00:02:19.000 --> 00:02:27.000]  第一節,所羅門就用了兩個對句,是很工整的
[00:02:27.000 --> 00:02:30.000]  他首先的上句就是說
[00:02:30.000 --> 00:02:39.000]  若不是耶和華建造房屋,建造的人就枉然勞累
