
[00:00:00.000 --> 00:00:02.000]  好,弟兄姊妹,我們一起禱告
[00:00:02.000 --> 00:00:05.060]  原諒口中的言語
[00:00:05.060 --> 00:00:07.580]  弟兄姊妹的心思、意念
[00:00:07.580 --> 00:00:09.420]  都無上主義的越南
[00:00:09.420 --> 00:00:12.160]  我們的禱告交託是奉耶穌基督的命
[00:00:12.160 --> 00:00:13.160]  阿們
[00:00:13.160 --> 00:00:15.880]  今天的講題就是
[00:00:15.880 --> 00:00:17.880]  不要成為CEO
[00:00:17.880 --> 00:00:19.880]  好像用書面語說的有點怪
[00:00:19.880 --> 00:00:21.880]  不要做CEO啦,就是這樣說
[00:00:21.880 --> 00:00:23.880]  好啦,那不要做CEO
[00:00:23.880 --> 00:00:25.880]  我想問一下這裡,弟兄姊妹
[00:00:25.880 --> 00:00:27.880]  有沒有是CEO啊?
[00:00:28.440 --> 00:00:30.440]  沒有啊,那真的好像CEO
[00:00:30.440 --> 00:00:32.440]  行政總裁也很難
[00:00:32.440 --> 00:00:34.440]  這裡所講的
[00:00:34.440 --> 00:00:36.440]  CEO就不是說
[00:00:36.440 --> 00:00:38.440]  成為一間公司
[00:00:38.440 --> 00:00:40.440]  的行政總裁
[00:00:40.440 --> 00:00:42.440]  就是說,如果你有一個帖文
[00:00:42.440 --> 00:00:44.440]  已經做到CEO
[00:00:44.440 --> 00:00:46.440]  就不是說你不要做這份工作
[00:00:46.440 --> 00:00:48.440]  而是什麼是CEO呢?
[00:00:48.440 --> 00:00:50.440]  就是不要成為Christmas
[00:00:50.440 --> 00:00:52.440]  Easter Only
[00:00:52.440 --> 00:00:54.440]  明白是什麼意思嗎?
[00:00:54.440 --> 00:00:56.440]  Christmas Easter Only
[00:00:56.440 --> 00:00:58.440]  的一個基督徒
[00:00:58.440 --> 00:01:00.440]  就是說,只是在聖誕節
[00:01:00.440 --> 00:01:02.440]  復活節,才出席
[00:01:02.440 --> 00:01:04.440]  教會的聚會,或者崇拜的基督徒
[00:01:04.440 --> 00:01:06.440]  那
[00:01:06.440 --> 00:01:08.440]  這個真的是節日信徒
[00:01:08.440 --> 00:01:10.440]  很簡單,是不是?
