
[00:00:00.000 --> 00:00:01.740]  弟兄姊妹 午安
[00:00:01.740 --> 00:00:02.800]  (午安)
[00:00:02.800 --> 00:00:05.500]  講道之前 我們一起禱告
[00:00:05.500 --> 00:00:11.840]  神啊 祢是萬王之王 萬主之主
[00:00:11.840 --> 00:00:13.840]  祢創造宇宙萬物
[00:00:13.840 --> 00:00:15.560]  祢也賜下了救恩
[00:00:15.560 --> 00:00:17.980]  祢配得所有的讚美
[00:00:17.980 --> 00:00:21.500]  求祢幫助我們去明白祢的說話
[00:00:21.500 --> 00:00:24.500]  叫我們可以做一個更加好的信徒
[00:00:24.500 --> 00:00:26.780]  用我們一生去榮耀祢
[00:00:26.780 --> 00:00:30.380]  以上的禱告 奉主耶穌基督的名字而求 阿們
[00:00:56.780 --> 00:00:59.380]  這張簡直是電話亭都倒塌了
[00:00:59.380 --> 00:01:03.480]  還有這張
[00:01:03.480 --> 00:01:08.380]  近年來 香港的行人路都很喜歡用地磚鋪路
[00:01:08.380 --> 00:01:13.280]  你看到這幅 地磚都飛了出來 爛了
[00:01:13.280 --> 00:01:15.780]  下面那層沙都能看到
[00:01:15.780 --> 00:01:20.280]  還有這張
[00:01:20.280 --> 00:01:23.580]  我不知道大家剛才來教會時有沒有下雨
[00:01:23.580 --> 00:01:27.080]  但一定不會像這張那麼嚴重
[00:01:27.080 --> 00:01:30.780]  你看雨勢 水浸的程度大到
[00:01:30.780 --> 00:01:34.080]  可能有到這個人的膝蓋都不止
[00:01:34.080 --> 00:01:37.580]  這位不知是救援人員還是工程人員
[00:01:37.580 --> 00:01:41.980]  要用硬水去做一些緊急的事情
[00:01:41.980 --> 00:01:45.780]  還有這張
[00:01:45.780 --> 00:01:49.080]  浪大到可以拍到大廈
[00:01:49.080 --> 00:01:54.080]  看樣子至少有7、8樓那麼高
[00:01:54.080 --> 00:01:59.580]  不用我多說 大家都知道這是什麼相片吧
[00:01:59.580 --> 00:02:01.580]  不是上星期颱風
[00:02:01.580 --> 00:02:05.180]  是前幾年山竹時的風球 緊要很多
[00:02:05.180 --> 00:02:08.580]  不過我問你
[00:02:08.580 --> 00:02:12.180]  這些相片有沒有寫著「颱風」兩個字
[00:02:12.180 --> 00:02:14.880]  有沒有寫著「山竹」
[00:02:14.880 --> 00:02:18.580]  你怎知道這些相片是颱風來過呢
[00:02:20.080 --> 00:02:22.080]  你看
[00:02:22.080 --> 00:02:25.580]  我不知道大家會否覺得我問這個問題很古怪
[00:02:25.580 --> 00:02:30.080]  你可能覺得水浸到這樣還不是颱風
[00:02:30.080 --> 00:02:34.080]  又或者你看這些圖片
[00:02:34.080 --> 00:02:36.080]  東西都倒塌了
[00:02:36.080 --> 00:02:38.080]  除非香港會地震
[00:02:38.080 --> 00:02:40.080]  但香港不會地震
[00:02:40.080 --> 00:02:42.080]  所以你看到這些相片
[00:02:42.080 --> 00:02:45.080]  你都知道應該一定是颱風來過
[00:02:45.080 --> 00:02:48.580]  因為風不同其他自然現象
[00:02:48.580 --> 00:02:51.580]  不像星星、月亮、太陽那樣
[00:02:51.580 --> 00:02:53.580]  那些是可以看得到的
[00:02:53.580 --> 00:02:55.580]  風是看不到的
[00:02:55.580 --> 00:02:59.080]  唯有靠風造成的破壞、造成的影響
[00:02:59.080 --> 00:03:02.080]  你才知道風是來過的
[00:03:02.080 --> 00:03:06.580]  聖靈也是一樣
[00:03:06.580 --> 00:03:08.580]  我們看不到聖靈
[00:03:08.580 --> 00:03:12.080]  但靠著每個信徒的改變、教會的增長
[00:03:12.080 --> 00:03:15.080]  我們就肯定聖靈在做事
[00:03:16.080 --> 00:03:19.580]  我想大家也知道「仕徒行傳」
[00:03:19.580 --> 00:03:23.080]  有很多人喜歡稱它為「聖靈行傳」
[00:03:23.080 --> 00:03:27.080]  因為整個書卷就是聖靈在工作
[00:03:27.080 --> 00:03:30.080]  通過仕徒把方案傳開
[00:03:30.080 --> 00:03:33.080]  今天我們就看看第六章裏面
[00:03:33.080 --> 00:03:35.080]  聖靈在做甚麼工作
[00:03:35.080 --> 00:03:36.580]  怎樣見證耶穌
[00:03:36.580 --> 00:03:38.580]  怎樣叫教會增長
[00:03:38.580 --> 00:03:44.080]  第六章一開始我們就看到有危機了
[00:03:44.080 --> 00:03:46.080]  第一節說
[00:03:46.080 --> 00:03:48.080]  「說希臘話的猶太人
[00:03:48.080 --> 00:03:50.080]  向希伯來人發怨言
[00:03:50.080 --> 00:03:52.080]  因為在日常的功級上
[00:03:52.080 --> 00:03:54.080]  忽略了他們的寡婦」
[00:03:54.080 --> 00:03:57.080]  這是甚麼一回事呢?
[00:03:57.080 --> 00:04:01.080]  首先猶太人從舊約開始
[00:04:01.080 --> 00:04:04.080]  已經有州制寡婦的傳統
[00:04:04.080 --> 00:04:06.080]  新約的教會也秉承了這個傳統
[00:04:06.080 --> 00:04:08.080]  繼續做的
[00:04:08.080 --> 00:04:11.080]  問題是有些寡婦被照顧到
[00:04:11.080 --> 00:04:13.080]  有些被忽略了
[00:04:14.080 --> 00:04:18.080]  被忽略的是「說希臘話的猶太人」的寡婦
[00:04:18.080 --> 00:04:21.080]  這兩班人
[00:04:21.080 --> 00:04:24.080]  「說希臘話的猶太人」和「希伯來人」
[00:04:24.080 --> 00:04:26.080]  其實他們都是猶太人
[00:04:26.080 --> 00:04:27.080]  都是信了耶穌
[00:04:27.080 --> 00:04:29.080]  所以都是教會的一份子
[00:04:29.080 --> 00:04:33.080]  分別只是「說希臘話的猶太人」
[00:04:33.080 --> 00:04:36.080]  他們日常說的就是希臘話
[00:04:36.080 --> 00:04:41.080]  他們大多數都在羅馬帝國的其他地方出生成長
[00:04:41.080 --> 00:04:45.080]  只不過是現在這一刻來到耶路撒冷居住
[00:04:45.080 --> 00:04:50.080]  希伯來人就是一直都在耶路撒冷居住的人
[00:04:50.080 --> 00:04:53.080]  他們主要是說阿蘭文的
[00:04:53.080 --> 00:04:57.080]  所以你看到這兩班人是有少許分別的
[00:04:57.080 --> 00:05:00.080]  可能就是因為這樣他們有紛爭
[00:05:00.080 --> 00:05:05.080]  再加上那些「說希臘話的猶太人」的寡婦
[00:05:05.080 --> 00:05:09.080]  其實他們在耶路撒冷可能沒有甚麼人照應
[00:05:10.080 --> 00:05:14.080]  因為這一班人其實他們移居到耶路撒冷
[00:05:14.080 --> 00:05:19.080]  有好一些原因根本是因為他們想在聖城中老
