
[00:00:00.000 --> 00:00:02.400]  弟兄姊妹祖內平安
[00:00:02.400 --> 00:00:06.000]  今天我們一起來到神的面前
[00:00:06.000 --> 00:00:08.200]  再來學習祂的話語
[00:00:08.200 --> 00:00:12.800]  今天我們要跟弟兄姊妹分享的呢
[00:00:12.800 --> 00:00:15.400]  還是在彼得前書
[00:00:15.400 --> 00:00:18.900]  我們要來到最後一講第七講
[00:00:18.900 --> 00:00:24.000]  這題目是在受苦中站立的穩
[00:00:24.000 --> 00:00:28.900]  我們要分享到的聖經呢
[00:00:28.900 --> 00:00:33.100]  是在彼得前書第五章的全章
[00:00:33.100 --> 00:00:36.100]  從第一節到十四節
[00:00:36.100 --> 00:00:40.400]  我們先來讀這個經文
[00:00:40.400 --> 00:00:42.100]  開節經文
[00:00:42.100 --> 00:00:45.700]  我們我跟弟兄姊妹來讀第五章
[00:00:45.700 --> 00:00:48.100]  彼得前書的第五章
[00:00:48.100 --> 00:00:50.100]  我們要讀第
[00:00:50.100 --> 00:00:52.900]  先來讀第五節到第七節
[00:00:52.900 --> 00:00:55.800]  弟兄姊妹如果有聖經的話
[00:00:55.900 --> 00:01:02.600]  你可以翻到彼得前書第五章的第五節到第七節
[00:01:02.600 --> 00:01:05.000]  我讀給弟兄姊妹聽
[00:01:05.000 --> 00:01:11.400]  你們年幼的也要順父年長的
[00:01:11.400 --> 00:01:17.600]  就是你們眾人也要彼此順福
[00:01:17.600 --> 00:01:24.400]  就是你們眾人也要以謙卑樹妖
[00:01:24.600 --> 00:01:26.100]  彼此順福
[00:01:26.100 --> 00:01:29.600]  因為神主掌驕傲的人
[00:01:29.600 --> 00:01:32.200]  賜恩給謙卑的人
[00:01:32.200 --> 00:01:34.300]  所以你們要自卑
[00:01:34.300 --> 00:01:37.000]  服在神大能的手下
[00:01:37.000 --> 00:01:38.300]  到了時候
[00:01:38.300 --> 00:01:40.900]  他必教你們升高
[00:01:40.900 --> 00:01:43.100]  第七節說
[00:01:43.100 --> 00:01:47.100]  你們要將一切的憂慮謝給神
[00:01:47.100 --> 00:01:49.600]  因為他顧念你們
[00:01:49.600 --> 00:01:52.100]  我們聖經就是讀到
[00:01:52.100 --> 00:01:53.700]  先讀這幾節
[00:01:53.800 --> 00:01:56.200]  等一下我們在分享的時候
[00:01:56.200 --> 00:01:58.900]  還會讀到其他的經文
[00:01:58.900 --> 00:02:02.100]  我們今天要來的題目
[00:02:02.100 --> 00:02:06.000]  就是彼得前書裡頭的第五章
[00:02:06.000 --> 00:02:07.500]  這一章裡面
[00:02:07.500 --> 00:02:11.500]  我們給他信息的題目起著
[00:02:11.500 --> 00:02:14.400]  在受苦中站立的穩
[00:02:14.400 --> 00:02:17.700]  就是他彼得告訴信徒
[00:02:17.700 --> 00:02:20.200]  只要在你們受苦的時候
[00:02:20.200 --> 00:02:22.100]  你們還站立的穩
[00:02:22.400 --> 00:02:26.600]  所以第五章整個都是講到這個主題
[00:02:26.600 --> 00:02:29.500]  彼得前書呢
[00:02:29.500 --> 00:02:33.200]  是彼得寫給當時
[00:02:33.200 --> 00:02:38.400]  分散在這個羅馬帝國小雅西亞
[00:02:38.400 --> 00:02:41.700]  有七個省的境內
[00:02:41.700 --> 00:02:44.900]  就是今天的土耳其的地方
[00:02:44.900 --> 00:02:47.500]  因為他們受到逼迫以後嘛
