
[00:00:00.000 --> 00:00:01.720]  大仙姐妹、朋友
[00:00:01.720 --> 00:00:04.800]  新年蒙福、主因同在
[00:00:04.800 --> 00:00:07.000]  很高興今天能夠
[00:00:07.000 --> 00:00:09.240]  跟大家一起敬拜
[00:00:09.240 --> 00:00:11.360]  並且一起在這裡
[00:00:11.360 --> 00:00:15.520]  讓我可以跟大家分享神的說話
[00:00:15.520 --> 00:00:19.000]  讓我們都先一起做一個禱告
[00:00:19.000 --> 00:00:22.680]  親愛的天父
[00:00:22.680 --> 00:00:24.560]  我們的阿爸父
[00:00:24.560 --> 00:00:25.680]  我們恭敬的
[00:00:25.680 --> 00:00:29.400]  將以下的時間交託在你的手裡
[00:00:29.400 --> 00:00:31.360]  求你寬恕一切
[00:00:31.360 --> 00:00:35.200]  阻擋我們能夠來到你面前的罪
[00:00:35.200 --> 00:00:38.000]  求你又掃除我們心裡面
[00:00:38.000 --> 00:00:41.000]  有敵擋你話語的心思
[00:00:41.000 --> 00:00:43.360]  潔淨我們的意念
[00:00:43.360 --> 00:00:46.920]  使我們能夠聆聽你的說話
[00:00:46.920 --> 00:00:51.720]  信服聖靈的教導和督察
[00:00:51.720 --> 00:00:53.480]  以致叫我們在你面前
[00:00:53.480 --> 00:00:56.280]  所作的一切侍奉敬拜
[00:00:56.280 --> 00:00:58.160]  蒙你的月立
[00:00:58.160 --> 00:01:00.760]  我們的禱告奉靠著耶穌基督的名
[00:01:00.760 --> 00:01:01.560]  阿們
[00:01:01.560 --> 00:01:09.360]  有一天有一個爸爸
[00:01:09.360 --> 00:01:15.000]  和兒子就在火堆的圍爐裡閒談
[00:01:15.000 --> 00:01:16.640]  去取暖
[00:01:16.640 --> 00:01:22.400]  享受一下父子很寶貴的時間
[00:01:22.400 --> 00:01:26.960]  他看到火堆好像開始越燒越熱
[00:01:26.960 --> 00:01:29.200]  快要熄滅了
[00:01:29.200 --> 00:01:34.320]  他馬上叫兒子快點挑黃
[00:01:34.320 --> 00:01:38.640]  因為火堆裡還有些炭未曾燒過
[00:01:38.640 --> 00:01:40.800]  當他提醒兒子去做這件事的時候
[00:01:40.800 --> 00:01:44.200]  他順手就拿了一支鐵支交給兒子
[00:01:44.200 --> 00:01:47.200]  兒子就很純熟的手勢
[00:01:47.200 --> 00:01:49.760]  用鐵支去挑一挑開
[00:01:49.760 --> 00:01:52.040]  在表面上的那些炭灰
[00:01:52.040 --> 00:01:55.600]  然後又將下面那些未曾燒過的炭
[00:01:55.600 --> 00:01:57.280]  弄一弄鬆了
[00:01:57.280 --> 00:01:59.160]  空氣開始流通了
[00:01:59.160 --> 00:02:00.600]  當那些火種
[00:02:00.600 --> 00:02:04.480]  很小的火接觸到這些空氣的時候
[00:02:04.480 --> 00:02:06.080]  開始燒起來了
[00:02:06.080 --> 00:02:11.480]  而且沒多久又會越燒越燒燒起來
[00:02:11.480 --> 00:02:13.880]  其實我們今天看的那段經文裡
[00:02:13.880 --> 00:02:16.280]  從一開始看到保羅
[00:02:16.280 --> 00:02:18.720]  都對提摩太有提醒
[00:02:18.720 --> 00:02:21.240]  提醒他要挑起一堆火
[00:02:21.240 --> 00:02:23.520]  而那堆火就是
[00:02:23.520 --> 00:02:26.520]  提摩太在心裡一早已經有的
[00:02:26.520 --> 00:02:30.840]  一早已經有很想去侍奉神那份的熱誠
