
[00:00:00.000 --> 00:00:04.000]  今天要討論的題目叫做「永活真神」
[00:00:04.000 --> 00:00:10.600]  看不看得到這張PowerPoint
[00:00:10.600 --> 00:00:13.000]  有沒有上過確據班?
[00:00:13.000 --> 00:00:16.000]  有沒有人上過確據班舉手?
[00:00:16.000 --> 00:00:17.800]  也不是很多
[00:00:17.800 --> 00:00:20.000]  可能有些你回來十幾二十年
[00:00:20.000 --> 00:00:21.600]  那時候還沒有上過確據班
[00:00:21.600 --> 00:00:23.200]  如果你回來這幾年
[00:00:23.200 --> 00:00:24.200]  但你又沒有上過
[00:00:24.200 --> 00:00:26.000]  我鼓勵你上確據班
[00:00:26.000 --> 00:00:29.000]  在過往幾年都有機會教確據班
[00:00:29.000 --> 00:00:32.000]  我教的課就叫做「耶穌是誰」
[00:00:32.000 --> 00:00:38.000]  這是我一定會用的PowerPoint背景圖
[00:00:38.000 --> 00:00:39.000]  為什麼我用這張?
[00:00:39.000 --> 00:00:41.000]  因為它好像你見到耶穌
[00:00:41.000 --> 00:00:43.000]  但你又不是很清楚
[00:00:43.000 --> 00:00:45.000]  你知道這是耶穌
[00:00:45.000 --> 00:00:47.000]  但又好像有點朦朧
[00:00:47.000 --> 00:00:49.000]  我有時覺得對於一個基督徒
[00:00:49.000 --> 00:00:51.000]  我們回教會這麼久的人
[00:00:51.000 --> 00:00:52.000]  有人問你
[00:00:52.000 --> 00:00:54.000]  耶穌是怎樣的?
[00:00:54.000 --> 00:00:57.000]  我想問你可以說多久呢?
[00:00:57.000 --> 00:00:58.000]  你肯定可以回答
[00:00:58.000 --> 00:01:00.000]  有些事但你可以說多久呢?
[00:01:00.000 --> 00:01:01.000]  三十秒?
[00:01:01.000 --> 00:01:02.000]  一分鐘?
[00:01:02.000 --> 00:01:03.000]  五分鐘?
[00:01:03.000 --> 00:01:05.000]  你猜說不說到呢?
[00:01:05.000 --> 00:01:08.000]  譬如我叫你介紹你身邊的人
[00:01:08.000 --> 00:01:09.000]  譬如介紹你老公
[00:01:09.000 --> 00:01:11.000]  你老公是怎樣的?
[00:01:11.000 --> 00:01:13.000]  你可能說到幾個鐘
[00:01:13.000 --> 00:01:14.000]  他很壞的
[00:01:14.000 --> 00:01:16.000]  然後就數了
[00:01:16.000 --> 00:01:17.000]  如果介紹你老婆
[00:01:17.000 --> 00:01:18.000]  我老婆很好的
[00:01:18.000 --> 00:01:20.000]  你又可以數了
[00:01:20.000 --> 00:01:22.000]  但如果叫你介紹耶穌
[00:01:22.000 --> 00:01:25.000]  你可以說到多久?
[00:01:25.000 --> 00:01:29.000]  今天講到的內容很淺
[00:01:29.000 --> 00:01:33.000]  淺到是確據班的程度
[00:01:33.000 --> 00:01:35.000]  但很真實
[00:01:35.000 --> 00:01:37.000]  是很重要的基礎
[00:01:37.000 --> 00:01:40.000]  讓我們一同去領受這個訊息
[00:01:40.000 --> 00:01:41.000]  要講到經文
[00:01:41.000 --> 00:01:42.000]  《士徒行傳》第二章
[00:01:42.000 --> 00:01:44.000]  我就講講第一章發生什麼事
[00:01:44.000 --> 00:01:46.000]  第一章就講耶穌復活
[00:01:46.000 --> 00:01:48.000]  準備升天之前
[00:01:48.000 --> 00:01:49.000]  他就跟門徒說
[00:01:49.000 --> 00:01:51.000]  你們留在耶路撒冷
[00:01:51.000 --> 00:01:53.000]  將有聖靈要降臨
[00:01:53.000 --> 00:01:55.000]  接著說一聲就走了
[00:01:55.000 --> 00:01:57.000]  即是升天走了
[00:01:57.000 --> 00:01:58.000]  去到第二章
[00:01:58.000 --> 00:02:00.000]  即是五旬節的時候
[00:02:00.000 --> 00:02:02.000]  聖靈降臨在使徒的身上
[00:02:02.000 --> 00:02:04.000]  使徒被聖靈充滿
[00:02:04.000 --> 00:02:06.000]  各人就說起別國的話
