
[00:00:00.000 --> 00:00:05.440]  今日我想和大家分享的題目就是福音中橫談
[00:00:05.440 --> 00:00:09.880]  是在約翰一書第一章第一到四節
[00:00:09.880 --> 00:00:13.760]  這段經文我已經和大家打出來
[00:00:13.760 --> 00:00:18.000]  可以看頭影片或者打開聖經
[00:00:18.000 --> 00:00:21.680]  約翰一書第一章第一到四節
[00:00:21.680 --> 00:00:24.920]  大家知道這封是一封書信
[00:00:24.920 --> 00:00:32.880]  當時耶穌的使徒門徒約翰寫了一封信給當時的教會
[00:00:32.880 --> 00:00:39.600]  他寫信的格式和其他寶羅書信的格式有些不同
[00:00:39.600 --> 00:00:43.560]  他的福音書約翰福音和其他福音書也有些不同
[00:00:43.560 --> 00:00:51.080]  約翰很特別的地方就是很喜歡從神學角度來說主題
[00:00:51.080 --> 00:00:56.280]  例如約翰福音他用神學角度介紹耶穌來到世界上
[00:00:56.280 --> 00:01:01.320]  其他福音書可能講耶穌的出世歷史性些 記罪民多些
[00:01:01.320 --> 00:01:05.280]  但約翰福音說太初有道 道與神同在
[00:01:05.280 --> 00:01:10.280]  道來到世間上 他用神學性來介紹耶穌基督的出現
[00:01:10.280 --> 00:01:15.360]  同樣 當約翰一書要寫到這封書信的時間
[00:01:15.360 --> 00:01:17.320]  他從一個比較特別的地方
[00:01:17.320 --> 00:01:24.240]  差不多把他要這本書講的主題濃縮放在這幾節聖經裏面
[00:01:24.240 --> 00:01:29.920]  所以這幾節聖經能夠幫助我們稍為理解一下約翰一書
[00:01:29.920 --> 00:01:31.560]  講到我們都很熟悉的
[00:01:31.560 --> 00:01:36.000]  要靠著上帝恩典切實彼此相愛的生活
[00:01:36.000 --> 00:01:39.360]  濃縮地放在這幾節聖經裏面
[00:01:39.360 --> 00:01:43.160]  只有四節聖經 我一起慢慢讀出來
[00:01:43.160 --> 00:01:47.320]  「論道從起初原有的生命之道
[00:01:47.320 --> 00:01:54.120]  就是我們所聽見 所看見 親眼看過
[00:01:54.120 --> 00:01:58.400]  這生命已經顯現出來 我們看見了
[00:01:58.400 --> 00:02:02.440]  現在又作見證 把原語附同在
[00:02:02.440 --> 00:02:08.680]  並且向我們顯現過的那永遠的生命傳給你們
[00:02:08.680 --> 00:02:17.120]  我們把所看見 所聽見的 圍繞使你們圓滿
[00:02:17.120 --> 00:02:23.640]  而我們的團計是與乎和他而始
[00:02:23.640 --> 00:02:26.720]  我們拿去一切美麗的禮物
[00:02:26.720 --> 00:02:30.480]  使你們心靈合一而滿足」
[00:02:30.480 --> 00:02:33.760]  這封書信是一本很寶貴的書信
[00:02:33.760 --> 00:02:37.960]  這幾節聖經也濃縮了 講了它的重點
[00:02:37.960 --> 00:02:45.400]  第一節說「論道從起初原有的生命之道
[00:02:45.400 --> 00:02:51.120]  就是我們所聽見 所看見 親眼看過 親手摸過的」
[00:02:51.120 --> 00:02:58.080]  生命之道現在連培訓班也用這個名字
[00:02:58.080 --> 00:03:02.480]  我們教會經常說「生命之道」
[00:03:02.480 --> 00:03:05.040]  但我想提出一個很基本的問題
[00:03:05.040 --> 00:03:08.880]  其實什麼叫「生命之道」呢?
[00:03:08.880 --> 00:03:13.760]  我的意思是根據《約翰一書》所講的內文
[00:03:13.760 --> 00:03:19.440]  什麼叫「生命之道」呢?
[00:03:19.440 --> 00:03:24.080]  然後這句話接著中文說「就是」
[00:03:24.080 --> 00:03:26.880]  下面有解釋 「生命之道」即是什麼呢?
[00:03:26.880 --> 00:03:30.000]  如果你們所理解的 是什麼呢?
[00:03:30.000 --> 00:03:31.520]  請大家參與一下
[00:03:31.520 --> 00:03:35.600]  網上的也可以講 只是聽不到
[00:03:35.600 --> 00:03:38.160]  封印
[00:03:38.160 --> 00:03:40.960]  耶穌基督 你們怎麼這麼厲害
[00:03:40.960 --> 00:03:45.080]  把我要預備的答案都講出來了
[00:03:45.080 --> 00:03:50.960]  這裡說「生命之道就是我們所聽見 所看見
[00:03:50.960 --> 00:03:54.040]  親眼看過 親手摸過」
[00:03:54.040 --> 00:03:58.440]  那是什麼呢?
[00:03:58.440 --> 00:04:01.040]  就是耶穌
[00:04:01.040 --> 00:04:05.600]  所以差不多一直以來很傳統的看法就是
[00:04:05.600 --> 00:04:12.320]  「生命之道」是指耶穌
[00:04:12.320 --> 00:04:15.360]  但是這本書有一個特別的地方
