
[00:00:00.000 --> 00:00:08.000]  今天我們訊息的題目是 以賽亞的一生和苦難的第一部分
[00:00:08.000 --> 00:00:12.000]  以賽亞就是耶穌基督
[00:00:12.000 --> 00:00:18.000]  我們要先看到以賽亞的本人
[00:00:18.000 --> 00:00:27.000]  以賽亞可以說是在舊約聖經裡頭 一個超越時代的先知
[00:00:27.000 --> 00:00:34.000]  因為在聖經裡頭 舊約聖經有很大一部分
[00:00:34.000 --> 00:00:40.000]  一部分是講到先知書 講到有好多先知
[00:00:40.000 --> 00:00:46.000]  其中以賽亞是其中一位神所用的先知
[00:00:46.000 --> 00:00:50.000]  他經歷過四個王朝
[00:00:50.000 --> 00:00:57.000]  在以賽亞書第一章就說到 他服侍的時間是經過四個王
[00:00:57.000 --> 00:01:05.000]  一個王叫做烏西亞 一個是約翰 一個是亞哈斯 還有一個是西西伽
[00:01:05.000 --> 00:01:12.000]  所以他一個先知服侍的年限經過四個王朝
[00:01:12.000 --> 00:01:16.000]  他本身出生是在王室的貴族
[00:01:16.000 --> 00:01:24.000]  所以他就一直在王宮裡頭 有很多機會接觸到這些領導的人物
[00:01:24.000 --> 00:01:28.000]  所以他也看到整個國家的情形
[00:01:28.000 --> 00:01:37.000]  也看到神怎麼在那個時代中間 跟以後的時代當中要做了一些什麼事情
[00:01:37.000 --> 00:01:42.000]  所以他是一個服侍年限差不多有六十年
[00:01:42.000 --> 00:01:46.000]  可以說在舊約的先知裡頭 除了他以外
[00:01:46.000 --> 00:01:53.000]  就是單一裡服侍了也差不多有六十年 也是個很長的時間
[00:01:53.000 --> 00:02:01.000]  以賽亞書是舊約裡頭聖經中間 整個聖經中間最長的一卷
[00:02:01.000 --> 00:02:07.000]  聖經一共有1189章 以賽亞書就有66章
[00:02:07.000 --> 00:02:16.000]  它分成兩個部分 一部分是第一大段是39章 講到神的審判
[00:02:16.000 --> 00:02:21.000]  第二部分是有27章 講到神的救贖
[00:02:21.000 --> 00:02:28.000]  神有審判 神的審判的結果目的是為了要救贖
[00:02:28.000 --> 00:02:34.000]  那麼跟這樣的相對應起來 就好像整本聖經的話
[00:02:34.000 --> 00:02:39.000]  舊約有39卷 新約有27卷
[00:02:39.000 --> 00:02:44.000]  所以它好像是以賽亞書的第一部分就對應舊約
[00:02:44.000 --> 00:02:49.000]  那麼它後面的第二大段27章就對應新約
[00:02:49.000 --> 00:02:55.000]  所以你很好記 三九二十七 三乘九二十七
[00:02:55.000 --> 00:03:04.000]  所以前面是39章 後面27章是以賽亞書全書這樣分成兩段
[00:03:04.000 --> 00:03:07.000]  所以以賽亞書有人就稱為一個小聖經
[00:03:07.000 --> 00:03:14.000]  因為它也把聖經裡頭很主要的題目都包括在這本書裡頭了
[00:03:14.000 --> 00:03:21.000]  包括以色列人的歷史 也包括了人類的歷史
[00:03:21.000 --> 00:03:30.000]  那麼這個書的特點就對米賽亞基督的寓言非常的強勁
[00:03:30.000 --> 00:03:37.000]  他當時寫的時候 離開耶穌基督降生是七百年
[00:03:37.000 --> 00:03:43.000]  現在我們看起來很多的寓言已經應驗在主耶穌基督身上了
[00:03:43.000 --> 00:03:49.000]  那麼他有很多寓言 其中有幾個比較主要的
[00:03:49.000 --> 00:03:55.000]  一個就是基督降生的寓言 在以賽亞書第七章
[00:03:55.000 --> 00:03:59.000]  講到有一個童女要懷孕生子
[00:03:59.000 --> 00:04:03.000]  你要給她起名 叫做以馬內利
[00:04:03.000 --> 00:04:06.000]  我們讀到馬太婦孕第一章的話
[00:04:06.000 --> 00:04:14.000]  就看見馬太就引用這句話 指到耶穌是童女懷孕所生的
[00:04:14.000 --> 00:04:20.000]  他要成以馬內利 以馬內利的意思就是神與我們同在
[00:04:20.000 --> 00:04:25.000]  所以這位基督耶穌來到世上就是要跟我們同在
[00:04:25.000 --> 00:04:28.000]  要救我們從罪裡頭出來
[00:04:28.000 --> 00:04:34.000]  還有一個寓言就是講到基督要受苦受死的寓言
[00:04:34.000 --> 00:04:39.000]  很早以前以賽亞就預言到這個基督來的話
[00:04:39.000 --> 00:04:47.000]  祂要受苦 要受死 祂得到榮耀 祂救贖整個人類 包括以色列人的領頭
[00:04:47.000 --> 00:04:51.000]  所以在我們將要讀到五十三章的話
[00:04:51.000 --> 00:04:57.000]  下面就看到 他說因祂受的刑罰 我們得平安
[00:04:57.000 --> 00:05:00.000]  因祂受的鞭傷 我們得醫治
[00:05:00.000 --> 00:05:06.000]  這就講到基督耶穌的受苦受死 是為了要拯救我們
[00:05:06.000 --> 00:05:10.000]  所以以賽亞這一段的描寫的話
[00:05:10.000 --> 00:05:14.000]  就好像是他親眼看見一樣的
[00:05:14.000 --> 00:05:20.000]  這是神把將來要發生的事情啟示給以賽亞
[00:05:20.000 --> 00:05:27.000]  所以這個是在教會每逢每年有壽難節有福禍節
[00:05:27.000 --> 00:05:30.000]  都要讀以賽亞書五十三章
[00:05:30.000 --> 00:05:36.000]  這是一章聖經中間很重要的一章
[00:05:36.000 --> 00:05:42.000]  那麼寓言也講到基督耶穌的執事
[00:05:42.000 --> 00:05:44.000]  就是祂要做的工作
[00:05:44.000 --> 00:05:48.000]  關於祂在世界上工作的所效是什麼
[00:05:48.000 --> 00:05:57.000]  那麼看到在以賽亞書裡頭有好幾段提到耶穌基督來到世上
[00:05:57.000 --> 00:05:59.000]  祂要做什麼工作
[00:05:59.000 --> 00:06:04.000]  祂是要成為世人的中寶
[00:06:04.000 --> 00:06:07.000]  就是祂把人能夠帶回到神面前
[00:06:07.000 --> 00:06:09.000]  把神的恩典能夠賜給人
[00:06:09.000 --> 00:06:13.000]  祂是中寶 祂也是外邦人的光
[00:06:13.000 --> 00:06:15.000]  祂不僅僅是以色列人的神
[00:06:15.000 --> 00:06:20.000]  也是要把恩典賜愛能夠給外邦人
[00:06:20.000 --> 00:06:25.000]  那麼也講到祂是神所召的僕人
[00:06:25.000 --> 00:06:28.000]  也講到祂要受苦受死
[00:06:28.000 --> 00:06:31.000]  也講到祂有工作果效
[00:06:31.000 --> 00:06:35.000]  在五十三章你就讀到有這句話說
[00:06:35.000 --> 00:06:40.000]  祂一看見自己勞苦的功效就心滿意足
[00:06:40.000 --> 00:06:42.000]  雖然祂受苦受死
[00:06:42.000 --> 00:06:44.000]  但是受苦受死的結果的話
[00:06:44.000 --> 00:06:50.000]  是產生了很多能夠相信跟隨祂的人
[00:06:50.000 --> 00:06:52.000]  他們成為神的兒女
[00:06:52.000 --> 00:06:54.000]  這是祂的勞苦的功效
