
[00:00:00.000 --> 00:00:02.900]  我們繼續和大家思想
[00:00:02.900 --> 00:00:05.400]  菲律賓書第三章的訊息
[00:00:05.400 --> 00:00:07.880]  菲律賓書第三章的訊息
[00:00:07.880 --> 00:00:10.880]  是講到保羅的見證
[00:00:10.880 --> 00:00:13.080]  保羅得救的見證
[00:00:13.080 --> 00:00:16.080]  他特別用三國的時間式
[00:00:16.080 --> 00:00:18.780]  來講到他的得救
[00:00:18.780 --> 00:00:20.580]  得救的過去
[00:00:20.580 --> 00:00:22.180]  得救的現在
[00:00:22.180 --> 00:00:24.680]  和得救的未來
[00:00:24.680 --> 00:00:26.280]  原來我們一個人信耶穌
[00:00:26.280 --> 00:00:27.980]  不是說我已經信耶穌
[00:00:27.980 --> 00:00:31.080]  就好像等上天堂一樣
[00:00:31.080 --> 00:00:32.780]  不是這樣的
[00:00:32.780 --> 00:00:35.780]  我們信耶穌是一條線
[00:00:35.780 --> 00:00:38.380]  不是一點
[00:00:38.380 --> 00:00:41.280]  過去我們缺乏信耶穌的時候
[00:00:41.280 --> 00:00:44.380]  我們得著永生
[00:00:44.380 --> 00:00:47.980]  現在神繼續透過聖靈
[00:00:47.980 --> 00:00:50.180]  在我們裡面的工作
[00:00:50.180 --> 00:00:52.180]  叫我們能夠
[00:00:52.180 --> 00:00:55.180]  越來越像耶穌基督
[00:00:55.180 --> 00:00:57.580]  叫我們生命有成長
[00:00:57.580 --> 00:00:59.180]  叫我們多侍奉神
[00:00:59.180 --> 00:01:01.380]  這個是救恩的現在
[00:01:01.380 --> 00:01:02.880]  唯有救恩的未來
[00:01:02.880 --> 00:01:04.080]  就是有一天
[00:01:04.080 --> 00:01:07.680]  耶穌回來的時候
[00:01:07.680 --> 00:01:09.980]  我們的身體會改變
[00:01:09.980 --> 00:01:13.480]  然後和我們的靈魂結合
[00:01:13.480 --> 00:01:18.680]  然後永遠地在神的家中
[00:01:18.680 --> 00:01:23.480]  我們享受天堂那種的福樂
[00:01:23.480 --> 00:01:25.080]  所以這個就是救恩的過去
[00:01:25.080 --> 00:01:26.980]  現在未來
[00:01:26.980 --> 00:01:28.280]  保羅特別提到
[00:01:28.280 --> 00:01:29.980]  救恩的過去
[00:01:29.980 --> 00:01:32.580]  影響今天我們的生活
[00:01:32.580 --> 00:01:34.480]  救恩的未來
[00:01:34.480 --> 00:01:36.980]  也都影響我們今天的生活
[00:01:36.980 --> 00:01:38.880]  保羅說到過去的時候
[00:01:38.880 --> 00:01:41.380]  他的生命怎樣改變
[00:01:41.380 --> 00:01:44.180]  他說到救恩過去的時候
[00:01:44.180 --> 00:01:48.780]  他的價值觀有徹底的改變
[00:01:48.780 --> 00:01:51.280]  所以我們看到第三章第七節
[00:01:51.280 --> 00:01:51.780]  他說
[00:01:51.780 --> 00:01:55.380]  「只是我先前以為與我有益的
[00:01:55.380 --> 00:01:59.180]  我現在因基督耶穌當作有損的」
[00:01:59.180 --> 00:02:07.680]  有多大的價值觀的改變
[00:02:07.680 --> 00:02:08.680]  「不但如此
[00:02:08.680 --> 00:02:12.080]  我也將萬事當作有損的
[00:02:12.080 --> 00:02:16.180]  因我以認識我主耶穌基督為至寶」
[00:02:16.180 --> 00:02:18.080]  萬事當作有損的
[00:02:18.080 --> 00:02:20.180]  然後他說
[00:02:20.180 --> 00:02:21.280]  在他看來
[00:02:21.280 --> 00:02:26.780]  什麼都好像糞土一樣,沒意思的
[00:02:26.780 --> 00:02:29.080]  我們今天在座的可能有些人
[00:02:29.080 --> 00:02:32.080]  有車、有樓
[00:02:32.080 --> 00:02:34.880]  有一個美滿的家庭
[00:02:34.880 --> 00:02:37.180]  有很多的物業
[00:02:37.180 --> 00:02:38.880]  我們能不能像保羅所說的
[00:02:38.880 --> 00:02:40.680]  「我信了耶穌之後
[00:02:40.680 --> 00:02:43.080]  你一切的東西
[00:02:43.080 --> 00:02:47.880]  我看來都好像糞土一樣」
[00:02:47.880 --> 00:02:50.880]  這個會不會是我們的價值觀呢?
[00:02:50.880 --> 00:02:54.580]  然後我們努力積極的
[00:02:54.580 --> 00:02:58.380]  為了追求認識主耶穌基督
[00:02:58.380 --> 00:03:01.980]  這個究竟是過去影響我們今天的生活
[00:03:01.980 --> 00:03:04.680]  價值觀改變了
[00:03:04.680 --> 00:03:07.580]  然後究竟的現在就是保羅所說的
[00:03:07.580 --> 00:03:11.480]  「弟兄們,我不是以為自己已經得著了
[00:03:11.480 --> 00:03:13.080]  我只有一件事
[00:03:13.080 --> 00:03:17.080]  就是忘記背後努力面前的
[00:03:17.080 --> 00:03:19.480]  向著標竿直跑
[00:03:19.480 --> 00:03:22.680]  要得神在基督裡面
[00:03:22.680 --> 00:03:26.380]  從上廟召我來得的賞賜
[00:03:26.380 --> 00:03:28.680]  現在,保羅說
[00:03:28.680 --> 00:03:31.680]  我忘記背後努力面前的
