
[00:00:00.000 --> 00:00:03.000]  今天跟大家分享的題目是跟從主
[00:00:03.000 --> 00:00:04.720]  上個禮拜很開心
[00:00:04.720 --> 00:00:07.580]  我們見證著有四位年輕的頂姐妹
[00:00:07.580 --> 00:00:10.440]  她們公開表明她們的信仰
[00:00:10.440 --> 00:00:12.440]  以及立志願意跟從主
[00:00:12.440 --> 00:00:13.640]  跟從主
[00:00:13.640 --> 00:00:18.240]  跟大家分享一下一些歌曲
[00:00:18.240 --> 00:00:20.760]  有沒有聽過這首歌
[00:00:20.760 --> 00:00:23.800]  這首歌講述了什麼呢
[00:00:23.800 --> 00:00:25.280]  就是一個大半在裡面
[00:00:25.280 --> 00:00:28.440]  有一個城市起了大火
[00:00:31.000 --> 00:00:34.040]  不知道嗎 不知道先聽聽
[00:00:34.040 --> 00:00:37.920]  就是一個半夜裡面起了大火
[00:00:37.920 --> 00:00:42.160]  於是急呼叫志願者來救火
[00:00:42.160 --> 00:00:47.360]  很快在橋邊集合了有十個勇敢救火的少年
[00:00:47.360 --> 00:00:51.400]  這十個勇敢少年決定要一起救火
[00:00:51.400 --> 00:00:53.600]  但是很快其中有一個
[00:00:53.600 --> 00:00:55.000]  哎呀 不行
[00:00:55.000 --> 00:00:57.520]  我平時吃東西吃得多
[00:00:57.520 --> 00:01:00.000]  但是很少操練自己的身體
[00:01:00.000 --> 00:01:02.320]  去救火要很有鍛鍊身體
[00:01:02.320 --> 00:01:03.480]  我平時沒有鍛鍊
[00:01:03.480 --> 00:01:05.920]  想想也是我不適合了 我走了
[00:01:05.920 --> 00:01:08.040]  然後第二個
[00:01:08.040 --> 00:01:10.920]  原本這個非常勇敢的成員
[00:01:10.920 --> 00:01:12.840]  但是他突然間想了想
[00:01:12.840 --> 00:01:15.120]  不行 我快要結婚了
[00:01:15.120 --> 00:01:16.560]  還是不好了
[00:01:16.560 --> 00:01:19.360]  就自己悄悄地走了
[00:01:19.360 --> 00:01:21.960]  還有一個
[00:01:21.960 --> 00:01:23.960]  我想起媽媽跟我說
[00:01:23.960 --> 00:01:25.440]  兒子 兒子
[00:01:25.440 --> 00:01:28.920]  做人在這個社會千萬不要走得太前
[00:01:28.920 --> 00:01:30.640]  很吃虧的
[00:01:30.640 --> 00:01:33.600]  他想起媽媽這樣教導勸勉的時候
[00:01:33.600 --> 00:01:36.600]  還是不好了 我還是要回家找媽媽了
[00:01:36.600 --> 00:01:40.960]  於是起初十個救火的少年
[00:01:40.960 --> 00:01:43.520]  在這個階段剩下多少個
[00:01:43.520 --> 00:01:44.960]  七個
[00:01:44.960 --> 00:01:47.160]  這樣也好 七個
[00:01:47.160 --> 00:01:48.920]  但是這七個救火的少年
[00:01:48.920 --> 00:01:51.040]  聊著聊著的時候怎麼去救火
[00:01:51.040 --> 00:01:53.400]  這個有他的方法 那個有他的主意
[00:01:53.400 --> 00:01:56.400]  這個有他的方法 那個有他的主意
[00:01:56.400 --> 00:01:58.760]  實在太有主意了
[00:01:58.760 --> 00:02:01.800]  所以其中有三個
[00:02:01.800 --> 00:02:04.520]  吵架 反面
[00:02:04.520 --> 00:02:06.320]  我們以後不要再見了
[00:02:06.320 --> 00:02:08.320]  又走了
[00:02:08.320 --> 00:02:12.040]  七個減三個 剩下四個
[00:02:12.040 --> 00:02:15.040]  這四個成員
