
[00:00:00.000 --> 00:00:03.580]  好,各位,大家都見到今日嘅題目
[00:00:03.580 --> 00:00:06.660]  新嘅一年,希望喺新開始嘅時候
[00:00:06.660 --> 00:00:10.880]  我哋大家都係做一個蒙福嘅人
[00:00:10.880 --> 00:00:14.560]  首先,祝福大家喺新嘅一年
[00:00:14.560 --> 00:00:19.500]  更加蒙福,更加新嘅一年福半滿日
[00:00:19.500 --> 00:00:24.260]  今日停一停,用福音揀一個題目
[00:00:24.260 --> 00:00:26.300]  就係講關於福氣
[00:00:26.300 --> 00:00:30.920]  咁你知喺新年嘅時候,中國人都係好鍾意講福氣
[00:00:30.920 --> 00:00:33.960]  即係開始嘅時候,新晶頭特別係
[00:00:33.960 --> 00:00:37.280]  我細個嗰陣時
[00:00:37.280 --> 00:00:40.480]  喺新年頭嗰一兩日
[00:00:40.480 --> 00:00:45.060]  特別就唔可以講啲唔開心嘅嘢
[00:00:45.060 --> 00:00:47.780]  特別係,拜年嘅時候
[00:00:47.780 --> 00:00:50.780]  啲細頭仔要攞勵士
[00:00:50.780 --> 00:00:55.200]  個嘴就練到好多嘅祝福嘅啲說話
[00:00:55.200 --> 00:00:57.000]  一連串咁講出嚟
[00:00:57.000 --> 00:00:59.660]  就希望可以攞多啲勵士
[00:00:59.660 --> 00:01:02.000]  咁你覺得好正常,係咪?
[00:01:02.000 --> 00:01:05.140]  因為我諗古今中外都係一樣
[00:01:05.140 --> 00:01:07.340]  即係外國人又好,中國人又好
[00:01:07.340 --> 00:01:10.040]  我哋都好想做一個蒙福嘅人
[00:01:10.040 --> 00:01:15.040]  咁但係,究竟你冇諗過究竟點樣為之蒙福呢?
[00:01:15.040 --> 00:01:19.460]  一個福氣究竟係點樣嘅呢?
[00:01:19.460 --> 00:01:23.560]  咁我諗最容易我哋去諗到
[00:01:23.560 --> 00:01:26.160]  關於福氣係啲咩嘅時候呢?
[00:01:26.160 --> 00:01:32.400]  就喺新年嘅時候,我哋佈置會點㗎?
[00:01:32.400 --> 00:01:35.400]  紅色之外呢,就會貼揮春㗎嘛,係咪?
[00:01:35.400 --> 00:01:40.240]  咁揮春就貼滿咗好多嗰啲祝福嗰啲說話㗎啦
[00:01:40.240 --> 00:01:45.340]  咁咩生意興隆呀,學業進步呀
[00:01:45.340 --> 00:01:48.940]  身體健康呀,龍馬精神呀
[00:01:48.940 --> 00:01:52.020]  嗰啲咁樣嘅福說話啦,係咪?
[00:01:52.020 --> 00:01:55.820]  咁呢就,我諗近排,都唔係近排啦
[00:01:55.820 --> 00:02:01.500]  可能近啲十年呢,又有啲新潮啲嗰啲祝福嗰啲說話
[00:02:01.500 --> 00:02:05.540]  就有啲唔同㗎喎,唔知你有冇睇過喎
[00:02:05.540 --> 00:02:09.500]  即係有啲新潮啲嗰啲嘅揮春呢
[00:02:09.500 --> 00:02:13.160]  佢又寫有啲,譬如「掂個碌借」呀
[00:02:13.160 --> 00:02:18.600]  「豬籠入水」呀,「不勞而獲」呀
[00:02:18.600 --> 00:02:21.420]  有冇睇過呢啲呀?
[00:02:21.420 --> 00:02:24.640]  咁,即係,你睇到都好笑喎
[00:02:24.640 --> 00:02:28.220]  即係好笑之餘呢,背後我發覺
[00:02:28.220 --> 00:02:34.280]  咦,啲人諗福氣嗰個觀念有些少唔同咗喎
[00:02:34.280 --> 00:02:37.200]  譬如以前學業進步,你都係期待住
[00:02:37.200 --> 00:02:40.560]  有努力讀書咁樣先學業進步㗎,係咪?
[00:02:40.560 --> 00:02:43.520]  而家整個「不勞而獲」嚟喎,真係
[00:02:43.520 --> 00:02:48.000]  係咪?即係以前你話生意興隆咁都係
[00:02:48.000 --> 00:02:50.000]  好努力營運咗個生意啦
[00:02:50.000 --> 00:02:54.920]  因為以前都有㗎喇,而家整個「還財就守」嚟喎
[00:02:54.920 --> 00:02:56.920]  即係,係咪先?
[00:02:56.920 --> 00:03:04.420]  咁,即係嗰個,對於佢點樣為之得福嗰個觀念呢
[00:03:04.420 --> 00:03:08.120]  而家,似乎人嘅觀念就係
[00:03:08.120 --> 00:03:10.800]  最好就咩都唔使付出嘅
[00:03:10.800 --> 00:03:16.720]  最好呢,就乜都有曬就最好喇
[00:03:16.720 --> 00:03:23.920]  唔知大家有冇諗過究竟真正嘅福氣係咩嚟呢?
[00:03:23.920 --> 00:03:28.520]  當然真正嘅福氣,我哋要知道係點樣嘅時候
[00:03:28.520 --> 00:03:32.520]  我哋就梗係要從神嗰度而嚟啦
[00:03:32.520 --> 00:03:36.820]  因為我哋嘅神係創造宇宙萬物
[00:03:36.820 --> 00:03:40.820]  聖主耶穌話天上地下所有嘅權柄都賜咗畀佢
[00:03:40.820 --> 00:03:48.920]  咁所以真正最大嘅福氣梗係從呢個創造主而嚟㗎啦,係咪?
