
[00:00:00.000 --> 00:00:02.000]  一年很快又過去了
[00:00:02.000 --> 00:00:05.000]  今年是2014年最後一個主日
[00:00:05.000 --> 00:00:08.000]  我們很感謝上帝的恩典
[00:00:08.000 --> 00:00:12.000]  讓我們仍然有機會在這裡一起敬拜祂
[00:00:12.000 --> 00:00:16.000]  很多時候我都會讀到一些文章
[00:00:16.000 --> 00:00:18.000]  就講到人生的無常
[00:00:18.000 --> 00:00:20.000]  世界的變幻
[00:00:20.000 --> 00:00:23.000]  最後作者都是鼓勵我們
[00:00:23.000 --> 00:00:25.000]  要把握目前
[00:00:25.000 --> 00:00:27.000]  要珍惜眼前人
[00:00:27.000 --> 00:00:30.000]  我們能夠認識主
[00:00:30.000 --> 00:00:32.000]  在主內彼此團契
[00:00:32.000 --> 00:00:36.000]  又能夠從不同的地方來到這裡
[00:00:36.000 --> 00:00:39.000]  一起侍奉敬拜主
[00:00:39.000 --> 00:00:43.000]  都是上帝給我們的恩典和機會
[00:00:43.000 --> 00:00:46.000]  我們真的要珍惜每一個的機會
[00:00:46.000 --> 00:00:48.000]  彼此鼓勵
[00:00:48.000 --> 00:00:50.000]  時時數算主的恩典
[00:00:50.000 --> 00:00:55.000]  這句也是我們今天要思想這段經文的最後一句
[00:00:55.000 --> 00:00:59.000]  在任何環境中都要感謝
[00:00:59.000 --> 00:01:06.000]  這是上帝為你們這些屬於基督耶穌的人所定的旨意
[00:01:06.000 --> 00:01:10.000]  所以今天我講到會短一點
[00:01:10.000 --> 00:01:12.000]  留一點時間給大家
[00:01:12.000 --> 00:01:15.000]  如果有分享感恩的事
[00:01:15.000 --> 00:01:16.000]  你可以上來分享
[00:01:16.000 --> 00:01:18.000]  限時一分鐘
[00:01:18.000 --> 00:01:20.000]  如果你說廣東話
[00:01:20.000 --> 00:01:23.000]  我想Randy在耳機可以翻譯
[00:01:23.000 --> 00:01:26.000]  如果你說國語我就在台上幫你翻譯
[00:01:26.000 --> 00:01:30.000]  鐵沙羅尼加
[00:01:30.000 --> 00:01:34.000]  我們先介紹一下鐵沙羅尼加這間教會
[00:01:34.000 --> 00:01:37.000]  鐵沙羅尼加這個城市
[00:01:37.000 --> 00:01:42.000]  是當年羅馬帝國在馬其頓省的首府
[00:01:42.000 --> 00:01:45.000]  那裡是今天希臘的北部
[00:01:45.000 --> 00:01:48.000]  我們先看一幅地圖
[00:01:52.000 --> 00:01:55.000]  我放了一些中文字
[00:01:55.000 --> 00:01:58.000]  在左上角看到馬其頓省
[00:01:58.000 --> 00:02:04.000]  下面那個橙色的地方就是亞西亞省
[00:02:04.000 --> 00:02:09.000]  保羅當年是被教會差派去其他地方傳教
[00:02:09.000 --> 00:02:12.000]  這次是保羅第二次出外傳教
[00:02:12.000 --> 00:02:16.000]  他本來是想在亞西亞省裡面傳教
[00:02:16.000 --> 00:02:17.000]  傳福音
[00:02:17.000 --> 00:02:20.000]  但是聖靈阻止他
[00:02:20.000 --> 00:02:23.000]  結果當他去到亞西亞頂那裡
[00:02:23.000 --> 00:02:27.000]  有個圈圈住的地方就叫做特羅亞
[00:02:27.000 --> 00:02:31.000]  在那裡他就見到一個叫做馬其頓的異象
[00:02:31.000 --> 00:02:39.000]  跟著跟西拉他的同伴就過去馬其頓省
[00:02:39.000 --> 00:02:42.000]  第一個地方就是菲律賓
[00:02:42.000 --> 00:02:46.000]  在菲律賓的地方就沒有猶太人的會堂
[00:02:46.000 --> 00:02:50.000]  保羅去到那裡就找了一幫祈禱的人
[00:02:50.000 --> 00:02:52.000]  就跟他們傳福音
[00:02:52.000 --> 00:02:56.000]  後來由於在那裡他為了女奴趕鬼
[00:02:56.000 --> 00:02:59.000]  就被人抓去坐牢
[00:02:59.000 --> 00:03:04.000]  適逢之後他就去到鐵薩羅尼加城傳福音
[00:03:04.000 --> 00:03:10.000]  就是馬其頓省下面有個紅圈圈住的地方
[00:03:10.000 --> 00:03:13.000]  在鐵薩羅尼加那裡就有猶太人的會堂
[00:03:13.000 --> 00:03:17.000]  猶太人的會堂相當於我們的教會
[00:03:17.000 --> 00:03:20.000]  保羅就一年有三個安息日
[00:03:20.000 --> 00:03:24.000]  就是禮拜五的黃昏到禮拜六的黃昏叫做安息日
[00:03:24.000 --> 00:03:28.000]  他一年三個禮拜就去到那個港島
[00:03:28.000 --> 00:03:37.000]  跟他們傳講耶穌就是他們猶太人所盼望的彌賽亞救世主
[00:03:37.000 --> 00:03:40.000]  在那裡很多人信了耶穌
[00:03:40.000 --> 00:03:45.000]  但是信了耶穌就引起了那些猶太人的妒忌
[00:03:45.000 --> 00:03:47.000]  他們就搞事
[00:03:47.000 --> 00:03:50.000]  他們就在那裡引起了暴動
[00:03:50.000 --> 00:03:56.000]  結果保羅和西拉就要離開鐵薩羅尼加
[00:03:56.000 --> 00:04:03.000]  但是當地的基督徒就成立了鐵薩羅尼加教會
[00:04:03.000 --> 00:04:07.000]  傳福音三個禮拜就有個教會了
[00:04:07.000 --> 00:04:13.000]  這個教會當然也都受到當地猶太人的迫害
[00:04:13.000 --> 00:04:18.000]  在鐵薩羅尼加前書第二章十四節那裡說
[00:04:18.000 --> 00:04:24.000]  你們受到自己同胞的迫害
[00:04:24.000 --> 00:04:27.000]  雖然他們受到迫害
[00:04:27.000 --> 00:04:30.000]  他們仍然繼續相信主耶穌
[00:04:30.000 --> 00:04:36.000]  並且他們這個教會的信心是遠近馳名的
[00:04:36.000 --> 00:04:42.000]  第一章七至八節保羅是這樣形容那裡的教會
[00:04:42.000 --> 00:04:48.000]  他說你們成為馬其頓和阿戈亞所有信徒的冒犯
[00:04:48.000 --> 00:04:54.000]  主的信息不僅從你們那裡傳開到馬其頓和阿戈亞
[00:04:54.000 --> 00:05:00.000]  你們對上帝的信心也傳到遠近各處
[00:05:00.000 --> 00:05:05.000]  這實在用不著我們多說
[00:05:05.000 --> 00:05:07.000]  這間教會真的很好
[00:05:07.000 --> 00:05:09.000]  對主很有信心
[00:05:09.000 --> 00:05:14.000]  還不斷向其他人分享信仰
[00:05:14.000 --> 00:05:18.000]  但這間教會是不是完全的呢?
[00:05:18.000 --> 00:05:21.000]  我相信世界上沒有完全的教會
[00:05:21.000 --> 00:05:24.000]  也沒有完全的人
[00:05:24.000 --> 00:05:31.000]  有人的地方總會有人際關係的矛盾和摩擦
[00:05:31.000 --> 00:05:37.000]  今天我們所讀的經文就是保羅對這間教會的勸告
