
[00:00:00.000 --> 00:00:03.660]  今年我們選讀的經文
[00:00:03.660 --> 00:00:07.600]  是今年的主題經文
[00:00:07.600 --> 00:00:15.260]  是基述約書亞帶領以色列人進入迦南地之後
[00:00:15.260 --> 00:00:19.740]  他分配好各支派的分地
[00:00:19.740 --> 00:00:26.660]  離世之前一段向以色列人表達的心聲
[00:00:26.660 --> 00:00:36.160]  丁玲祝福他們世世代代誠心實意地去侍奉神
[00:00:36.160 --> 00:00:46.180]  一開始約書亞提醒以色列人要全心敬畏上帝
[00:00:46.180 --> 00:00:50.340]  誠心實意地去侍奉祂
[00:00:50.340 --> 00:00:54.540]  反面的教材又提醒他們
[00:00:54.540 --> 00:01:00.180]  不要留戀昔日大河那邊的偶像
[00:01:00.180 --> 00:01:03.520]  或者今日阿摩利人的偶像
[00:01:03.520 --> 00:01:08.180]  你們全民要做一個公投的選擇
[00:01:08.180 --> 00:01:11.620]  如果你認為侍奉上帝不好
[00:01:11.620 --> 00:01:19.720]  你可以選擇回去侍奉以往大河兩邊的偶像
[00:01:19.720 --> 00:01:24.540]  約書亞為什麼要舊事重提呢?
[00:01:24.540 --> 00:01:31.300]  我們可以理解當日大河偶像的敬拜
[00:01:31.300 --> 00:01:39.900]  這種信仰是一種價值觀或者生活的形態
[00:01:39.900 --> 00:01:44.940]  任何宗教信仰的教義裏面
[00:01:44.940 --> 00:01:49.820]  都附帶一種行事為人的準則
[00:01:49.820 --> 00:01:53.180]  古代偶像的敬拜
[00:01:53.180 --> 00:01:58.580]  講得白一點就是一種現實功利主義
[00:01:58.580 --> 00:02:01.820]  不外乎生養眾多
[00:02:01.820 --> 00:02:03.540]  豐條與順
[00:02:03.540 --> 00:02:05.180]  豐衣足食
[00:02:05.180 --> 00:02:07.960]  家肥屋潤
[00:02:07.960 --> 00:02:12.180]  跟我們今天的信仰其實沒什麼分別
[00:02:12.180 --> 00:02:14.620]  現實一點我們可以貨比三家
[00:02:14.620 --> 00:02:16.660]  跟我們今天的信仰其實沒什麼分別
[00:02:16.660 --> 00:02:19.740]  約書亞就讓以色列人去比較一下
[00:02:19.740 --> 00:02:22.580]  約書亞就讓以色列人去比較一下
[00:02:22.580 --> 00:02:26.180]  昔日的偶像和今天所信奉的神有什麼分別?
[00:02:26.180 --> 00:02:30.060]  昔日的偶像和今天所信奉的神有什麼分別?
[00:02:30.060 --> 00:02:34.060]  是誰帶領亞伯拉罕離開吾爾向迦南地進發呢?
[00:02:34.060 --> 00:02:41.340]  是誰帶領亞伯拉罕離開吾爾進到迦南地?
[00:02:41.340 --> 00:02:46.860]  是誰帶領雅各一家因為饑荒落到埃及日漸壯大呢?
[00:02:46.860 --> 00:02:53.260]  是誰帶領雅各一家因為饑荒落到埃及日漸壯大呢?
[00:02:53.260 --> 00:02:58.420]  是誰帶領以色列人離開埃及渡過紅海呢?
[00:02:58.420 --> 00:03:02.980]  是誰帶領以色列人離開埃及渡過紅海呢?
[00:03:02.980 --> 00:03:04.860]  經過四十年的曠野
[00:03:04.860 --> 00:03:06.220]  經過四十年的曠野
[00:03:06.220 --> 00:03:08.700]  日間有雲柱去遮太陽
[00:03:08.700 --> 00:03:11.060]  日間有雲柱去遮太陽
[00:03:11.060 --> 00:03:13.060]  晚上有火柱保護他們
[00:03:13.060 --> 00:03:15.060]  晚上有火柱去保護他們
[00:03:15.060 --> 00:03:16.580]  每天都有瑪拿的供應
[00:03:16.580 --> 00:03:17.940]  每天都有瑪拿的供應
[00:03:17.940 --> 00:03:20.500]  是誰帶領以色列人渡過約旦河呢?
[00:03:20.500 --> 00:03:22.980]  是誰帶領以色列人渡過約旦河呢?
[00:03:22.980 --> 00:03:24.500]  攻下迦南美地
[00:03:24.500 --> 00:03:26.100]  攻下迦南美地
[00:03:26.100 --> 00:03:28.940]  成為以色列人可以安心之所
[00:03:28.940 --> 00:03:31.180]  成為以色列人可以安心之所
[00:03:31.180 --> 00:03:34.220]  是誰當以色列人被外族欺負呢?
[00:03:34.220 --> 00:03:37.340]  是誰當以色列人被外族欺負呢?
[00:03:37.340 --> 00:03:38.500]  向神發出呼求
[00:03:38.500 --> 00:03:40.180]  向神發出呼求
[00:03:40.180 --> 00:03:43.060]  神又一次又一次興起史詩拯救他們
[00:03:43.060 --> 00:03:46.980]  神又一次又一次興起史詩拯救他們
[00:03:46.980 --> 00:03:50.260]  是誰三番四次犯罪離棄神
[00:03:50.260 --> 00:03:52.860]  是誰又三番四次離棄神
[00:03:52.860 --> 00:03:56.060]  神卻一次一次施祂的慈愛拯救他們
