
[00:00:00.000 --> 00:00:04.960]  讓我們一起來看看今天要講的經文
[00:00:04.960 --> 00:00:11.240]  其實經文那裡是有一個標籤的
[00:00:11.240 --> 00:00:16.000]  那是四章一到四十九節
[00:00:16.000 --> 00:00:19.080]  是整章的
[00:00:19.080 --> 00:00:23.320]  所以我昨天晚上聽到主席這樣說
[00:00:23.320 --> 00:00:25.080]  我就嚇了一跳
[00:00:25.080 --> 00:00:29.240]  我說咦 那我是不是可以早點講完呢
[00:00:29.240 --> 00:00:31.560]  那其實時間也是一樣
[00:00:31.560 --> 00:00:34.600]  我就要在很短的時間裡面
[00:00:34.600 --> 00:00:40.720]  是將整章文授記第四章要跟大家分享的
[00:00:40.720 --> 00:00:45.800]  其實文授記第三第四章是很有關係的
[00:00:45.800 --> 00:00:47.840]  但教大家一個秘訣
[00:00:47.840 --> 00:00:51.280]  如果我們要將這兩章聖經連在一起
[00:00:51.280 --> 00:00:54.440]  我們可以去看得通透的話
[00:00:54.440 --> 00:00:58.840]  兩章聖經都是在講利未蒙神揀選
[00:00:58.840 --> 00:01:01.520]  在十二個支派揀選利未的支派
[00:01:01.520 --> 00:01:04.000]  利未有三個兒子
[00:01:04.000 --> 00:01:07.920]  而這三個兒子是被神揀選出來
[00:01:07.920 --> 00:01:14.000]  去代替所有以色列的家族每一個的長子
[00:01:14.000 --> 00:01:17.640]  被分派就是要守護回望
[00:01:17.640 --> 00:01:22.400]  他們來到是蒙神選照
[00:01:22.400 --> 00:01:24.920]  用兩個字 英文字
[00:01:24.920 --> 00:01:30.560]  你可以試一下去綜合第三章講的東西就是Who and Where
[00:01:30.560 --> 00:01:32.200]  他們是什麼人呢
[00:01:32.200 --> 00:01:34.400]  他們是分別為姓
[00:01:34.400 --> 00:01:37.840]  專責回望的服侍的一班人
[00:01:37.840 --> 00:01:40.600]  這個就是他們的身份
[00:01:40.600 --> 00:01:42.720]  他們也有一個編制
[00:01:42.720 --> 00:01:47.920]  他們在回望的南邊西邊和北邊是紮營的
[00:01:47.920 --> 00:01:52.160]  這三班的利未家族的人
[00:01:52.160 --> 00:01:55.000]  他們有很重要的職守
[00:01:55.000 --> 00:02:02.000]  是會防止任何包括以色列其他支派的人
[00:02:02.000 --> 00:02:04.960]  如果要擅闖進去回望裡面
[00:02:04.960 --> 00:02:06.800]  是你可以將他處死的
[00:02:06.800 --> 00:02:08.240]  就是這麼嚴重的
[00:02:08.240 --> 00:02:10.600]  因為舊約裡面讓我們明白
[00:02:10.600 --> 00:02:14.400]  神的聖潔是人不可以冒犯
[00:02:14.400 --> 00:02:17.920]  他要讓人看到是有界線的
[00:02:17.920 --> 00:02:23.000]  上帝怎樣來顯明他自己被摩西來抗的時候
[00:02:23.000 --> 00:02:24.960]  摩西很想見神的面
[00:02:24.960 --> 00:02:27.560]  上帝說你只能夠見我背脊
[00:02:27.560 --> 00:02:29.920]  如果你面對面見我
[00:02:29.920 --> 00:02:31.240]  你就死定了
[00:02:31.240 --> 00:02:33.760]  因為我們人是有罪的
[00:02:33.760 --> 00:02:36.400]  我們是需要在神的面前
[00:02:36.400 --> 00:02:40.120]  是蒙他自己的一個補血潔淨
