
[00:00:00.000 --> 00:00:06.420]  如果你真係去睇文數記第十三第十四章嘅時候你發現呢係一個非常之
[00:00:06.420 --> 00:00:09.460]  精工雕雕嘅故事嚟㗎
[00:00:09.460 --> 00:00:14.340]  我將呢段聖經嘅整個故事分咗做六部分
[00:00:14.340 --> 00:00:15.860]  咁但係我label佢係
[00:00:15.860 --> 00:00:16.640]  1
[00:00:16.640 --> 00:00:19.960]  2a2b3a3b4
[00:00:19.960 --> 00:00:23.040]  呢六部分其實係做緊啲乜嘢㗎呢
[00:00:23.040 --> 00:00:26.360]  信不信由你呢六部分呢其實呢
[00:00:26.620 --> 00:00:30.960]  如果我哋睇明咗六部分嘅主使或者叫我哋回應呢
[00:00:30.960 --> 00:00:33.280]  就係一個背十字架嘅人生
[00:00:33.280 --> 00:00:36.860]  就係一個背十字架,所以今晚我要做咩呢
[00:00:36.860 --> 00:00:38.900]  每一段同你去睇
[00:00:38.900 --> 00:00:42.500]  每一段加埋即係有六段啦
[00:00:42.500 --> 00:00:44.540]  加埋係一個puzzle嚟㗎
[00:00:44.540 --> 00:00:48.380]  你好似砌積木㗎,砌嗰啲puzzle咁樣
[00:00:48.380 --> 00:00:49.400]  六塊
[00:00:49.400 --> 00:00:51.200]  當你個六塊
[00:00:51.200 --> 00:00:53.240]  你砌埋佢
[00:00:53.240 --> 00:00:55.560]  你見到出嚟嘅東西呢
[00:00:55.800 --> 00:00:56.820]  就係一個
[00:00:56.820 --> 00:00:59.640]  寫幾背十字架
[00:00:59.640 --> 00:01:03.480]  嘅人生,就係我哋對呢個認許耶穌基督成全
[00:01:03.480 --> 00:01:05.020]  認許嘅回應
[00:01:05.020 --> 00:01:07.580]  不過你要記住一樣嘢喎
[00:01:07.580 --> 00:01:08.600]  呢六段呢
[00:01:08.600 --> 00:01:10.660]  其實呢
[00:01:10.660 --> 00:01:13.220]  係影子嚟㗎,因為喺
[00:01:13.220 --> 00:01:17.820]  舊約聖經裏面,呢個唔係新約聖經,所以你唔可以就咁即刻
[00:01:17.820 --> 00:01:19.100]  佢話點就點
[00:01:19.100 --> 00:01:21.920]  你一定要好留意
