
[00:00:00.000 --> 00:00:04.000]  好,我們繼續來這個「蛻變」的主題
[00:00:04.000 --> 00:00:08.000]  昨天跟一個弟兄聊天,他還沒懂得讀這個字
[00:00:08.000 --> 00:00:10.000]  「蛻變」
[00:00:10.000 --> 00:00:13.000]  跟大家說一個故事
[00:00:13.000 --> 00:00:17.000]  很多年前,其實我跟這個姐妹的丈夫
[00:00:17.000 --> 00:00:20.000]  很熟很熟很熟,很多年的弟兄
[00:00:20.000 --> 00:00:23.000]  電話一來,當然是聊了兩句
[00:00:23.000 --> 00:00:26.000]  但是聊了兩分鐘之後
[00:00:26.000 --> 00:00:29.000]  這個姐妹跟我說,她很不開心
[00:00:29.000 --> 00:00:31.000]  為什麼呢?她說因為
[00:00:31.000 --> 00:00:33.000]  我的丈夫
[00:00:33.000 --> 00:00:37.000]  你的弟兄要跟我離婚
[00:00:37.000 --> 00:00:39.000]  我聽了之後
[00:00:39.000 --> 00:00:42.000]  我聽得不是很清楚,她再說一次
[00:00:42.000 --> 00:00:45.000]  她說你的弟兄要跟我離婚
[00:00:45.000 --> 00:00:47.000]  那怎麼辦呢?她問我
[00:00:47.000 --> 00:00:50.000]  當時我也不知道可以怎麼做
[00:00:50.000 --> 00:00:52.000]  但是我知道
[00:00:52.000 --> 00:00:55.000]  她信了耶穌一段很長的時間
[00:00:55.000 --> 00:00:59.000]  也是因為這兩夫婦信耶穌影響到我去信耶穌
[00:00:59.000 --> 00:01:01.000]  因為當年我是看他們受浸
[00:01:01.000 --> 00:01:03.000]  對我有些影響
[00:01:03.000 --> 00:01:05.000]  但是信了耶穌之後
[00:01:05.000 --> 00:01:07.000]  她十幾年都沒有再回教會
[00:01:07.000 --> 00:01:09.000]  突然間這個電話打來的時候
[00:01:09.000 --> 00:01:11.000]  是一個很大的shock
[00:01:11.000 --> 00:01:14.000]  我心裡面有一個感動
[00:01:14.000 --> 00:01:16.000]  大家沒有出聲一段時間
[00:01:16.000 --> 00:01:18.000]  我就問她,我說姐妹
[00:01:18.000 --> 00:01:20.000]  你覺得
[00:01:20.000 --> 00:01:22.000]  神愛不愛你?
[00:01:25.000 --> 00:01:27.000]  這個姐妹突然間
[00:01:27.000 --> 00:01:29.000]  broken down,在電話裡面哭
[00:01:29.000 --> 00:01:31.000]  不停地哭
[00:01:31.000 --> 00:01:33.000]  我不知道怎麼辦,我又不能說話
[00:01:33.000 --> 00:01:36.000]  大概哭了四五分鐘的時間
[00:01:36.000 --> 00:01:40.000]  於是我們就在電話裡面祈禱
[00:01:40.000 --> 00:01:42.000]  祈禱之後就掛線
[00:01:42.000 --> 00:01:44.000]  好了
[00:01:44.000 --> 00:01:46.000]  過了很多年之後
[00:01:46.000 --> 00:01:49.000]  她的婚姻是很幸運的
[00:01:49.000 --> 00:01:51.000]  事後我就問她
[00:01:51.000 --> 00:01:54.000]  我說姐妹,為什麼你當時哭得這麼厲害?
[00:01:54.000 --> 00:01:56.000]  她告訴我
[00:01:56.000 --> 00:02:00.000]  因為自己這麼多年沒有回教會
[00:02:00.000 --> 00:02:02.000]  離開了神
[00:02:02.000 --> 00:02:04.000]  這麼遠
