
[00:00:00.000 --> 00:00:08.000]  在這大半年,我們一同思想浸信會的靈性實踐的核心是心靈的改變
[00:00:08.000 --> 00:00:14.000]  靈性的操練是由心靈的改變去到外表的行動
[00:00:14.000 --> 00:00:18.000]  其中一個表現就是大使命的遵行
[00:00:18.000 --> 00:00:23.000]  主耶穌基督說:你們要去使萬民作我的門道
[00:00:23.000 --> 00:00:27.000]  方法就是去施浸和去教導
[00:00:28.000 --> 00:00:31.000]  就是叫人受浸,歸入耶穌基督的死
[00:00:31.000 --> 00:00:35.000]  在祂的死的形狀上與祂聯合
[00:00:35.000 --> 00:00:40.000]  也在祂復活的形狀上與祂聯合
[00:00:40.000 --> 00:00:43.000]  這是一個奧秘,不過是真實的
[00:00:43.000 --> 00:00:49.000]  因為這樣的緣故,我們浸信會是很著重浸禮的靈性
[00:00:49.000 --> 00:00:54.000]  我們相信我們是不斷地歸入耶穌基督的死
[00:00:55.000 --> 00:00:58.000]  不斷地在耶穌基督復活的形狀上有份
[00:00:58.000 --> 00:01:05.000]  除了施浸,大使命的另外一個重要部份就是教導
[00:01:05.000 --> 00:01:09.000]  凡所吩咐你們的,都教導他們遵守
[00:01:09.000 --> 00:01:13.000]  我們思想國登山補訓
[00:01:13.000 --> 00:01:16.000]  我們在八月份,我們又一同去領受
[00:01:16.000 --> 00:01:19.000]  進一步領受第六福
[00:01:20.000 --> 00:01:25.000]  「清心的人有福了,因為他們必得見神」
[00:01:25.000 --> 00:01:30.000]  在上個月主日崇拜
[00:01:30.000 --> 00:01:33.000]  除了我們領受剛才所說的信息
[00:01:33.000 --> 00:01:37.000]  記不記得有一樣事情是你們一起經歷的?
[00:01:37.000 --> 00:01:41.000]  在主日崇拜當中
[00:01:41.000 --> 00:01:46.000]  當天我們有普通話的弟兄姊妹們在當中
[00:01:47.000 --> 00:01:51.000]  他們在屏幕上,有些在你們的位置
[00:01:51.000 --> 00:01:56.000]  當天我們是唱廣東話的詩歌
[00:01:56.000 --> 00:01:59.000]  唱普通話的詩歌
[00:01:59.000 --> 00:02:02.000]  我們講道有普通話的傳譯
[00:02:02.000 --> 00:02:04.000]  不知道你們記不記得
[00:02:04.000 --> 00:02:07.000]  當天講道其實在清祖堂
[00:02:07.000 --> 00:02:13.000]  在祖堂,廣東話講道的內容是27分鐘
[00:02:14.000 --> 00:02:19.000]  當天有劉銳鋒傳道替我們做傳譯
[00:02:19.000 --> 00:02:23.000]  27分鐘講道是多少分鐘?
[00:02:23.000 --> 00:02:26.000]  那次長不長?
[00:02:26.000 --> 00:02:29.000]  告訴你們是多加10分鐘
[00:02:29.000 --> 00:02:34.000]  37分鐘,即是10分鐘就可以傳譯完畢
[00:02:34.000 --> 00:02:37.000]  之後普通話的弟兄姊妹們說很開心
[00:02:37.000 --> 00:02:40.000]  能夠一同去敬拜
[00:02:40.000 --> 00:02:43.000]  真的感覺到是一個家
[00:02:44.000 --> 00:02:49.000]  希望在將來我們有更多這些聯合崇拜的時間
[00:02:49.000 --> 00:02:53.000]  更希望我們可以邀請
[00:02:53.000 --> 00:02:57.000]  在教會以外的普通話的朋友
[00:02:57.000 --> 00:02:59.000]  來到我們的教會當中
[00:02:59.000 --> 00:03:02.000]  他們能夠認識耶穌基督
[00:03:02.000 --> 00:03:04.000]  經歷耶穌基督的救恩
[00:03:04.000 --> 00:03:08.000]  所以想大家為這件事來禱告
[00:03:08.000 --> 00:03:11.000]  我們是否繼續這樣安排,這樣進行
[00:03:12.000 --> 00:03:15.000]  請你們一同去禱告
[00:03:15.000 --> 00:03:17.000]  我們現在一同禱告
[00:03:17.000 --> 00:03:22.000]  親愛的主,多謝你讓我們在一段時間內
[00:03:22.000 --> 00:03:25.000]  馬牧師會帶領我們牽手主餐
[00:03:25.000 --> 00:03:29.000]  在吃主餐之前,我們要聽你的話語
[00:03:29.000 --> 00:03:32.000]  當你的話語被解開
[00:03:32.000 --> 00:03:35.000]  當聖經被打開的時候
[00:03:35.000 --> 00:03:38.000]  我們的心就火熱
[00:03:39.000 --> 00:03:42.000]  祈求你讓我們成浸家的弟兄姊妹們
[00:03:42.000 --> 00:03:45.000]  有這種聰明,有這種智慧
[00:03:45.000 --> 00:03:48.000]  知道你的話語是何等寶貴
[00:03:48.000 --> 00:03:52.000]  經歷你話語奇妙的能力
[00:03:52.000 --> 00:03:55.000]  主,我們仰望你,我們愛你
[00:03:55.000 --> 00:03:58.000]  我們的禱告是奉主耶穌基督名字求
[00:03:58.000 --> 00:04:00.000]  阿們
[00:04:00.000 --> 00:04:03.000]  在上個月我們說清心的人
[00:04:03.000 --> 00:04:07.000]  清心的人有福了,因為他們必得見神
[00:04:08.000 --> 00:04:10.000]  清心是對神專一的學務
[00:04:10.000 --> 00:04:12.000]  留心神所喜悅的
[00:04:12.000 --> 00:04:15.000]  聽從神的心意
[00:04:15.000 --> 00:04:18.000]  這些清心的人就是
[00:04:18.000 --> 00:04:21.000]  詩篇二十四篇所說的人
[00:04:21.000 --> 00:04:24.000]  誰能登耶和華的山
[00:04:24.000 --> 00:04:27.000]  誰能站在他的聖所
[00:04:27.000 --> 00:04:29.000]  就是守結心清
[00:04:29.000 --> 00:04:31.000]  不向虛妄
[00:04:31.000 --> 00:04:34.000]  喜誓不懷鬼詐的印
[00:04:34.000 --> 00:04:37.000]  我們就順著這個思路
[00:04:38.000 --> 00:04:39.000]  在這一段時間
[00:04:39.000 --> 00:04:42.000]  我們一同去思想耶利米書第七章
[00:04:42.000 --> 00:04:46.000]  第七章的三至十五節
[00:04:46.000 --> 00:04:50.000]  我們說這個是聖殿的廣章
[00:04:50.000 --> 00:04:52.000]  第三節
[00:04:52.000 --> 00:04:55.000]  萬鈞之耶和華以色列的神諭此說
[00:04:55.000 --> 00:04:58.000]  你們改正行動作為
[00:04:58.000 --> 00:05:02.000]  我就使你們在這地方仍然居住
[00:05:02.000 --> 00:05:05.000]  你們不要依靠虛妄的話
[00:05:06.000 --> 00:05:08.000]  說:這些是耶和華的殿
[00:05:08.000 --> 00:05:10.000]  是耶和華的殿
[00:05:10.000 --> 00:05:12.000]  是耶和華的殿
[00:05:12.000 --> 00:05:16.000]  你們若實在改正行動作為
[00:05:16.000 --> 00:05:20.000]  在人和論舍中間承認私行公平
[00:05:20.000 --> 00:05:24.000]  不棄阿記居約和姑爺寡婦
[00:05:24.000 --> 00:05:28.000]  在這地方不流無孤人的血
[00:05:28.000 --> 00:05:32.000]  也不隨從別臣陷害自己
[00:05:32.000 --> 00:05:35.000]  我就使你們在這地方仍然居住
[00:05:36.000 --> 00:05:39.000]  就是我古時所刺激你們列祖的地
[00:05:39.000 --> 00:05:41.000]  直到永遠
[00:05:41.000 --> 00:05:43.000]  項那
[00:05:43.000 --> 00:05:47.000]  你們依靠虛妄無益的話
[00:05:47.000 --> 00:05:50.000]  你們偷渡 殺害
[00:05:50.000 --> 00:05:53.000]  姦淫 起假世
[00:05:53.000 --> 00:05:56.000]  向霸力燒香
[00:05:56.000 --> 00:05:59.000]  冰取從數不認識的別臣
[00:05:59.000 --> 00:06:03.000]  請來到這稱我為名下的殿
