
[00:00:00.000 --> 00:00:02.640]  我發覺你們教會真是很有
[00:00:02.640 --> 00:00:04.900]  南加州的特色
[00:00:04.900 --> 00:00:06.400]  加州的特色
[00:00:06.400 --> 00:00:07.520]  就是
[00:00:07.520 --> 00:00:09.780]  有國語、有廣東話
[00:00:09.780 --> 00:00:11.080]  也不用翻譯的
[00:00:11.080 --> 00:00:12.620]  大家聽得懂的
[00:00:12.620 --> 00:00:16.980]  我們今天來到
[00:00:16.980 --> 00:00:20.040]  今天早上和大家分享這個訊息
[00:00:20.040 --> 00:00:22.200]  叫做「重新出發」
[00:00:22.200 --> 00:00:25.240]  我們剛剛踏入2022年
[00:00:25.240 --> 00:00:27.040]  三個星期
[00:00:27.040 --> 00:00:29.640]  再過一個星期
[00:00:29.640 --> 00:00:33.440]  我們就從牛年進入虎年
[00:00:33.440 --> 00:00:35.800]  一個新的開始
[00:00:35.800 --> 00:00:37.080]  很好啊
[00:00:37.080 --> 00:00:40.800]  我們通常過新年有新的希望、願望
[00:00:40.800 --> 00:00:42.320]  那麼
[00:00:42.320 --> 00:00:47.320]  但是我們在宋、舊、迎、新的期間
[00:00:47.320 --> 00:00:50.560]  我們也學了很多新的英文字
[00:00:50.560 --> 00:00:52.440]  不知道是不是英文字
[00:00:52.440 --> 00:00:54.280]  以前學的叫做Covid
[00:00:54.280 --> 00:00:56.880]  現在學的叫做Omicron
[00:00:56.880 --> 00:01:00.240]  我知道有一些國語翻譯叫做什麼
[00:01:00.240 --> 00:01:02.640]  Omicron
[00:01:02.640 --> 00:01:06.720]  那麼
[00:01:06.720 --> 00:01:08.720]  疫情就很厲害了
[00:01:08.720 --> 00:01:10.160]  就是
[00:01:10.160 --> 00:01:12.880]  比我們過去的一年多
[00:01:12.880 --> 00:01:13.840]  多很多
[00:01:13.840 --> 00:01:16.920]  那條線就是一百萬的線
[00:01:16.920 --> 00:01:18.440]  現在幾十萬了
[00:01:18.440 --> 00:01:20.680]  曾經過了一百萬
[00:01:20.680 --> 00:01:22.160]  不過也好
[00:01:22.160 --> 00:01:24.880]  因為紐約開始慢慢降
[00:01:24.880 --> 00:01:26.960]  希望洛杉磯也慢慢隨著
[00:01:26.960 --> 00:01:28.960]  遲些會降下來
[00:01:28.960 --> 00:01:33.320]  我們正面對的是什麼時代呢?
[00:01:33.320 --> 00:01:34.000]  剛才
[00:01:34.000 --> 00:01:35.280]  剛才我們讀經的時候
[00:01:35.280 --> 00:01:36.600]  我們今天講的經文就是
[00:01:36.600 --> 00:01:42.920]  摩西在什麼岳府中牧養
[00:01:42.920 --> 00:01:44.920]  究竟是在講什麼?
[00:01:44.920 --> 00:01:47.400]  對於對聖經不太熟悉的就是
[00:01:47.400 --> 00:01:52.560]  摩西出生就是一個王子
[00:01:52.560 --> 00:01:56.800]  但是接著因為他殺了兩個埃及人
[00:01:56.800 --> 00:01:58.920]  於是逃走了去了米甸曠野
[00:01:58.920 --> 00:02:03.880]  就是現在的埃及的三角形那裡
[00:02:03.880 --> 00:02:05.760]  多久呢?
[00:02:05.760 --> 00:02:06.720]  四十年
[00:02:06.720 --> 00:02:10.720]  在米甸曠野他就認識了
[00:02:10.720 --> 00:02:12.920]  他的未來岳父
[00:02:12.920 --> 00:02:15.920]  娶了他女兒做老婆
[00:02:15.920 --> 00:02:17.280]  就在那裡牧養
[00:02:17.280 --> 00:02:19.720]  就是摩西的人生
[00:02:19.720 --> 00:02:24.840]  其實他是想著好好地活下去
[00:02:24.840 --> 00:02:27.040]  牧養也OK的
[00:02:27.040 --> 00:02:30.240]  生活也算是穩定的
[00:02:30.240 --> 00:02:32.320]  但是那個時候
[00:02:32.320 --> 00:02:34.440]  神就向他顯現
[00:02:34.440 --> 00:02:37.040]  上帝要顯現的時候
[00:02:37.040 --> 00:02:41.080]  是叫摩西帶領以色列人出埃及
[00:02:41.080 --> 00:02:46.240]  因為當時以色列人在埃及的底下
[00:02:46.240 --> 00:02:48.240]  很多的困難
[00:02:48.240 --> 00:02:49.840]  很多的難處聖經說
[00:02:49.840 --> 00:02:51.840]  他們向神呼求
[00:02:51.840 --> 00:02:53.640]  神就將這個呼求
[00:02:53.640 --> 00:02:55.640]  他說我聽到了
[00:02:55.640 --> 00:02:58.240]  對於摩西來說
[00:02:58.240 --> 00:03:01.240]  這是一個新的開始
[00:03:01.240 --> 00:03:04.240]  是一個重新出發的開始
[00:03:04.240 --> 00:03:06.640]  不是這麼簡單
[00:03:06.640 --> 00:03:08.840]  他已經習慣了這種牧羊的生活
[00:03:08.840 --> 00:03:10.840]  如何重新出發呢?
[00:03:10.840 --> 00:03:13.840]  我們看回我們今天的處境
[00:03:15.440 --> 00:03:18.840]  我看回2021年
[00:03:18.840 --> 00:03:20.840]  過去一年的十大新聞
[00:03:20.840 --> 00:03:24.040]  當然每一個媒體都有不同的十大新聞
[00:03:24.040 --> 00:03:25.640]  這個是Yahoo的
[00:03:25.640 --> 00:03:27.840]  當然第一個就是
[00:03:27.840 --> 00:03:31.240]  新冠疫情揮之不去
[00:03:31.240 --> 00:03:34.440]  第二個十大新聞
[00:03:34.440 --> 00:03:37.040]  就是美國國會大廈的大亂
[00:03:37.040 --> 00:03:39.240]  差不多一年前
