
[00:00:00.000 --> 00:00:28.000]  主耶穌基督的復活
[00:00:30.000 --> 00:00:37.000]  這位姊妹被一位很熱心的耶和華見證人經常去探訪她
[00:00:37.000 --> 00:00:41.000]  她聽了聽了就聽人說
[00:00:41.000 --> 00:00:44.000]  人死後就不會復活
[00:00:44.000 --> 00:00:46.000]  也沒有天堂
[00:00:46.000 --> 00:00:49.000]  以至她有些混淆
[00:00:49.000 --> 00:00:52.000]  所以就來問我有關這方面的事
[00:00:52.000 --> 00:00:54.000]  趁著今天復活節
[00:00:54.000 --> 00:00:56.000]  讓我們也重溫一下
[00:00:56.000 --> 00:01:01.000]  聖經對有關死人復活的教導
[00:01:01.000 --> 00:01:06.000]  或者我簡單講講耶和華見證人
[00:01:06.000 --> 00:01:08.000]  簡稱耶證
[00:01:08.000 --> 00:01:10.000]  在這一方面的見解
[00:01:10.000 --> 00:01:14.000]  他們認為人死後就不會再存在
[00:01:14.000 --> 00:01:17.000]  就沒有所謂靈魂不死
[00:01:17.000 --> 00:01:20.000]  無論人或者動物
[00:01:20.000 --> 00:01:23.000]  本身當生命終止的時候
[00:01:23.000 --> 00:01:27.000]  人和動物都是歸回塵土
[00:01:27.000 --> 00:01:30.000]  他們都不相信有地獄的存在
[00:01:30.000 --> 00:01:32.000]  不過我留意到
[00:01:32.000 --> 00:01:36.000]  他們用來支持他們的信仰經文
[00:01:36.000 --> 00:01:38.000]  大部分都是來自舊約
[00:01:38.000 --> 00:01:41.000]  甚至他們自己的宗派名
[00:01:41.000 --> 00:01:43.000]  都是來自以塞亞書的
[00:01:43.000 --> 00:01:46.000]  因為他讀到你們是我的見證人
[00:01:46.000 --> 00:01:50.000]  於是就自己改個名做耶和華見證人
[00:01:50.000 --> 00:01:55.000]  但如果你相信主耶穌所說的話是真理
[00:01:55.000 --> 00:01:58.000]  我們上個星期的金句
[00:01:58.000 --> 00:02:01.000]  就是馬太福音十章二十八節
[00:02:01.000 --> 00:02:03.000]  或者我們再讀一次
[00:02:03.000 --> 00:02:07.000]  那殺身體不能殺靈魂的
[00:02:07.000 --> 00:02:09.000]  不要怕他們
[00:02:09.000 --> 00:02:14.000]  唯有能把身體和靈魂都滅在地獄裡的
[00:02:14.000 --> 00:02:16.000]  淨要怕他
[00:02:16.000 --> 00:02:20.000]  主耶穌在這裡很明顯地指出
[00:02:20.000 --> 00:02:24.000]  身體和靈魂是有分別的
[00:02:24.000 --> 00:02:27.000]  並且講明只有上帝
[00:02:27.000 --> 00:02:32.000]  才能夠把人的身體和靈魂都消滅在地獄
[00:02:32.000 --> 00:02:38.000]  所以耶穌的理解明顯地違背了主耶穌的講論
[00:02:38.000 --> 00:02:42.000]  此外耶穌認為未來的新世界
[00:02:42.000 --> 00:02:46.000]  大部分復活的人不是生活在天上
[00:02:46.000 --> 00:02:51.000]  而是仍舊生活在地上的樂園
[00:02:51.000 --> 00:02:53.000]  這個世界就是我們的樂園
[00:02:53.000 --> 00:02:56.000]  只有十四萬四千人被揀選
[00:02:56.000 --> 00:03:02.000]  會和耶穌基督一起在天上施行統治
[00:03:02.000 --> 00:03:08.000]  這個講法其實和他們的講法有些自相矛盾
[00:03:08.000 --> 00:03:11.000]  他們一方面不相信靈魂不滅
[00:03:11.000 --> 00:03:15.000]  另一方面又說有一批人會復活
[00:03:15.000 --> 00:03:18.000]  但是只有十四萬四千人
[00:03:18.000 --> 00:03:23.000]  是特別被揀選的信徒是會復活的
[00:03:23.000 --> 00:03:25.000]  只有十四萬四千人
[00:03:25.000 --> 00:03:28.000]  由於人數這麼有限
[00:03:28.000 --> 00:03:31.000]  耶聖的人很努力去做好人
[00:03:31.000 --> 00:03:37.000]  希望能夠成為十四萬四千人之中的其中一位
