
[00:00:00.000 --> 00:00:04.200]  今天繼續和大家分享另類社羣裏的第二講
[00:00:04.200 --> 00:00:06.000]  就是音典的社羣
[00:00:06.000 --> 00:00:14.400]  幾年前Barnard Research曾經針對16-29歲不信耶穌的年輕人
[00:00:14.400 --> 00:00:16.400]  做了一個調查研究
[00:00:16.400 --> 00:00:18.300]  看看他們對基督徒
[00:00:18.300 --> 00:00:20.600]  特別是所謂福音派的基督徒
[00:00:20.600 --> 00:00:22.200]  到底有什麼觀感
[00:00:22.200 --> 00:00:25.100]  後來這個調查報告成爲一本書
[00:00:25.100 --> 00:00:26.600]  叫做《Unquestioned》
[00:00:26.600 --> 00:00:28.800]  很不像基督徒的意思
[00:00:28.800 --> 00:00:32.200]  裏面關注了12個對基督徒的印象
[00:00:32.200 --> 00:00:33.200]  就是不信耶穌的人
[00:00:33.200 --> 00:00:35.200]  特別是年輕人對基督徒的印象
[00:00:35.200 --> 00:00:37.000]  有9個是很負面的
[00:00:37.000 --> 00:00:39.600]  我們看看這幾個是什麼
[00:00:39.600 --> 00:00:43.200]  首先Anti-homosexual
[00:00:43.200 --> 00:00:46.200]  91%的人覺得我們特別針對同性戀的人
[00:00:46.200 --> 00:00:48.000]  然後我們很武斷
[00:00:48.000 --> 00:00:49.200]  我們很虛僞
[00:00:49.200 --> 00:00:50.600]  我們很古老
[00:00:50.600 --> 00:00:51.600]  他講基督徒
[00:00:51.600 --> 00:00:53.400]  太關心政治
[00:00:53.400 --> 00:00:54.600]  還有幾樣東西
[00:00:54.600 --> 00:00:57.200]  與現實脫節
[00:00:57.200 --> 00:00:59.000]  不理別人的感受
[00:00:59.000 --> 00:01:01.000]  根本你的表現不像基督徒
[00:01:01.000 --> 00:01:02.800]  那些非基督徒
[00:01:02.800 --> 00:01:05.600]  覺得我們的表現不像基督徒
[00:01:05.600 --> 00:01:07.600]  Anyway
[00:01:07.600 --> 00:01:11.600]  教會應該是一個恩典的社羣
[00:01:11.600 --> 00:01:13.400]  但是從這些comment
[00:01:13.400 --> 00:01:15.600]  這些對基督徒的觀感裏面來說
[00:01:15.600 --> 00:01:17.800]  這些不信耶穌的年輕人
[00:01:17.800 --> 00:01:19.600]  覺得教會里面的基督徒
[00:01:19.600 --> 00:01:22.000]  似乎缺乏一些的恩賜
[00:01:22.000 --> 00:01:23.600]  這樣去待人的
[00:01:23.600 --> 00:01:26.200]  哪有講grace的呢
[00:01:26.200 --> 00:01:28.200]  事實上
[00:01:28.200 --> 00:01:30.200]  Philip Yancey一個出名的基督徒
[00:01:30.200 --> 00:01:32.200]  大概在20年前
[00:01:32.200 --> 00:01:33.400]  寫了一本書
[00:01:33.400 --> 00:01:36.800]  叫做《What's so amazing about grace?》
[00:01:36.800 --> 00:01:38.800]  爲什麼恩典那麼了不起
[00:01:38.800 --> 00:01:42.400]  爲什麼恩典那麼了不起
[00:01:42.400 --> 00:01:44.400]  大約20年前
[00:01:44.400 --> 00:01:45.400]  20年之後
[00:01:45.400 --> 00:01:47.400]  他發現
[00:01:47.400 --> 00:01:49.400]  其實整個恩典仍然那麼了不起
[00:01:49.400 --> 00:01:51.400]  不過問題在教會里面
[00:01:51.400 --> 00:01:52.400]  在教會里面
[00:01:52.400 --> 00:01:53.800]  基督徒當中
[00:01:53.800 --> 00:01:55.800]  我們不能夠尊重grace
[00:01:55.800 --> 00:01:57.000]  展露出來
[00:01:57.000 --> 00:01:57.600]  他發現
[00:01:57.600 --> 00:01:59.600]  恩典在教會
[00:01:59.600 --> 00:02:00.800]  在基督徒中間
[00:02:00.800 --> 00:02:03.000]  慢慢消失
[00:02:03.000 --> 00:02:04.600]  我看了一個video
[00:02:04.600 --> 00:02:07.200]  他訪問很多人
[00:02:07.200 --> 00:02:08.800]  對教會基督徒的看法
[00:02:26.800 --> 00:02:27.800]  他訪問很多人
[00:02:27.800 --> 00:02:28.800]  對教會基督徒的看法
[00:02:28.800 --> 00:02:29.800]  他訪問很多人
[00:02:29.800 --> 00:02:30.800]  對教會基督徒的看法
[00:02:30.800 --> 00:02:31.800]  他訪問很多人
[00:02:31.800 --> 00:02:32.800]  對教會基督徒的看法
[00:02:32.800 --> 00:02:33.800]  他訪問很多人
[00:02:33.800 --> 00:02:34.800]  對教會基督徒的看法
[00:02:34.800 --> 00:02:35.800]  他訪問很多人
[00:02:35.800 --> 00:02:36.800]  對教會基督徒的看法
[00:02:36.800 --> 00:02:37.800]  他訪問很多人
[00:02:37.800 --> 00:02:38.800]  對教會基督徒的看法
[00:02:38.800 --> 00:02:39.800]  他訪問很多人
[00:02:39.800 --> 00:02:40.800]  對教會基督徒的看法
[00:02:40.800 --> 00:02:41.800]  他訪問很多人
[00:02:41.800 --> 00:02:42.800]  對教會基督徒的看法
[00:02:42.800 --> 00:02:43.800]  他訪問很多人
[00:02:43.800 --> 00:02:44.800]  對教會基督徒的看法
[00:02:44.800 --> 00:02:45.800]  他訪問很多人
[00:02:45.800 --> 00:02:46.800]  對教會基督徒的看法
[00:02:46.800 --> 00:02:47.800]  他訪問很多人
[00:02:47.800 --> 00:02:58.800]  對教會基督徒的看法
[00:02:58.800 --> 00:02:59.800]  他訪問很多人
[00:02:59.800 --> 00:03:00.800]  對教會基督徒的看法
[00:03:00.800 --> 00:03:01.800]  他訪問很多人
[00:03:01.800 --> 00:03:02.800]  對教會基督徒的看法
[00:03:02.800 --> 00:03:03.800]  他訪問很多人
[00:03:03.800 --> 00:03:04.800]  對教會基督徒的看法
[00:03:04.800 --> 00:03:05.800]  他訪問很多人
[00:03:05.800 --> 00:03:06.800]  對教會基督徒的看法
[00:03:06.800 --> 00:03:07.800]  他訪問很多人
[00:03:07.800 --> 00:03:08.800]  對教會基督徒的看法
[00:03:08.800 --> 00:03:09.800]  他訪問很多人
[00:03:09.800 --> 00:03:10.800]  對教會基督徒的看法
[00:03:10.800 --> 00:03:11.800]  他訪問很多人
