
[00:00:00.000 --> 00:00:02.000]  我們來到進入神話語之前
[00:00:02.000 --> 00:00:04.000]  我們低頭祈禱
[00:00:04.000 --> 00:00:07.000]  上帝祢讓我們再一次進入祢的聖所
[00:00:07.000 --> 00:00:08.400]  同心向祢禱告
[00:00:08.400 --> 00:00:09.600]  去仰望祢
[00:00:09.600 --> 00:00:11.000]  領受祢的話語
[00:00:11.000 --> 00:00:12.400]  這是恩典
[00:00:12.400 --> 00:00:14.800]  在來到領受恩典的時刻
[00:00:14.800 --> 00:00:17.600]  求主讓我們願意降服
[00:00:17.600 --> 00:00:22.200]  願意用清潔謙卑的心靈去裝載
[00:00:22.200 --> 00:00:25.000]  並且準備好我們的手手腳腳
[00:00:25.000 --> 00:00:28.400]  要用信心來將所聽的道
[00:00:28.400 --> 00:00:30.800]  作一番的調和和實踐
[00:00:30.800 --> 00:00:33.400]  讓上帝的靈在我們當中親自教導
[00:00:33.400 --> 00:00:35.000]  聽祈禱奉耶穌的名
[00:00:35.000 --> 00:00:36.600]  阿們
[00:00:36.600 --> 00:00:39.800]  我們來到去看投影片
[00:00:39.800 --> 00:00:41.200]  你見到這個題目
[00:00:41.200 --> 00:00:42.600]  「幸福不如為你多走一步」
[00:00:42.600 --> 00:00:43.600]  當然那個靈感
[00:00:43.600 --> 00:00:45.800]  有一部分是來自這個電視廣告
[00:00:45.800 --> 00:00:47.200]  這間藥廠公司
[00:00:47.200 --> 00:00:48.800]  就這樣來到去宣傳
[00:00:48.800 --> 00:00:50.000]  當然我們會明白
[00:00:50.000 --> 00:00:53.600]  真真正正為子女帶來幸福
[00:00:53.600 --> 00:00:55.600]  連多走幾步都不止的
[00:00:55.600 --> 00:00:58.400]  那個是父母親
[00:00:58.400 --> 00:01:00.600]  所謂「眠乾睡濕」
[00:01:00.600 --> 00:01:02.800]  同樣從屬靈的角度來看
[00:01:02.800 --> 00:01:05.400]  我們天父爸爸對於我們成年人
[00:01:05.400 --> 00:01:06.600]  這些兒子女兒
[00:01:06.600 --> 00:01:08.800]  也都是同樣付出了很多
[00:01:08.800 --> 00:01:11.800]  聖經用「不打頓不睡覺」
[00:01:11.800 --> 00:01:14.600]  來形容上帝那種切實
[00:01:14.600 --> 00:01:16.400]  同在保守
[00:01:16.400 --> 00:01:18.800]  引領不離不棄
[00:01:18.800 --> 00:01:21.000]  還有聯合國3月20日
[00:01:21.000 --> 00:01:21.600]  早兩日
[00:01:21.600 --> 00:01:24.400]  就是定為全世界的國際幸福日
[00:01:24.400 --> 00:01:27.400]  是表揚我們在人類文明當中
[00:01:27.400 --> 00:01:30.800]  不論那個經濟的領域
[00:01:30.800 --> 00:01:32.000]  去到那一個水平
[00:01:32.000 --> 00:01:34.000]  我們仍然嚮往追求的
[00:01:34.000 --> 00:01:36.800]  是人身心整體的提升
[00:01:36.800 --> 00:01:39.800]  所以有一種正面積極的能量
[00:01:39.800 --> 00:01:42.400]  盼望透過這種彼此去服侍
[00:01:42.400 --> 00:01:44.600]  幫人推開門
[00:01:44.600 --> 00:01:48.000]  讓孕婦可以自自在在地走過
[00:01:48.000 --> 00:01:50.400]  都是在這個聯合國所定的
[00:01:50.400 --> 00:01:51.800]  所謂幸福日裏面
[00:01:51.800 --> 00:01:53.400]  是鼓勵大家去做的
[00:01:53.400 --> 00:01:54.400]  我們會明白
[00:01:54.400 --> 00:01:56.200]  幸福是人人所追求
[00:01:56.200 --> 00:01:58.000]  在今天的社會裏面
[00:01:58.000 --> 00:01:59.200]  基督徒的家庭
