
[00:00:00.000 --> 00:00:04.000]  (主席)歡迎大家來到我們的週六崇拜
[00:00:04.000 --> 00:00:07.000]  由聖誕到新年
[00:00:07.000 --> 00:00:10.000]  由新年等到農曆新年
[00:00:10.000 --> 00:00:13.000]  由農曆新年等到復活節
[00:00:13.000 --> 00:00:16.000]  我們終於等到這一天了
[00:00:16.000 --> 00:00:19.000]  教會終於可以大開門戶
[00:00:19.000 --> 00:00:23.000]  讓大家回來實體的崇拜
[00:00:23.000 --> 00:00:26.000]  不知道大家還記不記得
[00:00:26.000 --> 00:00:28.000]  我們的實體崇拜
[00:00:28.000 --> 00:00:32.000]  是在什麼時候被迫停止的呢
[00:00:32.000 --> 00:00:38.000]  我很記得是去年的十二月五號
[00:00:38.000 --> 00:00:40.000]  去年的十二月五號
[00:00:40.000 --> 00:00:42.000]  那天我預備了一篇道
[00:00:42.000 --> 00:00:44.000]  叫做悔改的洗禮
[00:00:44.000 --> 00:00:48.000]  我們又安排了將要受洗的弟兄姊妹
[00:00:48.000 --> 00:00:50.000]  分享見證
[00:00:50.000 --> 00:00:52.000]  然後想著第二天
[00:00:52.000 --> 00:00:54.000]  在星期日的時候十月六號
[00:00:54.000 --> 00:00:57.000]  我們就會有洗禮和過會禮
[00:00:57.000 --> 00:01:01.000]  隔了差不多有四個月的時間
[00:01:01.000 --> 00:01:05.000]  今天我們終於可以再續前緣
[00:01:05.000 --> 00:01:07.000]  Enoch 小朋友
[00:01:07.000 --> 00:01:10.000]  剛才的孩童洗禮
[00:01:10.000 --> 00:01:12.000]  是我們的頭炮
[00:01:12.000 --> 00:01:17.000]  剛才他收到一張天國的支票
[00:01:17.000 --> 00:01:20.000]  如果你沒有機會聽我之前講的篇道
[00:01:20.000 --> 00:01:22.000]  現在可以看一下這張支票
[00:01:22.000 --> 00:01:26.000]  這張支票代表了洗禮的意義
[00:01:26.000 --> 00:01:33.000]  代表了上帝對每一個悔改罪人的認許
[00:01:33.000 --> 00:01:36.000]  這張支票有上帝的簽名
[00:01:36.000 --> 00:01:38.000]  聖父、聖子、聖靈
[00:01:38.000 --> 00:01:43.000]  這張支票給一位born in sin
[00:01:43.000 --> 00:01:49.000]  生活在生下來再最終的人
[00:01:49.000 --> 00:01:53.000]  但這個罪人會因著上帝的恩典
[00:01:53.000 --> 00:01:58.000]  得到青兒被領養成為上帝的兒女
[00:01:58.000 --> 00:02:01.000]  他可以成性、潔淨
[00:02:01.000 --> 00:02:05.000]  最終得到永遠的榮耀
[00:02:05.000 --> 00:02:09.000]  不過要真正得到這張支票上的認許
[00:02:09.000 --> 00:02:14.000]  售票人Enoch一定需要憑他自己的信心
[00:02:14.000 --> 00:02:18.000]  簽上他自己的名字才可以兌現
[00:02:18.000 --> 00:02:20.000]  我不知道在香港是怎樣
[00:02:20.000 --> 00:02:26.000]  在外國一定要自己簽名才可以兌現這張支票
[00:02:26.000 --> 00:02:32.000]  這是嬰孩或兒童洗禮和成人洗禮的分別
[00:02:32.000 --> 00:02:34.000]  是同一張支票
[00:02:34.000 --> 00:02:40.000]  但分別是成人即時簽署兌現這張支票
[00:02:40.000 --> 00:02:49.000]  而嬰孩或兒童是日後再簽署再兌現這張支票
[00:02:49.000 --> 00:02:56.000]  我想你看看這張支票是何等偉大的一個救恩
[00:02:56.000 --> 00:02:59.000]  我們要問救主耶穌究竟做了甚麼
[00:02:59.000 --> 00:03:06.000]  以致祂可以為我們贏取這張支票上每一個認許
[00:03:06.000 --> 00:03:10.000]  答案在我今天的這篇道裏
[00:03:10.000 --> 00:03:12.000]  今天我要和大家講這篇道
[00:03:12.000 --> 00:03:16.000]  這篇道告訴我們耶穌怎樣為我們贏取
[00:03:16.000 --> 00:03:20.000]  支票上所有的天國認許
[00:03:20.000 --> 00:03:24.000]  我要講的是拉薩路的故事
[00:03:24.000 --> 00:03:25.000]  我只有十多分鐘
[00:03:25.000 --> 00:03:26.000]  所以我講得很快
[00:03:26.000 --> 00:03:30.000]  大家一定要打醒十二分精神去聽
[00:03:30.000 --> 00:03:31.000]  如果我告訴你
[00:03:31.000 --> 00:03:35.000]  我今天要講一個死人復活的故事
[00:03:35.000 --> 00:03:37.000]  你猜一下那個死人是誰
[00:03:37.000 --> 00:03:40.000]  我想當中的小朋友一定會知道
[00:03:40.000 --> 00:03:43.000]  他說不用問當然是講耶穌
[00:03:43.000 --> 00:03:45.000]  你一點都沒有錯
[00:03:45.000 --> 00:03:48.000]  我要講的不是拉薩路的故事
[00:03:48.000 --> 00:03:51.000]  而是耶穌的故事
[00:03:51.000 --> 00:03:53.000]  拉薩路只是一個配角
[00:03:53.000 --> 00:03:55.000]  拉薩路是路人甲
[00:03:55.000 --> 00:03:58.000]  拉薩路甚至只是一件道具
[00:03:58.000 --> 00:04:03.000]  故事永遠的主角是耶穌基督
[00:04:03.000 --> 00:04:05.000]  所以故事叫做
[00:04:05.000 --> 00:04:08.000]  如果你看英文是The Rising of Lazarus
[00:04:08.000 --> 00:04:11.000]  是復活拉薩路
[00:04:11.000 --> 00:04:15.000]  不是The Rising of Lazarus
[00:04:15.000 --> 00:04:16.000]  不是拉薩路復活
[00:04:16.000 --> 00:04:17.000]  主角不是拉薩路
[00:04:17.000 --> 00:04:22.000]  是復活拉薩路那個人叫做耶穌
[00:04:22.000 --> 00:04:24.000]  故事引導我們去思想
[00:04:24.000 --> 00:04:26.000]  耶穌究竟是誰
[00:04:26.000 --> 00:04:31.000]  耶穌究竟來做了些什麼
[00:04:31.000 --> 00:04:35.000]  讓我們可以得到永遠的救恩
[00:04:35.000 --> 00:04:38.000]  我今天那篇導有個題目
[00:04:38.000 --> 00:04:41.000]  特別叫做救主耶穌的自畫像
[00:04:41.000 --> 00:04:45.000]  A Self Portrait of the Saviour
[00:04:45.000 --> 00:04:48.000]  我想我們每一個人都知道
[00:04:48.000 --> 00:04:49.000]  這個世界有幅名畫
[00:04:49.000 --> 00:04:53.000]  那幅名畫叫做《蒙羅麗莎》
[00:04:53.000 --> 00:04:56.000]  但我不知道你有沒有人知道
[00:04:56.000 --> 00:05:00.000]  蒙羅麗莎究竟是誰
[00:05:00.000 --> 00:05:02.000]  其實沒有人知道
[00:05:02.000 --> 00:05:03.000]  但信不信由你
[00:05:03.000 --> 00:05:05.000]  這個世界有不少人相信
[00:05:05.000 --> 00:05:08.000]  蒙羅麗莎其實是達文西
[00:05:08.000 --> 00:05:09.000]  自己的自畫像
[00:05:09.000 --> 00:05:14.000]  是他男扮女裝的自畫像
[00:05:14.000 --> 00:05:16.000]  如果你相信這個理論
[00:05:16.000 --> 00:05:18.000]  你發現原來他們真的好像
[00:05:18.000 --> 00:05:21.000]  原來他在畫他自己
[00:05:21.000 --> 00:05:23.000]  同樣地我們可以說
[00:05:23.000 --> 00:05:27.000]  拉薩路是耶穌的自畫像
[00:05:27.000 --> 00:05:30.000]  通過拉薩路的死亡復活的故事
[00:05:30.000 --> 00:05:33.000]  我們見到耶穌的未來
[00:05:33.000 --> 00:05:35.000]  耶穌的使命
[00:05:35.000 --> 00:05:39.000]  耶穌做的不是一個普通的神蹟
