
[00:00:00.000 --> 00:00:10.000]  早晨, 各位兄弟姊妹, 平安。
[00:00:10.000 --> 00:00:20.000]  很高興能夠在大家當中, 感謝您有機會分享神的話語。
[00:00:20.000 --> 00:00:35.000]  這是我的全家的照片, 我有四個小孩。
[00:00:35.000 --> 00:00:51.000]  耶穌會去耶路撒冷, 他會坐在一個驢車上。
[00:00:51.000 --> 00:01:15.000]  馬太福音21:8-11
[00:01:15.000 --> 00:01:23.000]  眾人都把衣服鋪在路上, 還有人斬下樹之來,鋪在地上。
[00:01:23.000 --> 00:01:31.000]  前行後隨的人都喊著說: 和撒拿,歸於大位的子孫。
[00:01:31.000 --> 00:01:37.000]  奉主的命來的應當是聲當稱動的, 高高在上的和撒拿。
[00:01:37.000 --> 00:01:52.000]  其中一位女兒對我說: 我們很快就會見到耶穌基督在雲上。
[00:01:52.000 --> 00:02:04.000]  她提醒了我, 耶穌基督是來到這個世上, 為我們的罪而死,而復活。
[00:02:04.000 --> 00:02:14.000]  所以我們有希望,我們有平安, 我們有癱瘓,我們有永生。
[00:02:14.000 --> 00:02:20.000]  有一天祂會再來, 我們要準備好。
[00:02:20.000 --> 00:02:31.000]  我們不知道祂何時會回來, 明天還是下個月,還是一百年後, 但是祂會回來。
[00:02:31.000 --> 00:02:37.000]  所以我們一定要準備好祂的再來。
[00:02:37.000 --> 00:02:51.000]  我們在過去的四年, 我們都在東南亞的地方和山大的人民族住在一起。
[00:02:51.000 --> 00:03:04.000]  在山大的人民族有六百萬多, 他們在亞洲不同的國家都有。
[00:03:04.000 --> 00:03:20.000]  你可以說他們是泰國的泰人和寮國的民族表兄弟。
[00:03:20.000 --> 00:03:25.000]  所以他們的信仰都是佛教。
[00:03:25.000 --> 00:03:35.000]  你可以說他們相信鬼神和動物。
[00:03:35.000 --> 00:03:55.000]  所以他們對靈和鬼神都有驚怕, 所以希望能夠討好他們。
[00:03:55.000 --> 00:04:15.000]  所以你說在他們家庭的生命裡, 或者在鄉村的生活裡, 他們去廟裡燒香, 成為他們生命的一個很重要的部分。
[00:04:15.000 --> 00:04:25.000]  所以在每一個鄉村都有一個廟。
[00:04:25.000 --> 00:04:37.000]  這也是我們的慾望, 希望山大的人都認識到耶穌基督, 知道耶穌基督為我們的罪而死。
[00:04:37.000 --> 00:04:45.000]  大部分的山大的人, 他們都沒有聽過這個福音。
[00:04:45.000 --> 00:04:57.000]  有些人聽過耶穌基督這個名字的時候, 他們都不知道是什麼意思。
[00:04:57.000 --> 00:05:07.000]  但是神的工作就在這裡開始, 在不同的國家裡都有教會。
[00:05:07.000 --> 00:05:17.000]  所以我們要繼續為這些山大的人來祈禱。
[00:05:17.000 --> 00:05:32.000]  我的太太讀完大學之後, 在中國教書。
[00:05:32.000 --> 00:05:47.000]  2002年的時候, 我是一個短孫, 去到一個山泰的鄉村住過一段時間。
[00:05:47.000 --> 00:06:02.000]  在2004年和2005年的時候, 我有機會去到緬甸的北部教聖經。
[00:06:02.000 --> 00:06:17.000]  我回到美國之後, 我很想馬上回到他們那裡, 在他們當中服侍。
[00:06:17.000 --> 00:06:27.000]  我認識到一個女士, 她的名字叫Elma。
