
[00:00:00.000 --> 00:00:05.400]  很多年前有一個我們教會語部的長老
[00:00:05.400 --> 00:00:09.200]  每次被安排要講道的時候
[00:00:09.200 --> 00:00:12.800]  他總是會講一些很實淨的信息
[00:00:12.800 --> 00:00:16.200]  有一次我就問他
[00:00:16.200 --> 00:00:22.400]  為什麼你每次講道都是講一些很難去接受的信息
[00:00:22.400 --> 00:00:24.400]  他就反問我一句說話
[00:00:24.400 --> 00:00:27.800]  他說你看看弟兄姊妹信主信了幾年
[00:00:27.800 --> 00:00:29.800]  他們不是Baby了
[00:00:29.800 --> 00:00:32.800]  所以應該可以接受一些硬淨的信息
[00:00:32.800 --> 00:00:36.800]  因為如果一個壯年人
[00:00:36.800 --> 00:00:41.800]  他仍然都不可以吃真正的食物
[00:00:41.800 --> 00:00:46.800]  他是沒有辦法可以成為一個有能力的人
[00:00:46.800 --> 00:00:49.800]  所以今天我和大家分享這個信息
[00:00:49.800 --> 00:00:52.800]  我希望大家不要見怪
[00:00:52.800 --> 00:00:55.800]  因為我希望今天這個信息能夠導引大家
[00:00:55.800 --> 00:00:58.800]  來到更深的去看見
[00:00:58.800 --> 00:01:01.800]  在教會生命裏面
[00:01:01.800 --> 00:01:05.800]  準備了一些帶領者
[00:01:05.800 --> 00:01:08.800]  而這個準備的過程是一個
[00:01:08.800 --> 00:01:11.800]  我們意想不到的過程
[00:01:11.800 --> 00:01:16.800]  而這個過程應該在這個教會裏面出現
[00:01:16.800 --> 00:01:21.800]  所以在這個時候我們先和大家來看幾節的經文
[00:01:21.800 --> 00:01:24.800]  第一個經文是在士堂傳的第五章
[00:01:24.800 --> 00:01:27.800]  二十七到三十二節
[00:01:27.800 --> 00:01:29.800]  這個經文基本說到
[00:01:29.800 --> 00:01:37.800]  約翰和彼得被監禁的時候
[00:01:37.800 --> 00:01:40.800]  眾聖徒為他們祈禱
[00:01:40.800 --> 00:01:45.800]  天使將他們營救離開了監牢
[00:01:45.800 --> 00:01:48.800]  結果守殿的人
[00:01:48.800 --> 00:01:52.800]  差役發現到他們不在監牢裏面
[00:01:52.800 --> 00:01:55.800]  產生了極大的混亂
[00:01:55.800 --> 00:02:00.800]  後來他們發現到找到彼得
[00:02:00.800 --> 00:02:01.800]  找到約翰
[00:02:01.800 --> 00:02:05.800]  於是將他們帶回到這個公會裏面
[00:02:05.800 --> 00:02:08.800]  會堂裏面再次去審查他們
[00:02:08.800 --> 00:02:14.800]  這個是兩個初期教會的門徒經歷過的事情
[00:02:14.800 --> 00:02:21.800]  第一次就是會堂的所謂建制的人和他們說
[00:02:21.800 --> 00:02:24.800]  你不可以再去宣傳耶穌的名
[00:02:24.800 --> 00:02:26.800]  這個是第二次
[00:02:26.800 --> 00:02:30.800]  以前在這裏特別講到將他們帶到公會的面前
[00:02:30.800 --> 00:02:32.800]  大祭司就在當中
[00:02:32.800 --> 00:02:36.800]  用了一個很嚴厲的說話跟他們說
[00:02:36.800 --> 00:02:40.800]  我們不是嚴嚴的禁止你們不可以奉這個名
[00:02:40.800 --> 00:02:42.800]  就是耶穌基督的名教訓人嗎
[00:02:42.800 --> 00:02:47.800]  你們倒把他的道理充滿在耶路撒冷
[00:02:47.800 --> 00:02:49.800]  想要叫這人的血歸在我們的身上
[00:02:49.800 --> 00:02:51.800]  可以知道這個公會裏面的人
[00:02:51.800 --> 00:02:55.800]  因為過去曾經決定如何釘死耶穌基督
[00:02:55.800 --> 00:02:58.800]  所以在這個時候發覺到
[00:02:58.800 --> 00:03:01.800]  所被釘死的耶穌基督復活的主
[00:03:01.800 --> 00:03:02.800]  這個名被傳揚出去
[00:03:02.800 --> 00:03:04.800]  所以他們很難堪
[00:03:04.800 --> 00:03:07.800]  所以在這個建制的過程裏面
[00:03:07.800 --> 00:03:10.800]  他們覺得他們一定要將這兩個人
[00:03:10.800 --> 00:03:14.800]  最少這兩個人將他繩之於法
[00:03:14.800 --> 00:03:17.800]  讓他們不可以再去宣講耶穌的名
[00:03:17.800 --> 00:03:19.800]  但你看看第29節裏面
[00:03:19.800 --> 00:03:21.800]  彼得和眾使徒就這樣回答
[00:03:21.800 --> 00:03:26.800]  信從神不信從人是應當的
[00:03:26.800 --> 00:03:30.800]  這個是一個對壘
[00:03:30.800 --> 00:03:33.800]  一個公會裏面
[00:03:33.800 --> 00:03:34.800]  一個會堂裏面
[00:03:34.800 --> 00:03:37.800]  這些權威人士嚴嚴的警戒你
[00:03:37.800 --> 00:03:39.800]  但你可以說出這麼狂傲的話
[00:03:39.800 --> 00:03:41.800]  其實是一個很大的對壘
[00:03:41.800 --> 00:03:42.800]  這個對壘之後
[00:03:42.800 --> 00:03:46.800]  如果大家留意再看看第41節和42節
[00:03:46.800 --> 00:03:50.800]  當他們被釋放離開了公會的時候
[00:03:50.800 --> 00:03:52.800]  在聖經記載裏面
[00:03:52.800 --> 00:03:53.800]  路加很清楚的記載到
[00:03:53.800 --> 00:03:58.800]  這兩個使徒他們生命當中的回應
[00:03:58.800 --> 00:04:01.800]  怎樣看到他們怎樣看患難
[00:04:01.800 --> 00:04:04.800]  不是在患難的過程裏面看見
[00:04:04.800 --> 00:04:06.800]  是在患難的深層
[00:04:06.800 --> 00:04:08.800]  就是他們的回應裏面看見
[00:04:08.800 --> 00:04:09.800]  他們離開了公會之後
[00:04:09.800 --> 00:04:11.800]  心裏面就歡喜
[00:04:11.800 --> 00:04:17.800]  因被算是配為耶穌基督的命來受用
[00:04:17.800 --> 00:04:19.800]  他們沒有停止
[00:04:19.800 --> 00:04:21.800]  每天在電裏面在家裏面
[00:04:21.800 --> 00:04:22.800]  不住的教訓人
[00:04:22.800 --> 00:04:23.800]  全說甚麼呢
[00:04:23.800 --> 00:04:25.800]  耶穌就是基督
[00:04:25.800 --> 00:04:29.800]  這個就是《使徒行傳》第六章當中的背景
[00:04:29.800 --> 00:04:32.800]  當你看到《使徒行傳》第六章
[00:04:32.800 --> 00:04:34.800]  講到教會初期第一次
[00:04:34.800 --> 00:04:37.800]  發生教會裏面的一些怨言紛爭的時候
[00:04:37.800 --> 00:04:39.800]  原來背後有一個背景
[00:04:39.800 --> 00:04:40.800]  這個背景是甚麼呢
[00:04:40.800 --> 00:04:42.800]  就是導引我們去看見
[00:04:42.800 --> 00:04:44.800]  初期教會的建造
[00:04:44.800 --> 00:04:46.800]  真的不是好像我們所想像
[00:04:46.800 --> 00:04:50.800]  我們今天怎樣去看一個教會呢
[00:04:50.800 --> 00:04:51.800]  我們用結構來看
[00:04:51.800 --> 00:04:54.800]  教會的領導人是透過挑選
[00:04:54.800 --> 00:04:55.800]  揀選
[00:04:55.800 --> 00:04:57.800]  透過interview
[00:04:57.800 --> 00:04:58.800]  透過投票
[00:04:58.800 --> 00:05:01.800]  原來初期教會的帶領者的崛起
[00:05:01.800 --> 00:05:04.800]  原來那個過程不是這樣
[00:05:04.800 --> 00:05:07.800]  一會兒我就和大家用四點的方法來看見
[00:05:07.800 --> 00:05:10.800]  原來這個世界
[00:05:10.800 --> 00:05:12.800]  當你信耶穌的時候
[00:05:12.800 --> 00:05:14.800]  你已經集納在世界的另外一邊
[00:05:14.800 --> 00:05:18.800]  世界是不住的尋求著
[00:05:18.800 --> 00:05:21.800]  去壓迫領導者
[00:05:21.800 --> 00:05:24.800]  去壓制宣佈真理
[00:05:24.800 --> 00:05:26.800]  來摧殘教會
[00:05:26.800 --> 00:05:29.800]  如果今天我們不掌握到這個裏面的真理的話
