
[00:00:00.000 --> 00:00:04.200]  慈愛信仰恩主,多謝祢讓我們能夠聚集在這裏
[00:00:04.200 --> 00:00:06.800]  雖然有些靈智會在Live Stream上
[00:00:06.800 --> 00:00:10.000]  祝我們祈求祢的話語得到宣講
[00:00:10.000 --> 00:00:12.400]  祈求祢的榮耀得到彰顯
[00:00:12.400 --> 00:00:17.200]  祈求我們的教會與祢的榮耀的重量能夠相稱
[00:00:17.200 --> 00:00:21.400]  幫助我們已經踏入疫情第N個星期
[00:00:21.400 --> 00:00:25.200]  但仍然幫助我們專心能夠在祢的話裏
[00:00:25.200 --> 00:00:29.600]  得著力量,以致到我們的靈魂都要甦醒
[00:00:29.600 --> 00:00:34.000]  亦幫助孩子今天能夠清晰地去宣講祢的話語
[00:00:34.000 --> 00:00:36.600]  將祢福音的奧秘顯明出來
[00:00:36.600 --> 00:00:39.600]  祈求祢的交托與教教主耶穌的名字
[00:00:39.600 --> 00:00:47.000]  今日我們的講章是在二福所宣一章十五至二十三節
[00:00:47.000 --> 00:00:51.200]  這個已經是第三次我們去看這裏的經文
[00:00:51.200 --> 00:00:54.200]  三篇的講道講十五至二十三節
[00:00:54.200 --> 00:00:58.000]  今日這篇的講章將要總結十五至二十三節
[00:00:58.000 --> 00:00:59.600]  不單止是這樣
[00:00:59.600 --> 00:01:05.200]  其實今日這篇的講道也是在總結整個二福所書的第一章
[00:01:05.200 --> 00:01:08.400]  我應該怎樣總結二福所書的第一章呢?
[00:01:08.400 --> 00:01:12.400]  我記得在很久之前有一個目者曾經跟我分享
[00:01:12.400 --> 00:01:14.000]  二福所書有一個主題
[00:01:14.000 --> 00:01:16.600]  他說這個主題有五個字
[00:01:16.600 --> 00:01:19.000]  「榮耀的教會」
[00:01:19.000 --> 00:01:20.400]  非常地深刻
[00:01:20.400 --> 00:01:21.800]  雖然當時我聽他講
[00:01:21.800 --> 00:01:24.600]  我不太明白他所講的二福所書是甚麼
[00:01:24.600 --> 00:01:29.800]  但是這五個字深深地留在我腦海裏面
[00:01:29.800 --> 00:01:32.200]  「榮耀的教會」
[00:01:32.200 --> 00:01:35.800]  「榮耀」這個字在二福所書的第一章出現了幾次
[00:01:35.800 --> 00:01:37.600]  甚麼是「榮耀」呢?
[00:01:37.600 --> 00:01:42.200]  「榮耀」在希臘文的原文有一個字叫做「重量」
[00:01:42.200 --> 00:01:44.800]  所以保羅他不斷出現這個字
[00:01:44.800 --> 00:01:47.000]  再將這個字與教會連結
[00:01:47.000 --> 00:01:49.400]  我們得出一個甚麼圖畫
[00:01:49.400 --> 00:01:52.600]  保羅在講及的是這個「榮耀的重量」
[00:01:52.600 --> 00:01:56.800]  福音的重量與教會是非常相關
[00:01:56.800 --> 00:01:57.800]  福音的偉大
[00:01:57.800 --> 00:02:02.400]  福音的沉重要充滿著整個教會
[00:02:02.400 --> 00:02:04.800]  今天我們將要為整個二福所書的一章
[00:02:04.800 --> 00:02:07.000]  做一個很重要的總結
[00:02:07.000 --> 00:02:10.800]  同時亦將保羅對整個教會和福音的理解
[00:02:10.800 --> 00:02:13.200]  推到最高峰
[00:02:13.200 --> 00:02:14.200]  我們先看
[00:02:14.200 --> 00:02:18.000]  今天我們在看的經文是十五節、二十三節
[00:02:18.000 --> 00:02:22.600]  我們會集中看最後幾節
[00:02:22.600 --> 00:02:26.200]  我們稍後會講保羅為二福所教會怎樣的祈求
[00:02:26.200 --> 00:02:27.600]  他的祈求是這樣的
[00:02:27.600 --> 00:02:28.600]  他的祈求
[00:02:28.600 --> 00:02:31.400]  主耶穌基督的神「榮耀」的符
[00:02:31.400 --> 00:02:32.400]  這個「榮耀」是甚麼「榮耀」呢?
[00:02:32.400 --> 00:02:33.800]  其實之前已經講過
[00:02:33.800 --> 00:02:36.600]  這個「榮耀」就是他在福音裏面彰顯的「榮耀」
[00:02:36.600 --> 00:02:38.800]  充滿重量的「榮耀」
[00:02:38.800 --> 00:02:41.600]  這位充滿重量的「榮耀」的上帝
[00:02:41.600 --> 00:02:44.400]  將智人智慧和啟示的靈
[00:02:44.400 --> 00:02:46.200]  讓你們使你們認識它
[00:02:46.200 --> 00:02:47.400]  打開你們的眼睛
[00:02:47.400 --> 00:02:48.800]  使你們知道
[00:02:48.800 --> 00:02:51.000]  知道有三樣東西
[00:02:51.000 --> 00:02:53.800]  第一呼召你們來的指望
[00:02:53.800 --> 00:02:56.400]  第二就是他所得「榮耀」的基業
[00:02:56.400 --> 00:02:57.600]  是何等的豐盛
[00:02:57.600 --> 00:03:02.800]  最後是知道他在我們這些人身上所顯的能力
[00:03:02.800 --> 00:03:04.200]  是何等的豪大
[00:03:04.200 --> 00:03:06.400]  他最後一個的禱告時刊
[00:03:06.400 --> 00:03:11.200]  其實直接和今天我們所講的經文有關連
[00:03:11.200 --> 00:03:18.600]  我會集中看第十九至二十三節
[00:03:18.600 --> 00:03:19.800]  他是這樣去的
[00:03:19.800 --> 00:03:24.400]  「並知道他向我們這些所信的人所顯的能力是何等的豪大」
[00:03:24.400 --> 00:03:26.600]  然後他繼續講下去
[00:03:26.600 --> 00:03:28.000]  他將這個禱告時刊
[00:03:28.000 --> 00:03:31.800]  現場成為一個神學的宣刑
[00:03:31.800 --> 00:03:33.800]  神學的宣告
[00:03:33.800 --> 00:03:40.000]  同時這個神學的宣告也是一個禱告
[00:03:40.000 --> 00:03:42.600]  今天我將這段經文分為三個重點
[00:03:42.600 --> 00:03:45.000]  我會逐點逐點地講
[00:03:45.000 --> 00:03:49.200]  請相信我這段經文豐富的程度遠超過你們所想的
[00:03:49.200 --> 00:03:52.800]  第一個重點是大能運行 死而復活
[00:03:52.800 --> 00:03:56.400]  保羅在這段經文裏面用了四個大能的字眼
[00:03:56.400 --> 00:03:58.600]  四個大能的原文去形容
[00:03:58.600 --> 00:04:00.000]  這是一個甚麼的能力
[00:04:00.000 --> 00:04:04.000]  他說這個大能運行在已不鎖教會信徒當中
