
[00:00:00.000 --> 00:00:03.760]  大概兩個多星期前
[00:00:03.760 --> 00:00:08.120]  有幾位革命姐妹問我一個問題
[00:00:08.120 --> 00:00:15.480]  如果有人向你投訴
[00:00:15.480 --> 00:00:20.360]  他說他被人強姦了
[00:00:20.360 --> 00:00:23.720]  他問我牧師
[00:00:23.720 --> 00:00:26.600]  你會怎樣
[00:00:26.600 --> 00:00:29.760]  我聽了之後
[00:00:30.760 --> 00:00:32.200]  我就告訴他
[00:00:32.200 --> 00:00:35.280]  我會鼓勵他報警
[00:00:35.280 --> 00:00:38.920]  第二
[00:00:38.920 --> 00:00:44.200]  也會盡快安排教會里面的姐妹
[00:00:44.200 --> 00:00:47.240]  來支持他
[00:00:47.240 --> 00:00:49.000]  和他同行
[00:00:49.000 --> 00:00:57.400]  他問牧師爲什麼你會鼓勵人報警
[00:00:57.400 --> 00:00:59.320]  而不是由教會處理
[00:01:00.320 --> 00:01:03.320]  我說了一件很簡單的道理
[00:01:03.320 --> 00:01:08.320]  任何教會
[00:01:08.320 --> 00:01:13.920]  都不能夠超越人的律法
[00:01:13.920 --> 00:01:16.520]  除非這個律法
[00:01:16.520 --> 00:01:19.520]  是和聖經有牴觸
[00:01:19.520 --> 00:01:22.120]  我們纔會站硬
[00:01:22.120 --> 00:01:23.920]  情願被人抓
[00:01:23.920 --> 00:01:25.920]  情願被人逼迫
[00:01:25.920 --> 00:01:28.920]  但是信從神,不信從人
[00:01:28.920 --> 00:01:29.920]  是應該的
[00:01:29.920 --> 00:01:32.520]  這是《師徒行主》五章二十九節的教導
[00:01:32.520 --> 00:01:35.920]  但是一些根本是和聖經有吻合
[00:01:35.920 --> 00:01:40.320]  或者我們可以說是完全和聖經沒有衝突的東西
[00:01:40.320 --> 00:01:42.920]  那個是刑事的東西的時候
[00:01:42.920 --> 00:01:46.320]  我們必須要將它交給
[00:01:46.320 --> 00:01:49.320]  社會上的律法來處理
[00:01:49.320 --> 00:01:52.520]  各位聽衆姐妹
[00:01:52.520 --> 00:01:56.920]  我們見到在一個千變萬化的社會里面
[00:01:57.520 --> 00:02:02.520]  在過去處理一些紀律上的問題
[00:02:02.520 --> 00:02:08.520]  我都發覺越來越多是和性方面有關的問題
[00:02:08.520 --> 00:02:10.520]  性氾濫
[00:02:10.520 --> 00:02:13.520]  已經成爲一種風氣
[00:02:13.520 --> 00:02:18.520]  隨着社會越來越自由
[00:02:18.520 --> 00:02:23.520]  道德的底線越來越低
[00:02:25.520 --> 00:02:27.520]  人在各方面越來越開放
[00:02:27.520 --> 00:02:31.520]  性犯罪的案件越來越多
[00:02:31.520 --> 00:02:35.520]  手法也層出不窮
[00:02:35.520 --> 00:02:38.520]  這些東西在過去裏面
[00:02:38.520 --> 00:02:41.520]  來到我當中求助的
[00:02:41.520 --> 00:02:43.520]  有問的,包括到
[00:02:43.520 --> 00:02:48.520]  女兒在網上交了個朋友
[00:02:48.520 --> 00:02:51.520]  結果很短的時間裏面
[00:02:51.520 --> 00:02:54.520]  就被人騙上牀
[00:02:55.520 --> 00:02:57.520]  我鼓勵她
[00:02:57.520 --> 00:03:01.520]  作爲家長,你要有這麼快就這麼快報警
[00:03:01.520 --> 00:03:05.520]  特別是當女兒還沒成年的時候
[00:03:05.520 --> 00:03:07.520]  更加需要
[00:03:07.520 --> 00:03:16.520]  然後,必須投訴老闆性侵犯她
[00:03:16.520 --> 00:03:19.520]  騷擾她,或者非禮她
[00:03:20.520 --> 00:03:24.520]  這些情形裏面,最近的報紙也會有這些問題
[00:03:24.520 --> 00:03:27.520]  這些情形實際上
[00:03:27.520 --> 00:03:30.520]  是應該勇敢的站出來
[00:03:30.520 --> 00:03:32.520]  但另一方面又要安排到
[00:03:32.520 --> 00:03:35.520]  有些人和受害者同行
[00:03:35.520 --> 00:03:37.520]  陪着他去報警
[00:03:37.520 --> 00:03:41.520]  不應該被公司的人處理
[00:03:41.520 --> 00:03:43.520]  或者大學的人處理
[00:03:43.520 --> 00:03:45.520]  或者學校等等處理
