
[00:00:00.000 --> 00:00:02.440]  基督徒信了主之後
[00:00:02.440 --> 00:00:05.320]  有一件事需要做的
[00:00:05.320 --> 00:00:09.320]  就是服侍神、服侍人
[00:00:09.320 --> 00:00:12.080]  因為既然我們都這麼蒙恩
[00:00:12.080 --> 00:00:13.720]  我們聚得赦免
[00:00:13.720 --> 00:00:15.960]  我們經歷主的愛
[00:00:15.960 --> 00:00:19.800]  感受到主這麼偉大、這麼榮美的時候
[00:00:19.800 --> 00:00:21.360]  我們真的很覺得
[00:00:21.360 --> 00:00:24.840]  是需要好好地去服侍祂
[00:00:24.840 --> 00:00:27.720]  就正如保羅在《羅馬書》的十二章
[00:00:27.720 --> 00:00:29.120]  也是這樣說
[00:00:29.120 --> 00:00:31.640]  我們如此的侍奉
[00:00:31.640 --> 00:00:34.560]  乃是理所當然
[00:00:34.560 --> 00:00:38.760]  所以基督徒應該起來服侍神
[00:00:38.760 --> 00:00:41.920]  因著救恩對我們的感動
[00:00:41.920 --> 00:00:44.400]  愛對我們的驅使
[00:00:44.400 --> 00:00:47.440]  我們需要起來服侍
[00:00:47.440 --> 00:00:49.080]  不單止起來服侍
[00:00:49.080 --> 00:00:53.040]  並且應該是歡歡喜喜的
[00:00:53.040 --> 00:00:54.520]  是應該帶著喜樂的
[00:00:54.520 --> 00:00:55.000]  為甚麼呢?
[00:00:55.000 --> 00:00:59.160]  因為既然能夠服侍永生的上帝
[00:00:59.160 --> 00:01:01.480]  是非常難能可貴的
[00:01:01.480 --> 00:01:04.520]  人世間還有甚麼事好得過
[00:01:04.520 --> 00:01:07.840]  能夠去服侍這位永生的神呢?
[00:01:07.840 --> 00:01:08.960]  所以我們很蒙恩的
[00:01:08.960 --> 00:01:10.000]  能夠認識祂
[00:01:10.000 --> 00:01:11.560]  更加能夠服侍祂
[00:01:11.560 --> 00:01:16.080]  我們心裏充滿著雀躍、快樂、感謝
[00:01:16.080 --> 00:01:17.280]  我相信在我們中間
[00:01:17.280 --> 00:01:20.000]  很多基督徒都會有這樣的體會
[00:01:20.000 --> 00:01:22.000]  亦盼望我們都能夠
[00:01:22.000 --> 00:01:26.680]  為著著一種喜樂的心、歡欣的靈去侍奉
[00:01:26.680 --> 00:01:29.680]  我們的侍奉不應該是苦瓜乾的
[00:01:29.680 --> 00:01:31.680]  不應該是埋怨的
[00:01:31.680 --> 00:01:33.560]  是應該喜樂的
[00:01:33.560 --> 00:01:36.720]  不過話又說回頭
[00:01:36.720 --> 00:01:39.280]  雖然我們整體來說
