
[00:00:00.000 --> 00:00:02.000]  各位電視姐妹午安
[00:00:02.000 --> 00:00:07.000]  今日我要介紹聖經裏面一位少數族群者
[00:00:07.000 --> 00:00:09.000]  她叫菲比
[00:00:09.000 --> 00:00:12.000]  提起少數族群或少數族裔
[00:00:12.000 --> 00:00:15.000]  不知大家會想起甚麼呢
[00:00:15.000 --> 00:00:18.000]  想不想起一個美麗動人的新聞報道員
[00:00:18.000 --> 00:00:21.000]  尼君雅 廣東話好正
[00:00:21.000 --> 00:00:26.000]  她是第一位非華裔的中文新聞記者
[00:00:26.000 --> 00:00:29.000]  有沒有想起一位中巴混血兒
[00:00:29.000 --> 00:00:33.000]  第一位非華裔的警察 呂文迪
[00:00:33.000 --> 00:00:35.000]  不知道大家有沒有留意她的報道
[00:00:35.000 --> 00:00:38.000]  幾年前她成為第一位建集的督察
[00:00:38.000 --> 00:00:41.000]  或者你想起無數的南亞劫匪
[00:00:41.000 --> 00:00:45.000]  因為早一段時間很多搶劫打劫都是南亞裔人士
[00:00:45.000 --> 00:00:48.000]  還是充滿笑容的南亞裔小朋友
[00:00:48.000 --> 00:00:52.000]  一臉茫然的南亞裔少女
[00:00:52.000 --> 00:00:58.000]  根據香港政府2016年中期人口統計的結果
[00:00:58.000 --> 00:00:59.000]  我告訴你
[00:00:59.000 --> 00:01:03.000]  2016年居住在香港的少數族裔人士
[00:01:03.000 --> 00:01:07.000]  一共有58萬4千3百多人
[00:01:07.000 --> 00:01:10.000]  佔全黨人口的8%
[00:01:10.000 --> 00:01:13.000]  撇除了外籍的家庭傭工
[00:01:13.000 --> 00:01:15.000]  菲律賓或印尼
[00:01:15.000 --> 00:01:19.000]  就有26萬3千多的少數族裔人士
[00:01:19.000 --> 00:01:21.000]  是以香港為家的
[00:01:21.000 --> 00:01:23.000]  有3.6%
[00:01:23.000 --> 00:01:25.000]  甚麼是少數族裔呢
[00:01:25.000 --> 00:01:28.000]  其實少數族裔對香港來說
[00:01:28.000 --> 00:01:32.000]  是指居住在香港的非華裔
[00:01:32.000 --> 00:01:35.000]  非華人的族裔
[00:01:35.000 --> 00:01:40.000]  非華人的族裔有亞洲人
[00:01:40.000 --> 00:01:43.000]  原來佔了78.2%
[00:01:43.000 --> 00:01:45.000]  白人是佔了10%
[00:01:45.000 --> 00:01:47.000]  混血兒佔了11.2%
[00:01:47.000 --> 00:01:49.000]  其他那些是甚麼呢
[00:01:49.000 --> 00:01:52.000]  黑人 拉丁美洲 剛才提到的時候
[00:01:52.000 --> 00:01:54.000]  甚至連巴勒斯坦 猶太人有沒有呢
[00:01:54.000 --> 00:01:56.000]  都有 但那些已經屬於其他
[00:01:56.000 --> 00:02:01.000]  在非華裔亞洲人的72%
[00:02:01.000 --> 00:02:03.000]  那一大群人裏面
[00:02:03.000 --> 00:02:05.000]  菲律賓是佔最多的
[00:02:05.000 --> 00:02:06.000]  然後是印尼
[00:02:06.000 --> 00:02:07.000]  然後是南亞裔
[00:02:07.000 --> 00:02:09.000]  我們經常說南亞裔
[00:02:09.000 --> 00:02:10.000]  南亞裔包括甚麼呢
[00:02:10.000 --> 00:02:14.000]  印度 尼泊爾 巴基斯坦
[00:02:14.000 --> 00:02:16.000]  我中途說了巴勒斯坦
[00:02:16.000 --> 00:02:19.000]  巴基斯坦 孟加拉 斯里蘭卡
[00:02:19.000 --> 00:02:23.000]  原來還有其他非華裔亞洲人
[00:02:23.000 --> 00:02:26.000]  泰國 日本 韓國
[00:02:26.000 --> 00:02:32.000]  都在非華裔的少數族裔裏面
[00:02:32.000 --> 00:02:33.000]  提起少數族裔
[00:02:33.000 --> 00:02:35.000]  我們很多時候有一種感覺
[00:02:35.000 --> 00:02:37.000]  他們是被忽略的
[00:02:37.000 --> 00:02:38.000]  或者受歧視的
[00:02:38.000 --> 00:02:39.000]  為甚麼呢
[00:02:39.000 --> 00:02:41.000]  在部分人裏面
[00:02:41.000 --> 00:02:45.000]  他們在社會的經濟是屬於下層的
[00:02:45.000 --> 00:02:47.000]  即是說他們的工種
[00:02:47.000 --> 00:02:49.000]  帶給他們的收入
[00:02:49.000 --> 00:02:51.000]  甚至有些是怎樣呢
[00:02:51.000 --> 00:02:54.000]  他們仍然是用身份有待核實
[00:02:54.000 --> 00:02:56.000]  或者說得好聽一點
[00:02:56.000 --> 00:03:00.000]  用一個難民的身份留在那裏
[00:03:00.000 --> 00:03:01.000]  所以他們沒有收入
[00:03:01.000 --> 00:03:03.000]  就在經濟的下層那裏
