
[00:00:00.000 --> 00:00:01.540]  丁字妹平安
[00:00:01.540 --> 00:00:04.200]  今日嘅題目係咩嘢呀
[00:00:04.200 --> 00:00:06.720]  合一嘅代求
[00:00:06.720 --> 00:00:09.380]  諗起合一你會諗起啲咩嘢呀
[00:00:09.380 --> 00:00:12.020]  諗起合一會諗起
[00:00:12.020 --> 00:00:14.220]  我哋講同一樣嘅說話啦
[00:00:14.220 --> 00:00:16.880]  我哋好同心
[00:00:16.880 --> 00:00:19.760]  大家好相愛啦
[00:00:19.760 --> 00:00:21.860]  好同心嘅去凝聚
[00:00:21.860 --> 00:00:24.180]  跟住做同一樣嘢啦
[00:00:24.180 --> 00:00:26.320]  合一係咪咁樣嘅通常
[00:00:26.320 --> 00:00:29.980]  我哋有啲咁嘅想像嘅
[00:00:30.480 --> 00:00:32.500]  大家先睇一段經文
[00:00:32.500 --> 00:00:35.060]  我哋今日未睇楊洪寬之前
[00:00:35.060 --> 00:00:36.980]  我哋先睇一段經文就係
[00:00:36.980 --> 00:00:38.700]  聖經嘅第一卷
[00:00:38.700 --> 00:00:40.400]  創世紀
[00:00:40.400 --> 00:00:42.760]  創世紀嘅一個故事
[00:00:42.760 --> 00:00:45.700]  我哋一同讀囉
[00:00:45.700 --> 00:00:47.360]  準備起
[00:00:47.360 --> 00:00:49.660]  來,我哋下去
[00:00:49.660 --> 00:00:52.360]  在哪裡變亂他們嘅語言
[00:00:52.360 --> 00:00:55.340]  使他們彼此語言不通
[00:00:55.340 --> 00:00:58.340]  於是耶和華使他們從哪裡
[00:00:58.340 --> 00:01:00.800]  分散在全地面上
[00:01:00.800 --> 00:01:04.020]  他們就停止建造那城了
[00:01:04.020 --> 00:01:06.080]  因為耶和華在哪裡
[00:01:06.080 --> 00:01:08.240]  變亂了全地的語言
[00:01:08.240 --> 00:01:11.900]  把人從哪裡分散在全地面上
[00:01:11.900 --> 00:01:14.800]  所以那城名叫巴力
[00:01:14.800 --> 00:01:17.220]  呢個係講緊一段咩嘅歷史呀
[00:01:17.220 --> 00:01:19.500]  巴力
[00:01:19.500 --> 00:01:22.560]  巴別,巴別塔嘅歷史
[00:01:22.560 --> 00:01:24.740]  巴別塔係一個咩嘅歷史呀
[00:01:24.740 --> 00:01:26.860]  巴別塔就係當
[00:01:27.160 --> 00:01:29.260]  全世界嘅人聚埋一齊
[00:01:29.260 --> 00:01:30.800]  講同一種語言嘅時候
[00:01:30.800 --> 00:01:31.760]  佢哋想起一座城
[00:01:31.760 --> 00:01:33.760]  想起一座塔頂通天
[00:01:33.760 --> 00:01:35.760]  以致佢哋唔會分散
[00:01:35.760 --> 00:01:39.180]  以致後人永永遠遠紀念佢哋嘅名
[00:01:39.180 --> 00:01:42.140]  跟住耶和華
[00:01:42.140 --> 00:01:44.320]  變亂佢哋嘅口音
[00:01:44.320 --> 00:01:45.640]  啱啱呀
[00:01:45.640 --> 00:01:47.740]  變亂佢哋嘅口音
[00:01:47.740 --> 00:01:49.680]  結果呢
[00:01:49.680 --> 00:01:52.200]  佢哋雖然有同一個願景
[00:01:52.200 --> 00:01:55.160]  但因為佢哋語言不通
[00:01:55.780 --> 00:01:57.780]  就各散東西
[00:01:57.780 --> 00:02:01.660]  係咪呀,結果係咁樣喎
[00:02:01.660 --> 00:02:03.120]  雖然有同一個目標
[00:02:03.120 --> 00:02:05.360]  但係如果講唔埋爛呢
[00:02:05.360 --> 00:02:07.960]  就各散東西囉
[00:02:07.960 --> 00:02:11.120]  雖然大家都知道做一樣嘢,我哋一齊做
[00:02:11.120 --> 00:02:12.740]  不過講唔埋爛呢
[00:02:12.740 --> 00:02:15.400]  就分裂,撕裂
[00:02:15.400 --> 00:02:17.400]  你有你做,我有我做
[00:02:17.400 --> 00:02:19.860]  你同我無關係,我同你無關係囉
[00:02:19.860 --> 00:02:22.720]  跟住去到聖經最後尾嗰卷
[00:02:25.300 --> 00:02:26.300]  啟示錄
[00:02:26.300 --> 00:02:28.620]  啟示錄點樣講呀
[00:02:28.620 --> 00:02:31.500]  讀囉,準備起
[00:02:55.300 --> 00:02:57.300]  有沒有留意呀
[00:02:57.300 --> 00:03:00.120]  呢度係咪一樣講唔埋爛呀
[00:03:00.120 --> 00:03:02.120]  事實係呀
[00:03:02.120 --> 00:03:04.120]  如果你叫我同一個法國人
[00:03:04.120 --> 00:03:06.120]  一齊去敬拜
[00:03:06.120 --> 00:03:08.120]  一齊唱聖詩嘅時候
