
[00:00:00.000 --> 00:00:02.000]  (主席)各位第四堂 第五堂會議平安
[00:00:02.000 --> 00:00:07.000]  首先 大家聽完主席讀的經文
[00:00:07.000 --> 00:00:10.000]  可能你現在心裡有很多疑惑
[00:00:10.000 --> 00:00:13.000]  如果你是第一次聽 你更加多疑惑
[00:00:13.000 --> 00:00:15.000]  迪漢 是不是
[00:00:15.000 --> 00:00:20.000]  不要被那些你看到的字影響你
[00:00:20.000 --> 00:00:21.000]  行不行
[00:00:21.000 --> 00:00:23.000]  我會解的
[00:00:23.000 --> 00:00:25.000]  如果不是你整天掛著它
[00:00:25.000 --> 00:00:28.000]  我上面說什麼你聽不到的了
[00:00:28.000 --> 00:00:33.000]  聖經的說話對我們來說很寶貴
[00:00:33.000 --> 00:00:36.000]  當我們不明白或者有些奇怪的時候
[00:00:36.000 --> 00:00:38.000]  我們的態度應該怎樣
[00:00:38.000 --> 00:00:41.000]  想清楚 問清楚
[00:00:41.000 --> 00:00:44.000]  不要隨便當看不到
[00:00:44.000 --> 00:00:46.000]  也不要隨便以為是
[00:00:46.000 --> 00:00:47.000]  行不行
[00:00:47.000 --> 00:00:50.000]  所以大家記住了
[00:00:50.000 --> 00:00:53.000]  這次很有挑戰的一段經文
[00:00:53.000 --> 00:00:55.000]  所以我們將時間交給我們的神
[00:00:55.000 --> 00:00:58.000]  帶領我們以下的時間一起祈禱
[00:00:58.000 --> 00:01:01.000]  七因主求祢引領我們
[00:01:01.000 --> 00:01:04.000]  我們是祢的子民
[00:01:04.000 --> 00:01:07.000]  我們被祢稱為兒女
[00:01:07.000 --> 00:01:09.000]  這個也不是必然
[00:01:09.000 --> 00:01:12.000]  我們知道在這個世界很多地方
[00:01:12.000 --> 00:01:14.000]  很多人都不能夠認識祢
[00:01:14.000 --> 00:01:21.000]  或者正因為祢的名義被逼迫
[00:01:21.000 --> 00:01:23.000]  我們為祂禱告
[00:01:23.000 --> 00:01:26.000]  求主更加幫助我們
[00:01:26.000 --> 00:01:28.000]  在禱告方面好好地學習
[00:01:28.000 --> 00:01:31.000]  這個禱告不是為自己
[00:01:31.000 --> 00:01:33.000]  而是為祢的國
[00:01:33.000 --> 00:01:36.000]  為祢的道幫助我們
[00:01:36.000 --> 00:01:39.000]  以下時間求主祢繼續引領著我們
[00:01:39.000 --> 00:01:41.000]  聽我們這樣祈禱交託
[00:01:41.000 --> 00:01:43.000]  奉耶穌基督的聖名祈求
[00:01:43.000 --> 00:01:45.000]  阿們
[00:01:53.000 --> 00:01:55.000]  以宗主託付
[00:01:55.000 --> 00:01:57.000]  我們會看三卷書
[00:01:57.000 --> 00:02:03.000]  提摩太前書、後書和提多書
[00:02:03.000 --> 00:02:06.000]  三卷書被稱為教目書信
[00:02:06.000 --> 00:02:09.000]  但不只是給教目看
[00:02:09.000 --> 00:02:12.000]  我們每位屬神的兒女都要看
[00:02:12.000 --> 00:02:18.000]  讀書信有一個很重要的秘訣
[00:02:18.000 --> 00:02:21.000]  就是不要只看字面
[00:02:21.000 --> 00:02:22.000]  為何這樣說呢
[00:02:22.000 --> 00:02:24.000]  不是因為經文難
[00:02:24.000 --> 00:02:29.000]  的確是收信者和寫信的
[00:02:29.000 --> 00:02:33.000]  有些關係默契是我們不知道的
[00:02:33.000 --> 00:02:36.000]  當日保羅寫信給提摩太
[00:02:36.000 --> 00:02:40.000]  去解決一些教會的問題
[00:02:40.000 --> 00:02:41.000]  當時的處境
[00:02:41.000 --> 00:02:43.000]  我們今天未必知道
[00:02:43.000 --> 00:02:46.000]  他們之間有些大家明白
[00:02:46.000 --> 00:02:47.000]  不用再說
[00:02:47.000 --> 00:02:49.000]  他又不會寫下
[00:02:49.000 --> 00:02:51.000]  很容易令人誤會
[00:02:51.000 --> 00:02:54.000]  看到一個訊息
[00:02:54.000 --> 00:02:57.000]  不要給阿爺吃飯
[00:02:57.000 --> 00:02:59.000]  你怎樣理解這句話
[00:02:59.000 --> 00:03:01.000]  不孝
[00:03:01.000 --> 00:03:05.000]  不要給阿爺吃飯
[00:03:05.000 --> 00:03:07.000]  餓死他
[00:03:07.000 --> 00:03:08.000]  你不知道原來背景是
[00:03:08.000 --> 00:03:11.000]  阿爺血糖高
[00:03:11.000 --> 00:03:13.000]  明白嗎
[00:03:13.000 --> 00:03:15.000]  所以收信者
[00:03:15.000 --> 00:03:16.000]  阿爺也好
[00:03:16.000 --> 00:03:18.000]  加上發信的那個
[00:03:18.000 --> 00:03:20.000]  其實大家都很明白
[00:03:20.000 --> 00:03:23.000]  大家很樂意去跟進
[00:03:23.000 --> 00:03:25.000]  所以這個背景
[00:03:25.000 --> 00:03:27.000]  不單是待會讀經文要留意
[00:03:27.000 --> 00:03:30.000]  所有書信我們讀的時候
[00:03:30.000 --> 00:03:32.000]  都要留意
[00:03:32.000 --> 00:03:34.000]  今天我們看的是
[00:03:34.000 --> 00:03:38.000]  提摩太前書的第二章
[00:03:38.000 --> 00:03:40.000]  第一節
[00:03:40.000 --> 00:03:42.000]  一開始開宗明義
[00:03:42.000 --> 00:03:44.000]  就講禱告
[00:03:44.000 --> 00:03:47.000]  保羅勸勉提摩太要為萬人
[00:03:47.000 --> 00:03:52.000]  就是君王一切有權位的懇求
[00:03:52.000 --> 00:03:54.000]  祈禱
[00:03:54.000 --> 00:03:57.000]  代求和感恩
[00:03:57.000 --> 00:03:59.000]  在你們的聖經裏面都看到
[00:03:59.000 --> 00:04:02.000]  一二節去黏在一起
[00:04:02.000 --> 00:04:05.000]  其實是方便大家讀順一點
[00:04:05.000 --> 00:04:08.000]  比較清楚或者句子的結構
