
[00:00:00.000 --> 00:00:02.240]  各位親愛的兄弟姐妹 你們好
[00:00:02.240 --> 00:00:05.900]  很高興和大家繼續可以分享神的話語
[00:00:05.900 --> 00:00:08.240]  「召命難達」
[00:00:08.240 --> 00:00:11.680]  當神給我們一個召命的時候
[00:00:11.680 --> 00:00:14.520]  我們要完成會實不容易
[00:00:14.520 --> 00:00:16.960]  當中的過程是艱辛的
[00:00:16.960 --> 00:00:21.080]  但是你會回頭看 當你肯做的時候
[00:00:21.080 --> 00:00:24.960]  你覺得自己可以做到這麼多的事
[00:00:24.960 --> 00:00:27.720]  有這麼大的突破 生命提升
[00:00:27.720 --> 00:00:29.720]  這是一個祝福
[00:00:29.720 --> 00:00:34.420]  在過去兩堂課裏面 我們看過舊約的兩個人物
[00:00:34.420 --> 00:00:36.420]  一個就是阿布拉罕
[00:00:36.420 --> 00:00:40.840]  我會覺得不是每個人都喜歡做阿布拉罕的
[00:00:40.840 --> 00:00:42.840]  很簡單舉一個例子
[00:00:42.840 --> 00:00:46.480]  如果在這個時候 師母跟我說
[00:00:46.480 --> 00:00:50.960]  我有了孩子 我想我會死
[00:00:50.960 --> 00:00:56.760]  我現在已經一把年紀 已經有自己的孩子了
[00:00:56.760 --> 00:00:59.800]  如果還要再做爸爸
[00:00:59.800 --> 00:01:02.840]  我想我真的不可以接受到這件事
[00:01:02.840 --> 00:01:07.980]  所以我經常說 不是一定要做阿布拉罕的
[00:01:07.980 --> 00:01:12.680]  但是阿布拉罕那份的信心 那個的豁達
[00:01:12.680 --> 00:01:15.840]  願意幫助羅登
[00:01:15.840 --> 00:01:19.360]  在沒有軍事力量底下
[00:01:19.360 --> 00:01:24.200]  都竟然帶著幾百個的家兵去救回羅登
[00:01:24.200 --> 00:01:27.200]  這一些就絕對不簡單
[00:01:27.200 --> 00:01:30.480]  但是我想我們也不會像阿布拉罕那樣
[00:01:30.480 --> 00:01:34.280]  帶著他不敢認自己的太太是太太
[00:01:34.280 --> 00:01:37.940]  甚至太太可能被人家來娶他
[00:01:37.940 --> 00:01:39.940]  但是都不敢出聲
[00:01:39.940 --> 00:01:41.440]  這種的威脅
[00:01:41.440 --> 00:01:46.520]  真是我們覺得不可能在我們身上發生 是不是?
[00:01:46.520 --> 00:01:49.360]  無論怎樣 但是阿布拉罕
[00:01:49.360 --> 00:01:55.140]  卻是願意將他最愛的兒子獻上給神
[00:01:55.140 --> 00:01:56.600]  這樣的時候
[00:01:56.600 --> 00:02:00.960]  我們有沒有願意將我們認為最愛的交給神
[00:02:00.960 --> 00:02:02.760]  然後以神為首呢?
[00:02:02.760 --> 00:02:05.160]  那我們一定會得到祝福的
[00:02:05.160 --> 00:02:08.880]  好了 我們第二次的時候看到摩西
[00:02:08.880 --> 00:02:12.680]  摩西是一個民族領袖 是不是?
[00:02:12.680 --> 00:02:17.480]  將以色列人帶去從圍爐之地帶領出來
[00:02:17.480 --> 00:02:21.300]  但是整個過程上不斷的受到指責
[00:02:21.300 --> 00:02:26.860]  受到被人輕視 甚至將他殺了
[00:02:26.860 --> 00:02:31.720]  但是摩西仍然為他帶去忠心於神的使命
[00:02:31.720 --> 00:02:36.460]  甚至為一幫叛逆的子民帶去代禱
[00:02:36.460 --> 00:02:40.220]  結果摩西能夠面對面的與神傾談
[00:02:40.220 --> 00:02:45.500]  面上有發光 所以你看到艱辛的
[00:02:45.500 --> 00:02:48.920]  但是他對自己有祝福
[00:02:48.920 --> 00:02:54.140]  好了 這次就開始看新約的兩個人物
[00:02:54.140 --> 00:02:56.940]  今天我們會看彼得
[00:02:56.940 --> 00:03:01.360]  明天最後一堂我們會看保羅
[00:03:01.360 --> 00:03:04.460]  四個人物 我想彼得和保羅
[00:03:04.460 --> 00:03:07.500]  我覺得我自己是較為相似的
[00:03:07.500 --> 00:03:09.260]  特別是對彼得
[00:03:09.260 --> 00:03:12.240]  因為我想彼得那種性格
[00:03:12.240 --> 00:03:18.320]  是和我好像相同 所以特別深感受
[00:03:18.320 --> 00:03:21.580]  我想很多人你都可能會記得
[00:03:21.580 --> 00:03:24.880]  你讀書的時候 可能是中學的年代
