
[00:00:00.000 --> 00:00:01.740]  所以當我自己去想這篇講章的時候
[00:00:01.740 --> 00:00:03.600]  我就想起
[00:00:03.600 --> 00:00:04.700]  在舊約那邊
[00:00:04.700 --> 00:00:07.140]  當神做人的時候
[00:00:07.140 --> 00:00:08.980]  當神做人的時候
[00:00:08.980 --> 00:00:10.240]  祂用泥土做人
[00:00:10.240 --> 00:00:13.180]  然後神在一個人的身體上面
[00:00:13.180 --> 00:00:14.580]  吹了一口氣
[00:00:14.580 --> 00:00:15.820]  於是聖經就說
[00:00:15.820 --> 00:00:19.220]  成了有靈的活人
[00:00:19.220 --> 00:00:21.420]  但今天我們信耶穌的人
[00:00:21.420 --> 00:00:24.560]  是一班有靈的活人
[00:00:24.560 --> 00:00:26.860]  我們今天就算還沒有信耶穌的人
[00:00:26.860 --> 00:00:29.400]  其實在神吹了一口氣的時候
[00:00:29.400 --> 00:00:32.940]  我們已經是一班有靈的活人
[00:00:32.940 --> 00:00:33.700]  換言之
[00:00:33.700 --> 00:00:34.700]  有靈的活人
[00:00:34.700 --> 00:00:37.840]  這個靈是代表了我們人的全人來說
[00:00:37.840 --> 00:00:41.340]  是包括有靈、有魂、有體
[00:00:41.340 --> 00:00:43.580]  這個靈是我們跟神的一個
[00:00:43.580 --> 00:00:46.280]  很重要的關係上面的那一部份
[00:00:46.280 --> 00:00:50.520]  這個是神將人吹了一口氣
[00:00:50.520 --> 00:00:52.620]  所以人和動物的不同
[00:00:52.620 --> 00:00:56.220]  就是人多了神的那個吹氣
[00:00:56.220 --> 00:00:56.760]  所以換言之
[00:00:56.760 --> 00:00:59.920]  今天我們可以跟神去建立一個關係
[00:00:59.920 --> 00:01:00.600]  換言之
[00:01:00.600 --> 00:01:04.600]  其實在我自己最近做了一些研究那邊
[00:01:04.600 --> 00:01:06.540]  其實在蘇聯
[00:01:06.540 --> 00:01:11.600]  當蘇聯有太空船降落在月球的時候
[00:01:11.600 --> 00:01:15.480]  當時世界有一個很清晰的訊息
[00:01:15.480 --> 00:01:16.640]  當時很多的科學家
[00:01:16.640 --> 00:01:18.080]  很多的人就說
[00:01:18.080 --> 00:01:20.120]  他說去到二十世紀末
[00:01:20.120 --> 00:01:22.580]  這個是研究人這樣說的
[00:01:22.580 --> 00:01:25.580]  他說去到二十世紀末就不再有宗教
[00:01:25.580 --> 00:01:27.580]  但如果環顧這個世界
[00:01:27.580 --> 00:01:31.060]  去到二零一零年
[00:01:31.060 --> 00:01:33.660]  去到二十一世紀差不多的時候
[00:01:33.660 --> 00:01:38.060]  全世界有六十九億人
[00:01:38.060 --> 00:01:40.540]  六十九億 二零一零年
[00:01:40.540 --> 00:01:45.340]  但當中有八十六點四二的百分比
[00:01:45.340 --> 00:01:47.240]  八十六點四二的百分比
[00:01:47.240 --> 00:01:49.380]  是有宗教信仰的
[00:01:49.380 --> 00:01:54.020]  所以科學家就算去科技怎樣發達
[00:01:54.020 --> 00:01:58.820]  但原來人的心仍然對宗教那種的觀點
[00:01:58.820 --> 00:02:01.120]  是有一種的認受
[00:02:01.120 --> 00:02:02.920]  當然八十六點幾的百分比
[00:02:02.920 --> 00:02:04.260]  不是全部基督徒
[00:02:04.260 --> 00:02:05.960]  在八十六點四二的百分比
[00:02:05.960 --> 00:02:10.100]  對宗教有認識的人當中
[00:02:10.100 --> 00:02:12.940]  佔了三十三點二的百分比
[00:02:12.940 --> 00:02:14.740]  是有基督信仰
[00:02:14.740 --> 00:02:15.700]  所以各位兄弟姐妹
[00:02:15.700 --> 00:02:17.240]  原來今天基督信仰的人
[00:02:17.240 --> 00:02:19.900]  仍然是佔全世界最多
[00:02:19.900 --> 00:02:22.500]  當然這個包括天主教的
[00:02:22.500 --> 00:02:23.740]  各位兄弟姐妹我要公平
