
[00:00:00.000 --> 00:00:03.660]  我今天被吩咐要講一個課題
[00:00:03.660 --> 00:00:05.840]  關於公義這個課題
[00:00:05.840 --> 00:00:10.940]  當然我們會選擇尼加書六章三道八節的經文
[00:00:10.940 --> 00:00:14.000]  和大家一起思想上帝的話語
[00:00:14.000 --> 00:00:16.000]  我們一起有個祈禱開始
[00:00:16.000 --> 00:00:19.140]  慈悲人愛的天父 多謝祢
[00:00:19.140 --> 00:00:22.380]  讓我們一起去到脈上經文
[00:00:22.380 --> 00:00:26.140]  我們真是實在活在一個瘋癲的世代
[00:00:26.140 --> 00:00:29.660]  祈求主祢的話語再次成為我們的激勵
[00:00:29.660 --> 00:00:30.960]  和幫助
[00:00:30.960 --> 00:00:32.720]  讓我們前行有方向
[00:00:32.720 --> 00:00:35.920]  讓我們黑暗當中有明燈照耀
[00:00:35.920 --> 00:00:38.660]  讓我們疲乏的心靈得著甦醒
[00:00:38.660 --> 00:00:40.860]  讓我們前行有動力
[00:00:40.860 --> 00:00:42.460]  求主幫助孩子
[00:00:42.460 --> 00:00:44.500]  講解祢的話語清楚
[00:00:44.500 --> 00:00:46.040]  我們同心謙卑
[00:00:46.040 --> 00:00:47.240]  去到領受
[00:00:47.240 --> 00:00:50.000]  祈禱是奉耶穌基督命求
[00:00:50.000 --> 00:00:51.580]  阿們
[00:00:51.580 --> 00:00:53.580]  我今天拿了一個powerpoint來
[00:00:53.580 --> 00:00:58.620]  就是尼加書六章三道八節的經文
[00:00:58.620 --> 00:01:01.780]  其實是當今世代裏非常難解的經文
[00:01:01.780 --> 00:01:06.480]  恆公義 好憐憫 全謙卑的心 與神同行
[00:01:06.480 --> 00:01:09.360]  又何止是一個政治的口號
[00:01:09.360 --> 00:01:14.720]  而這個口號似乎比較多拿來進行評論和一些作為
[00:01:14.720 --> 00:01:17.960]  指出誰不恆公義 誰不好憐憫
[00:01:17.960 --> 00:01:21.260]  似乎當香港人引用這段經文的時候
[00:01:21.260 --> 00:01:24.240]  就有一種我們叫做政治性的取向
[00:01:24.240 --> 00:01:27.840]  無論什麼政治的光譜 深藍或者深黃
[00:01:27.840 --> 00:01:29.940]  都會引用這段經文
[00:01:29.940 --> 00:01:34.020]  所以我們發現原來一段經文放在不同人的手中
[00:01:34.020 --> 00:01:36.320]  可以有很多不同的演繹
[00:01:36.320 --> 00:01:40.580]  對任何事物其實有難免的政治的詮釋
[00:01:40.580 --> 00:01:44.060]  不過其實在一個這樣的政治環境氣候裏面
[00:01:44.060 --> 00:01:46.020]  很多東西都會被政治化
[00:01:46.020 --> 00:01:47.320]  我們都會知道
[00:01:47.320 --> 00:01:52.640]  要合乎某個politically incorrect的context
[00:01:52.640 --> 00:01:54.500]  在一個這樣的主導下
[00:01:54.500 --> 00:01:57.380]  我們對這個經文很想
[00:01:57.380 --> 00:01:59.940]  我們真是還原裏面的意思
[00:01:59.940 --> 00:02:04.240]  讓我們能夠看看以色列民當初講這段經文的時候
[00:02:04.240 --> 00:02:05.980]  又或者聆聽尼加書
[00:02:05.980 --> 00:02:10.560]  尼加先知講這段經文的時候究竟是什麼意思
[00:02:10.560 --> 00:02:12.360]  我認為在教會當中
[00:02:12.360 --> 00:02:16.160]  我們都應該會恭聽上帝的話語
[00:02:16.160 --> 00:02:19.800]  今天他講到我們需要存著開放的心去聆聽
[00:02:19.800 --> 00:02:23.360]  不是因為這段經文講一些政治正確的話
[00:02:23.360 --> 00:02:25.900]  有可能是政治不正確都未定
[00:02:25.900 --> 00:02:29.400]  因為神正是向我們的生命說話
[00:02:29.400 --> 00:02:33.880]  不是因為我們聆聽完就可以利用這段經文批評其他人
[00:02:33.880 --> 00:02:35.580]  當批評其他人的時候
[00:02:35.580 --> 00:02:37.880]  首先批判我們的生命
[00:02:37.880 --> 00:02:40.580]  讓我們的生命得到上帝的話語的滋潤
[00:02:40.580 --> 00:02:43.920]  更新 塑造和改變
[00:02:43.920 --> 00:02:46.320]  所以我今天很想透過三點
