
[00:00:00.000 --> 00:00:03.720]  今天我們會繼續來看《市道行傳》的系列
[00:00:03.720 --> 00:00:07.100]  我們會看到第二章的下半部
[00:00:07.100 --> 00:00:09.160]  因為上一次蔡牧師
[00:00:09.160 --> 00:00:11.520]  大家有印象應該都會說了
[00:00:11.520 --> 00:00:14.320]  《市道行傳》第二章的上半部
[00:00:14.320 --> 00:00:19.680]  但今天我想請一位特別的講員來跟大家講道
[00:00:19.680 --> 00:00:21.660]  這位特別講員我想介紹一下
[00:00:21.660 --> 00:00:24.160]  他就是西門彼得
[00:00:24.160 --> 00:00:25.920]  其實這位講員
[00:00:25.920 --> 00:00:29.560]  他要跟大家今天講一道詩篇十六篇
[00:00:29.560 --> 00:00:34.000]  是我們剛才體驗經文已經讀過的一段經文
[00:00:34.000 --> 00:00:37.040]  他的題目和我今天的題目都很相似
[00:00:37.040 --> 00:00:40.240]  就是耶穌基督是主
[00:00:40.240 --> 00:00:45.880]  這是彼得很想和我們一起講的一個訊息
[00:00:45.880 --> 00:00:48.840]  但我想要請彼得出場之前
[00:00:48.840 --> 00:00:51.080]  我要和大家做一些準備
[00:00:51.080 --> 00:00:52.560]  我很多時候鼓勵弟兄姊妹
[00:00:52.560 --> 00:00:55.920]  你知道教會無論是成長班的查經學習
[00:00:55.920 --> 00:00:58.920]  或者是我們回來崇拜來到聽道的時候
[00:00:58.920 --> 00:01:01.640]  你也可以回家準備一下
[00:01:01.640 --> 00:01:03.200]  以前講啟示錄也好
[00:01:03.200 --> 00:01:05.800]  或者是我們今年講《市道行傳》
[00:01:05.800 --> 00:01:07.720]  我也提過弟兄姊妹
[00:01:07.720 --> 00:01:10.280]  你可以先回去看看這些書卷
[00:01:10.280 --> 00:01:13.320]  然後你回來聽道的時候
[00:01:13.320 --> 00:01:15.400]  你學習的時候一定更加好
[00:01:15.400 --> 00:01:18.280]  這就好像兩成長班備課都是一樣
[00:01:18.280 --> 00:01:21.480]  所以今天如果彼得要出來講道之前
[00:01:21.480 --> 00:01:23.880]  我想我也和大家一起做一些準備
[00:01:23.880 --> 00:01:25.440]  聽道前的準備
[00:01:25.440 --> 00:01:28.320]  我們先看看詩篇的十六篇
