
[00:00:00.000 --> 00:00:02.280]  神是一個賜指望的神
[00:00:02.280 --> 00:00:04.880]  收贈不單止是活在過去的裏面
[00:00:04.880 --> 00:00:06.880]  很正 五十五年
[00:00:06.880 --> 00:00:08.600]  今年是五十五年的週年
[00:00:08.600 --> 00:00:10.600]  你知道五代表著甚麼嗎
[00:00:10.600 --> 00:00:12.600]  是代表著神的恩典
[00:00:12.600 --> 00:00:14.100]  五十五年的裏面
[00:00:14.100 --> 00:00:16.100]  但我們不單止是過去
[00:00:16.100 --> 00:00:18.100]  有現在也有將來
[00:00:18.100 --> 00:00:21.100]  神是賜給我們一個有指望的神
[00:00:21.100 --> 00:00:24.100]  我聽到在這幾年的裏面
[00:00:24.100 --> 00:00:25.100]  特別是疫情
[00:00:25.100 --> 00:00:27.600]  一些的動盪
[00:00:27.600 --> 00:00:29.600]  其他的事情的裏面
[00:00:29.600 --> 00:00:32.600]  甚至我們在英國看過不同的文章
[00:00:32.600 --> 00:00:34.600]  形容香港不同的情況
[00:00:34.600 --> 00:00:38.600]  但我們仍然抱著對神一個很高的敬畏
[00:00:38.600 --> 00:00:42.600]  我們仍然抱著對神一個很高的盼望
[00:00:42.600 --> 00:00:45.600]  因為神是一個永遠不變的神
[00:00:45.600 --> 00:00:47.600]  今天星期日主日裏面
[00:00:47.600 --> 00:00:48.600]  領事有個訊息
[00:00:48.600 --> 00:00:50.600]  既然說我們這是一個家的時候
[00:00:50.600 --> 00:00:53.600]  我們就藉著這段經文去探索
[00:00:53.600 --> 00:00:55.600]  神想建立一個甚麼的家呢
[00:00:55.600 --> 00:00:59.600]  或者在你心目中教會是一個甚麼形象呢
[00:00:59.600 --> 00:01:00.600]  我們剛才讀這段經文
[00:01:00.600 --> 00:01:04.600]  我相信每一位都會很熟悉
[00:01:04.600 --> 00:01:06.600]  每一位都很熟悉
[00:01:06.600 --> 00:01:10.600]  甚至當中很多屬靈的長者
[00:01:10.600 --> 00:01:14.600]  這段經文從很多年前我們開始去讀
[00:01:14.600 --> 00:01:17.600]  今天我從一個角度去分享
[00:01:17.600 --> 00:01:20.600]  就是教會其實是永生神的家
[00:01:20.600 --> 00:01:21.600]  正如聖經所說
[00:01:21.600 --> 00:01:22.600]  是永生神的家
[00:01:22.600 --> 00:01:24.600]  而這個家其實有些氣氛
[00:01:24.600 --> 00:01:28.600]  我不知道你踏入不同的場地裏面
[00:01:28.600 --> 00:01:29.600]  會場裏面
[00:01:29.600 --> 00:01:31.600]  或者一個群體裏面
[00:01:31.600 --> 00:01:33.600]  其實你一踏進去的時候
[00:01:33.600 --> 00:01:37.600]  你應該會感覺到那個群體的氣氛是怎樣
[00:01:37.600 --> 00:01:42.600]  有一些一踏進去你會覺得很安靜
[00:01:42.600 --> 00:01:44.600]  你不可以說話
[00:01:44.600 --> 00:01:45.600]  有一些一踏進去的時候
[00:01:45.600 --> 00:01:46.600]  嘩 你就...
[00:01:46.600 --> 00:01:51.600]  我記得在兩個禮拜前
[00:01:51.600 --> 00:01:53.600]  我參加一個聚會
[00:01:53.600 --> 00:01:55.600]  那天其實很累
[00:01:55.600 --> 00:01:56.600]  那天是主日
[00:01:56.600 --> 00:01:57.600]  其實再之前一晚
[00:01:57.600 --> 00:01:59.600]  有些準備是比較晚一點
[00:01:59.600 --> 00:02:00.600]  很累
[00:02:00.600 --> 00:02:02.600]  上午正道完了
[00:02:02.600 --> 00:02:04.600]  下午還跟一班年輕人
[00:02:04.600 --> 00:02:06.600]  去一個英國的特會
[00:02:06.600 --> 00:02:08.600]  不過那個很棒
[00:02:08.600 --> 00:02:10.600]  一踏進去那個場會裏面
[00:02:10.600 --> 00:02:12.600]  在倫敦的倫敦
[00:02:12.600 --> 00:02:15.600]  就是溫布頓一個會場裏面
[00:02:15.600 --> 00:02:17.600]  我們整天...
[00:02:17.600 --> 00:02:18.600]  那一刻那個聚會
[00:02:18.600 --> 00:02:19.600]  另外一個反省
[00:02:19.600 --> 00:02:22.600]  那個聚會就是說
[00:02:22.600 --> 00:02:26.600]  嘩 我們整天以為英國很多人都很冷淡
[00:02:26.600 --> 00:02:28.600]  年輕人的工作很少
[00:02:28.600 --> 00:02:32.600]  嘩 進去是幾萬人的年輕人
[00:02:32.600 --> 00:02:34.600]  一進去一踏進去
[00:02:34.600 --> 00:02:36.600]  嘩 你真的很自由
[00:02:36.600 --> 00:02:38.600]  個個舉手
[00:02:38.600 --> 00:02:39.600]  個個跳
[00:02:39.600 --> 00:02:42.600]  個個在那裡讚美耶穌
