
[00:00:00.000 --> 00:00:04.680]  各位節目早晨,今天是十月三十一日
[00:00:04.680 --> 00:00:08.600]  我想問問大家,十月三十一日是什麼日子呢?
[00:00:08.600 --> 00:00:10.640]  答案是「不行」
[00:00:10.640 --> 00:00:11.920]  為什麼是「零頭」呢?
[00:00:11.920 --> 00:00:13.320]  我先出第一個powerpoint
[00:00:13.320 --> 00:00:16.560]  十月三十一日是什麼大日子呢?
[00:00:16.560 --> 00:00:21.360]  但作為基督徒,我們對這一天有什麼特別要紀念的呢?
[00:00:21.360 --> 00:00:23.160]  下一章就開估了,看著
[00:00:23.160 --> 00:00:24.040]  看到嗎?
[00:00:24.040 --> 00:00:27.520]  1517年的十月三十一日
[00:00:27.520 --> 00:00:31.600]  十月三十一日是我打的
[00:00:31.600 --> 00:00:34.400]  1517年,我當然是退了cursor了
[00:00:34.400 --> 00:00:37.440]  證明這張東西是我做的
[00:00:37.440 --> 00:00:41.280]  所以,Halloween
[00:00:41.280 --> 00:00:46.800]  就是商業
[00:00:46.800 --> 00:00:49.200]  再說一遍,很厲害
[00:00:49.200 --> 00:00:54.360]  科技呀科技呀,很厲害
[00:00:54.360 --> 00:00:59.400]  1517年,即是504年之前
[00:00:59.400 --> 00:01:03.080]  馬丁路德在他的聖堂門口
[00:01:03.080 --> 00:01:06.080]  就打了95條
[00:01:06.080 --> 00:01:09.560]  他對於當時的大公教會
[00:01:09.560 --> 00:01:12.120]  對神的話語
[00:01:12.120 --> 00:01:16.680]  對「救恩」的很多搗亂了的教導
[00:01:16.680 --> 00:01:21.760]  特別當時很多人對「救恩」都有錯誤的理解
[00:01:21.760 --> 00:01:25.680]  你知道為什麼我們信仰去到什麼底線
[00:01:25.680 --> 00:01:28.160]  我們是不能夠相容
[00:01:28.160 --> 00:01:32.640]  以致基督教、天主教會分裂呢?
[00:01:32.640 --> 00:01:36.480]  或者一個群體去到最底的底線
[00:01:36.480 --> 00:01:39.600]  是沒得商量的呢?
[00:01:39.600 --> 00:01:40.960]  當然你知道
[00:01:40.960 --> 00:01:45.200]  第一,他是不是信三一神呢?
[00:01:45.200 --> 00:01:48.840]  他是不是信基督是神的兒子呢?
[00:01:48.840 --> 00:01:55.200]  但在馬丁路德的時代,為什麼會掀起他想改教呢?
[00:01:55.200 --> 00:01:58.920]  就是因為整個信仰的「救恩論」
[00:01:58.920 --> 00:02:03.120]  即是一個人怎樣得救都搞錯了
[00:02:03.120 --> 00:02:04.920]  你知道我們整個教會的信仰
[00:02:04.920 --> 00:02:08.440]  就是建基在我們認識的三一神
[00:02:08.440 --> 00:02:10.960]  他是創造救贖主
[00:02:10.960 --> 00:02:13.600]  我們認識的基督,他是我們的救主
[00:02:13.600 --> 00:02:16.480]  和他們為我們預備的救恩
[00:02:16.480 --> 00:02:19.400]  所以這個「救恩論」、「基督論」和「三一論」
[00:02:19.400 --> 00:02:23.520]  一旦錯了,就不行了
[00:02:23.520 --> 00:02:25.680]  所以10月31日的頂智梅
[00:02:25.680 --> 00:02:28.000]  要記住,除了Halloween
[00:02:28.000 --> 00:02:32.760]  還有就是馬丁路德
[00:02:32.760 --> 00:02:36.720]  他帶來了,講到有五個唯獨
[00:02:36.720 --> 00:02:38.000]  不只是馬丁路德
[00:02:38.000 --> 00:02:42.440]  包括當時很多認真讀聖經的人
[00:02:42.440 --> 00:02:45.640]  他重述了有五個真理
[00:02:45.640 --> 00:02:48.280]  有五個唯獨
[00:02:48.280 --> 00:02:51.440]  第一個唯獨是「恩典」
[00:02:51.440 --> 00:02:53.120]  第二個唯獨是「信心」
[00:02:53.120 --> 00:02:55.480]  第三個唯獨是「聖經」
[00:02:55.480 --> 00:02:57.520]  在這三個唯獨下
[00:02:57.520 --> 00:03:02.280]  第一,我們得救是神的恩典、神的禮物
[00:03:02.280 --> 00:03:05.520]  耶穌基督降世為人
[00:03:05.520 --> 00:03:08.640]  是神給我們最大最大的禮物
[00:03:08.640 --> 00:03:11.080]  沒有任何東西可以與基督
[00:03:11.080 --> 00:03:15.720]  給我們那份恩典、那份救恩相比
[00:03:15.720 --> 00:03:17.880]  是祂犧牲祂自己
[00:03:17.880 --> 00:03:19.080]  所以記住
[00:03:19.080 --> 00:03:21.080]  全世界最多基督徒會背誦的聖經
[00:03:21.080 --> 00:03:22.160]  樣方三章十六節
