
[00:00:00.000 --> 00:00:05.000]  說起父親節,今天跟大家分享經文
[00:00:05.000 --> 00:00:10.000]  但未說經文之前,不知道大家有問題可以反思一下
[00:00:10.000 --> 00:00:14.000]  Pastor Kenny,作為父親,我們大家都知道
[00:00:14.000 --> 00:00:19.000]  剛才有很多甜酸苦辣,亦經歷很多喜樂,但亦有很多挑戰
[00:00:19.000 --> 00:00:24.000]  作為父親的你,你有這些喜樂挑戰,你跟誰分享?
[00:00:24.000 --> 00:00:27.000]  有誰可以跟你同行?
[00:00:27.000 --> 00:00:31.000]  我想有時都難的,難道你跟兒子說
[00:00:31.000 --> 00:00:34.000]  「我好辛苦,他不明白的」,對吧?
[00:00:34.000 --> 00:00:37.000]  你跟太太說,她又覺得…
[00:00:37.000 --> 00:00:39.000]  明白的,太太明白的
[00:00:39.000 --> 00:00:42.000]  所以有時都很難分享,作為弟兄分享
[00:00:42.000 --> 00:00:43.000]  我先看看這裡
[00:00:43.000 --> 00:00:44.000]  不在這裡
[00:00:44.000 --> 00:00:47.000]  阿尊主也不在這裡
[00:00:47.000 --> 00:00:49.000]  太太明白的
[00:00:49.000 --> 00:00:53.000]  但可能有些事情,正如太太覺得其他太太更加明白
[00:00:53.000 --> 00:00:57.000]  有時父親覺得跟其他父親可能更加明白
[00:00:57.000 --> 00:01:03.000]  但我亦觀察到今天的父親,較少在這方面分享
[00:01:03.000 --> 00:01:04.000]  較少的同行
[00:01:04.000 --> 00:01:06.000]  我不知道你有沒有這樣的觀察
[00:01:06.000 --> 00:01:10.000]  都是的,我覺得男人是一種很特別的動物
[00:01:10.000 --> 00:01:14.000]  是一個很孤僻,或者不容易說話的動物
[00:01:14.000 --> 00:01:16.000]  你不孤僻,你都不是動物
[00:01:16.000 --> 00:01:18.000]  不是的,其實我都很孤僻
[00:01:20.000 --> 00:01:24.000]  說到這個男人之父,或者父親之父
[00:01:24.000 --> 00:01:30.000]  我就想起,上年有一晚令我深深感動
[00:01:30.000 --> 00:01:34.000]  我做了父親很多年,做了男人…男士都做了很多年
[00:01:34.000 --> 00:01:36.000]  上年有一晚,不知道還記不記得
[00:01:36.000 --> 00:01:39.000]  有一晚有班男士組,都有十個八個,是嗎?
[00:01:39.000 --> 00:01:40.000]  去到哪裡?
[00:01:40.000 --> 00:01:41.000]  在我家
[00:01:41.000 --> 00:01:42.000]  在你家
[00:01:42.000 --> 00:01:44.000]  我們已經聚會了幾次
[00:01:44.000 --> 00:01:47.000]  剛剛那次就是準備接近父親節
[00:01:47.000 --> 00:01:49.000]  我們就有個開組的時候
[00:01:49.000 --> 00:01:50.000]  上年父親節
[00:01:50.000 --> 00:01:51.000]  是
[00:01:51.000 --> 00:01:54.000]  大家都不以為意,都很期待
[00:01:54.000 --> 00:01:59.000]  每次去Pastor Kenny家裡開男士的聚會都很期待
[00:01:59.000 --> 00:02:01.000]  因為有很多東西吃
[00:02:01.000 --> 00:02:06.000]  那天,但不知為何,你開了一個討論的題目
[00:02:06.000 --> 00:02:10.000]  那次我們一班父親每次都有不同的題目
[00:02:10.000 --> 00:02:12.000]  但那次的題目就是
[00:02:12.000 --> 00:02:16.000]  究竟你的父親怎樣影響你的成長呢?
[00:02:16.000 --> 00:02:21.000]  這樣…你也知道,通常男士要暖身
[00:02:21.000 --> 00:02:22.000]  要靜下來
[00:02:22.000 --> 00:02:25.000]  但他說話…嘩,有很多東西要說
[00:02:25.000 --> 00:02:27.000]  所以那天一開始的時候也要靜下來
[00:02:27.000 --> 00:02:28.000]  是很嚴肅的題目
[00:02:28.000 --> 00:02:30.000]  但其實是非常好的題目
[00:02:30.000 --> 00:02:32.000]  所以誰先開始說呢?
[00:02:32.000 --> 00:02:33.000]  當然是我
[00:02:33.000 --> 00:02:34.000]  那當然是他,對不對?
[00:02:34.000 --> 00:02:37.000]  通常是他先走路,我先走路
[00:02:37.000 --> 00:02:40.000]  其實對於我作為…
[00:02:40.000 --> 00:02:43.000]  作為帶領的,當然作為木者組長也要先說
[00:02:43.000 --> 00:02:45.000]  說一下我的父親的影響
[00:02:45.000 --> 00:02:49.000]  其實我的成長…我的父親是有好有壞的
[00:02:49.000 --> 00:02:51.000]  不過對於我來說是好的
[00:02:51.000 --> 00:02:55.000]  因為你看到我的招牌就是笑的
[00:02:55.000 --> 00:02:58.000]  其實我爺爺和我爸爸經常對著我笑
[00:02:58.000 --> 00:03:00.000]  我爺爺和我爸爸是做商人的時候
[00:03:00.000 --> 00:03:04.000]  不是商人那種,是做行商那種
[00:03:04.000 --> 00:03:08.000]  經常教導我怎樣去和人相處、禮貌
[00:03:08.000 --> 00:03:10.000]  尤其是我爸爸很喜歡鼓勵我
[00:03:10.000 --> 00:03:13.000]  你當然要和我爺爺喝茶、喝早茶
[00:03:13.000 --> 00:03:16.000]  所以久而久之我和我爺爺和我爸爸
[00:03:16.000 --> 00:03:18.000]  建立一些很親密的關係
[00:03:18.000 --> 00:03:20.000]  聽到這裡是不是很窩心?
[00:03:20.000 --> 00:03:22.000]  但記住我是第一個說
[00:03:22.000 --> 00:03:24.000]  之後由第二個到最後那個
[00:03:24.000 --> 00:03:26.000]  包括我自己
[00:03:26.000 --> 00:03:29.000]  除了他以外,每一個都沒有那麼窩心
