
[00:00:00.000 --> 00:00:05.040]  兩個多月前,當我預備這一篇訊息的時候
[00:00:05.040 --> 00:00:14.480]  一直在思考和與一些執事同工討論有關膠棒的問題
[00:00:14.480 --> 00:00:16.840]  所以當我預備這一篇訊息
[00:00:16.840 --> 00:00:22.400]  其實對我有很深的感觸和感受
[00:00:22.400 --> 00:00:24.480]  為什麼呢?
[00:00:24.480 --> 00:00:30.240]  因為過去一年,由去年暑假開始講創世紀
[00:00:30.240 --> 00:00:32.000]  講到今天這一堂
[00:00:32.000 --> 00:00:34.480]  因為星期六我就比較少來
[00:00:34.480 --> 00:00:37.960]  所以可能你們聽,不是聽到很多
[00:00:37.960 --> 00:00:43.800]  是去到最後一講有關創世紀的訊息
[00:00:43.800 --> 00:00:47.680]  我很感恩,透過創世紀的訊息
[00:00:47.680 --> 00:00:51.840]  對我都有很多的提醒
[00:00:51.840 --> 00:00:58.320]  我們特別來看看希伯來書十一章二十到二十二節
[00:00:58.320 --> 00:01:01.840]  我們看看很特別的地方
[00:01:01.840 --> 00:01:03.920]  就是對著四個先祖
[00:01:03.920 --> 00:01:09.760]  除了阿伯拉罕都會提及到他們生平所做的一切之外
[00:01:09.760 --> 00:01:13.760]  對著第二、第三、第四個先祖
[00:01:13.760 --> 00:01:17.640]  我們發覺希伯來書的作者提出來的
[00:01:17.640 --> 00:01:21.040]  不是提他們在世的豐功偉業
[00:01:21.040 --> 00:01:24.120]  不是他們在世上做了什麼
[00:01:24.120 --> 00:01:28.040]  是特別提及到一樣東西
[00:01:28.040 --> 00:01:29.520]  我們一起讀
[00:01:51.080 --> 00:01:57.960]  「並為自己的骸骨留下遺命,不約而同」
[00:01:57.960 --> 00:02:00.720]  希伯來書的作者在十一章二十到二十二節
[00:02:00.720 --> 00:02:04.600]  提及到三個先祖的時候
[00:02:04.600 --> 00:02:10.200]  全部是提及到他們晚年的時候
[00:02:10.200 --> 00:02:13.600]  知道可能被主接去的時間快到了
[00:02:13.600 --> 00:02:18.640]  然後就作出逐一為他們的兒子祝福
[00:02:18.640 --> 00:02:22.520]  第二,也是為了他們的信
[00:02:22.520 --> 00:02:29.160]  因著這個信立下一個遺囑或遺命
[00:02:29.160 --> 00:02:31.880]  在過去當看到這件事的時候
[00:02:31.880 --> 00:02:36.400]  都勾起我很多不同的回憶
[00:02:36.400 --> 00:02:42.040]  而這個回憶本身有好有不好
[00:02:42.040 --> 00:02:48.680]  第一個回憶就是我太太、姑媽和爸爸
