
[00:00:00.000 --> 00:00:02.560]  我們同心再一次仰望主
[00:00:02.560 --> 00:00:04.560]  主又求祢對我們說話
[00:00:04.560 --> 00:00:08.000]  藉著聖經裏面那麼寶貴的訊息
[00:00:08.000 --> 00:00:10.000]  祢在沙漠開江河
[00:00:10.000 --> 00:00:12.000]  在曠野開道路
[00:00:12.000 --> 00:00:15.000]  同樣今日我們先開我們的心
[00:00:15.000 --> 00:00:18.000]  真是讓主祢的話語進入我們裏面
[00:00:18.000 --> 00:00:22.000]  讓我們真是聆聽聖靈對我們每個人的說話
[00:00:22.000 --> 00:00:24.000]  禱告奉基督耶穌的聖名
[00:00:24.000 --> 00:00:26.000]  阿們
[00:00:26.000 --> 00:00:29.000]  大地為何會陷入荒涼呢?
[00:00:29.000 --> 00:00:31.000]  為何會有沙漠呢?
[00:00:31.000 --> 00:00:33.000]  為何會有曠野呢?
[00:00:33.000 --> 00:00:35.000]  本來地都是有植物的
[00:00:35.000 --> 00:00:37.000]  但我們見到
[00:00:37.000 --> 00:00:40.000]  自然界有一種自然的現象
[00:00:40.000 --> 00:00:42.000]  水土會流失
[00:00:42.000 --> 00:00:44.000]  會沒有植物的遮蓋
[00:00:44.000 --> 00:00:46.000]  慢慢地會變得乾旱
[00:00:46.000 --> 00:00:48.000]  這種是自然的過程
[00:00:48.000 --> 00:00:52.000]  但是在以賽亞書所形容的沙漠和曠野
[00:00:52.000 --> 00:00:55.000]  卻不是一個自然的景象
[00:00:55.000 --> 00:00:58.000]  因為當我們看三十四章的時間
[00:00:58.000 --> 00:01:00.000]  這段是三十五章
[00:01:00.000 --> 00:01:01.000]  我們看前一章的時間
[00:01:01.000 --> 00:01:05.000]  我們見到原來是神的審判臨到大地
[00:01:05.000 --> 00:01:10.000]  臨到以東和一切神就坐的民當中
[00:01:10.000 --> 00:01:12.000]  當我們細心看的時間
[00:01:12.000 --> 00:01:16.000]  裏面所形容的好像末世一樣
[00:01:16.000 --> 00:01:18.000]  好像啟示錄所形容的一樣
[00:01:18.000 --> 00:01:19.000]  我讀一段給大家聽
[00:01:19.000 --> 00:01:23.000]  在三十四章的第六節
[00:01:23.000 --> 00:01:25.000]  我讀給大家聽
[00:01:25.000 --> 00:01:30.000]  天上萬象都要紐懷 天被捲起有如書卷
[00:01:30.000 --> 00:01:38.000]  其上萬象都需殘 如葡萄樹的葉子凋落
[00:01:38.000 --> 00:01:41.000]  有如無花果樹枯萎一般
[00:01:41.000 --> 00:01:45.000]  我們再看一看啟示錄六章十三至十四節
[00:01:45.000 --> 00:01:47.000]  很相似的形容
[00:01:47.000 --> 00:01:50.000]  天上的星辰墜落在地上
