
[00:00:00.000 --> 00:00:01.680]  各位頂智慧平安
[00:00:01.680 --> 00:00:02.920]  感謝神
[00:00:02.920 --> 00:00:06.000]  雖然我們不能與頂智慧一同回到教會
[00:00:06.000 --> 00:00:07.240]  一同敬拜
[00:00:07.240 --> 00:00:09.920]  但神讓我們仍有機會在家中
[00:00:09.920 --> 00:00:11.920]  在善上來敬拜
[00:00:11.920 --> 00:00:13.920]  我們再次同心祈禱
[00:00:13.920 --> 00:00:15.920]  仰望上帝引導我們
[00:00:15.920 --> 00:00:21.880]  我們的主,我們的神
[00:00:21.880 --> 00:00:25.720]  你是各位配得一切稱讚
[00:00:25.720 --> 00:00:28.480]  尊榮,讚美的上帝
[00:00:29.200 --> 00:00:31.200]  主,祢曾創造生命
[00:00:31.200 --> 00:00:33.200]  亦都拯救生命
[00:00:33.200 --> 00:00:36.680]  今次我們能夠被稱為神的兒女
[00:00:36.680 --> 00:00:38.680]  是何等大的福氣
[00:00:38.680 --> 00:00:41.200]  主,我們敬拜祢
[00:00:41.200 --> 00:00:43.680]  因為祢的慈愛上達諸天
[00:00:43.680 --> 00:00:46.200]  祢的信實直到窮滄
[00:00:46.200 --> 00:00:48.200]  我們都經歷了
[00:00:48.200 --> 00:00:50.200]  主,幫助我們
[00:00:50.200 --> 00:00:52.200]  讓我們心上存感恩的心
[00:00:52.200 --> 00:00:54.200]  知道每一天祢都去敬拜祢
[00:00:54.200 --> 00:00:55.200]  去跟隨祢
[00:00:55.200 --> 00:00:57.200]  知道按著祢當得的敬畏
[00:00:57.200 --> 00:01:01.200]  祢都獻上心中的敬拜和尊崇
[00:01:01.200 --> 00:01:03.200]  如今主,我們今天在祢面前
[00:01:03.200 --> 00:01:05.200]  祢都去敬拜祢
[00:01:05.200 --> 00:01:07.200]  雖然在家中
[00:01:07.200 --> 00:01:09.200]  但主,求祢幫我們
[00:01:09.200 --> 00:01:11.200]  現現成實地
[00:01:11.200 --> 00:01:13.200]  將尊貴榮耀獻呈給祢
[00:01:13.200 --> 00:01:15.200]  亦都靠著祢
[00:01:15.200 --> 00:01:17.200]  能夠不受干擾
[00:01:17.200 --> 00:01:20.200]  可以專心地去尋求祢的面
[00:01:20.200 --> 00:01:22.200]  主,求祢賜下祢的聖靈
[00:01:22.200 --> 00:01:24.200]  無論祢身在哪個地方
[00:01:24.200 --> 00:01:26.200]  主,祢引導我們的心
[00:01:26.200 --> 00:01:28.200]  感動我們的心
[00:01:28.200 --> 00:01:30.200]  讓我們更加知道
[00:01:30.200 --> 00:01:32.200]  祢是那位
[00:01:32.200 --> 00:01:34.200]  配得一切的尊榮的上帝
[00:01:34.200 --> 00:01:36.200]  我們就更知道
[00:01:36.200 --> 00:01:38.200]  在生活行為上
[00:01:38.200 --> 00:01:40.200]  以我們的生活
[00:01:40.200 --> 00:01:42.200]  以我們所作的事情
[00:01:42.200 --> 00:01:44.200]  獻上祭品
[00:01:44.200 --> 00:01:46.200]  作為對祢的敬拜
[00:01:46.200 --> 00:01:48.200]  求祢施恩,帶領我們這段時間
[00:01:48.200 --> 00:01:50.200]  讓我們一同在祢面前蒙恩
[00:01:50.200 --> 00:01:52.200]  我們感謝、仰望
[00:01:52.200 --> 00:01:54.200]  奉主耶穌成名祈求
[00:01:54.200 --> 00:01:56.200]  阿門
[00:01:56.200 --> 00:01:58.200]  今日和大家一起思想的
[00:01:58.200 --> 00:02:00.200]  是聖經裏面提到的
[00:02:00.200 --> 00:02:02.200]  歷代至上
[00:02:02.200 --> 00:02:04.200]  是他們如何一同
[00:02:04.200 --> 00:02:06.200]  重建對神的敬拜
[00:02:06.200 --> 00:02:08.200]  亦都是如何
[00:02:08.200 --> 00:02:10.200]  大家和人人
[00:02:10.200 --> 00:02:12.200]  一起侍奉
[00:02:12.200 --> 00:02:14.200]  將侍奉的生命
[00:02:14.200 --> 00:02:16.200]  傳承下去
[00:02:16.200 --> 00:02:18.200]  我想提
[00:02:18.200 --> 00:02:20.200]  就是我剛剛
[00:02:20.200 --> 00:02:22.200]  昨日
[00:02:22.200 --> 00:02:24.200]  買了一些蓮花
[00:02:24.200 --> 00:02:26.200]  很快新年了
[00:02:26.200 --> 00:02:28.200]  大家都有些準備
