
[00:00:00.000 --> 00:00:03.000]  今天早上我在母會講道
[00:00:03.000 --> 00:00:07.000]  本來我是想用母會所講的道
[00:00:07.000 --> 00:00:09.000]  在這裡重講
[00:00:09.000 --> 00:00:13.000]  那我就比較省事
[00:00:13.000 --> 00:00:16.000]  可是在上個逐日學的時候
[00:00:16.000 --> 00:00:19.000]  上個星期的逐日學
[00:00:19.000 --> 00:00:20.000]  完了之後
[00:00:20.000 --> 00:00:23.000]  有一位問我有關一些
[00:00:23.000 --> 00:00:26.000]  救恩方面不同的名詞
[00:00:26.000 --> 00:00:28.000]  那我在過去這個禮拜
[00:00:28.000 --> 00:00:30.000]  我在準備當中
[00:00:30.000 --> 00:00:33.000]  我就改了一下
[00:00:33.000 --> 00:00:37.000]  我就不用母會所講的信息來講
[00:00:37.000 --> 00:00:39.000]  我就自己定一個題目
[00:00:39.000 --> 00:00:41.000]  救恩念念觀
[00:00:41.000 --> 00:00:42.000]  這個題目
[00:00:42.000 --> 00:00:44.000]  也就是在聖經裡面
[00:00:44.000 --> 00:00:48.000]  對救恩方面有不同角度
[00:00:48.000 --> 00:00:50.000]  不同的名詞來講
[00:00:50.000 --> 00:00:52.000]  那當我思想的時候
[00:00:52.000 --> 00:00:55.000]  常常我在準備的時候
[00:00:55.000 --> 00:00:56.000]  我會安靜
[00:00:56.000 --> 00:00:59.000]  我會想要用什麼方式
[00:00:59.000 --> 00:01:01.000]  我就看到我們最近
[00:01:01.000 --> 00:01:04.000]  有幾位都是木道友
[00:01:04.000 --> 00:01:05.000]  來到我們當中
[00:01:05.000 --> 00:01:08.000]  有幾位是移民來到我們當中
[00:01:08.000 --> 00:01:11.000]  可能以前都沒有到過教會
[00:01:11.000 --> 00:01:15.000]  那一到我們教會來參加崇拜
[00:01:15.000 --> 00:01:19.000]  可能對得救方面有不同的名詞
[00:01:19.000 --> 00:01:22.000]  聽了之後可能會一頭霧水
[00:01:22.000 --> 00:01:23.000]  怎麼會這麼多名詞
[00:01:23.000 --> 00:01:25.000]  這麼多名詞
[00:01:25.000 --> 00:01:28.000]  是什麼關聯
[00:01:28.000 --> 00:01:31.000]  這我就想到這一點
[00:01:31.000 --> 00:01:33.000]  當然第二點
[00:01:33.000 --> 00:01:34.000]  也就是說
[00:01:34.000 --> 00:01:36.000]  我今天用這個題目的主要原因
[00:01:36.000 --> 00:01:38.000]  也就是讓信徒
[00:01:38.000 --> 00:01:41.000]  我們自己也清楚
[00:01:41.000 --> 00:01:43.000]  不但我們信主之後
[00:01:43.000 --> 00:01:45.000]  我們從不同的名詞裡面
[00:01:45.000 --> 00:01:48.000]  我們可以更深的把握住
[00:01:48.000 --> 00:01:51.000]  這個不同名詞的真理
[00:01:51.000 --> 00:01:53.000]  打個比方
[00:01:53.000 --> 00:01:56.000]  譬如說我們中國人
[00:01:56.000 --> 00:01:58.000]  那我們可以用不同的名詞來表達
[00:01:58.000 --> 00:02:00.000]  對吧
[00:02:00.000 --> 00:02:01.000]  黃巖子孫
[00:02:01.000 --> 00:02:03.000]  我們這樣表達
[00:02:03.000 --> 00:02:05.000]  我們也可以說華裔
